Frente;Verso
O que é <b>regra de três simples</b>?;É um método usado para encontrar um valor desconhecido quando há duas grandezas relacionadas proporcionalmente.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> Regra de três simples é proporção aplicada a duas grandezas.
Qual é o <b>1º passo</b> da regra de três simples segundo o material?;Verificar se as grandezas são diretamente ou inversamente proporcionais.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> Antes da conta, interprete a relação entre as grandezas.
Qual é o <b>2º passo</b> da regra de três simples segundo o material?;Fazer as contas conforme o tipo de proporcionalidade.<br><br>Se direta, multiplica em cruz.<br>Se inversa, multiplica em linha.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> A conta depende da interpretação. Errar direta/inversa derruba tudo.
O que são grandezas <b>diretamente proporcionais</b>?;São grandezas em que, quando uma aumenta, a outra também aumenta, ou quando uma diminui, a outra também diminui.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> Direta: sobem juntas ou descem juntas.
O que são grandezas <b>inversamente proporcionais</b>?;São grandezas em que, quando uma aumenta, a outra diminui, ou quando uma diminui, a outra aumenta.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> Inversa: uma sobe e a outra desce.
Se as grandezas forem <b>diretamente proporcionais</b>, como calcular?;Multiplique em cruz.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> Direta cruza.
Se as grandezas forem <b>inversamente proporcionais</b>, como calcular?;Multiplique em linha.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> Inversa fica em linha.
Qual é o erro mais grave em regra de três simples?;Não interpretar se a relação é direta ou inversa antes de montar a conta.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> Regra de três não é mecânica pura. É interpretação antes da multiplicação.
Como identificar se preço e quantidade comprada são diretamente proporcionais?;Se a quantidade comprada aumenta, o preço total também aumenta. Logo, são diretamente proporcionais.<br><br><i>Fonte: Regra de Três Simples — exemplo do feijão</i><hr><b>BIZU:</b> Mais produto, mais preço. Direta.
Um quilo de feijão custa R$ 0,15. Carlos compra 10 kg. Quanto pagou?;Pagou R$ 1,50.<br><br>1 kg custa 0,15. Então 10 kg custam 10 × 0,15 = 1,50.<br><br><i>Fonte: Regra de Três Simples — exemplo 1 diretamente proporcional</i><hr><b>BIZU:</b> Kg e preço total são grandezas diretas.
Como identificar se área de muro e tempo de construção são diretamente proporcionais?;Mantido o mesmo ritmo de trabalho, se a área aumenta, o tempo necessário também aumenta.<br><br><i>Fonte: Regra de Três Simples — exemplo do muro</i><hr><b>BIZU:</b> Mais muro, mais dias. Direta.
Um muro de 20 m² foi feito em 15 dias. Para fazer 36 m², quantos dias serão necessários?;Serão necessários 27 dias.<br><br>20/36 = 15/x. Como é direta, multiplica em cruz: 20x = 36 × 15, logo x = 27.<br><br><i>Fonte: Regra de Três Simples — exemplo 2 diretamente proporcional</i><hr><b>BIZU:</b> Área maior exige tempo maior se o ritmo for o mesmo.
Como identificar se velocidade e tempo são inversamente proporcionais?;Para a mesma distância, se a velocidade aumenta, o tempo diminui. Logo, são inversamente proporcionais.<br><br><i>Fonte: Regra de Três Simples — exemplo de viagem</i><hr><b>BIZU:</b> Mais velocidade, menos tempo. Inversa.
Carlos viaja para o Rio em 7 horas a 100 km/h. Se viajasse a 140 km/h, em quantas horas chegaria?;Chegaria em 5 horas.<br><br>Como velocidade e tempo são inversos: 100 × 7 = 140 × x. Logo x = 5.<br><br><i>Fonte: Regra de Três Simples — exemplo 1 inversamente proporcional</i><hr><b>BIZU:</b> A distância é a mesma. Velocidade maior reduz tempo.
Como identificar se horas trabalhadas por dia e dias de trabalho são inversamente proporcionais?;Para a mesma obra, se trabalham mais horas por dia, precisam de menos dias. Logo, são inversamente proporcionais.<br><br><i>Fonte: Regra de Três Simples — exemplo dos trabalhadores</i><hr><b>BIZU:</b> Mais horas por dia, menos dias totais.
Trabalhando 12 horas por dia, uma equipe faz uma obra em 15 dias. Se trabalhasse 9 horas por dia, em quantos dias faria a obra?;Faria em 20 dias.<br><br>Como horas por dia e dias são inversos: 12 × 15 = 9 × x. Logo x = 20.<br><br><i>Fonte: Regra de Três Simples — exemplo 2 inversamente proporcional</i><hr><b>BIZU:</b> Menos horas por dia aumenta o número de dias.
Em regra de três simples, quando posso multiplicar em cruz?;Quando as grandezas forem diretamente proporcionais.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> Direta cruza. Antes de cruzar, confirme a relação.
Em regra de três simples, quando posso multiplicar em linha?;Quando as grandezas forem inversamente proporcionais.<br><br><i>Fonte: Regra de Três Simples — Parte 1</i><hr><b>BIZU:</b> Inversa em linha.
Duas rodas dentadas têm 24 e 108 dentes. Enquanto a maior dá 16 voltas, quantas voltas dá a menor?;A menor dá 72 voltas.<br><br>Rodas engrenadas: número de dentes e voltas são inversamente proporcionais. 108 × 16 = 24 × x, logo x = 72.<br><br><i>Fonte: Regra de Três Simples — questão 1</i><hr><b>BIZU:</b> Roda menor precisa girar mais.
Na questão das rodas dentadas, por que a relação é inversa?;Porque a roda com menos dentes dá mais voltas para acompanhar a maior.<br><br><i>Fonte: Regra de Três Simples — questão 1</i><hr><b>BIZU:</b> Menos dentes, mais voltas.
Numa cocheira há 30 cavalos e o feno dura 40 dias. Retirando 10 cavalos, por quantos dias o feno durará?;Durará 60 dias.<br><br>Ficam 20 cavalos. Cavalos e dias são inversamente proporcionais: 30 × 40 = 20 × x, logo x = 60.<br><br><i>Fonte: Regra de Três Simples — questão 2</i><hr><b>BIZU:</b> Menos cavalos comendo, mais dias de feno.
Na questão da cocheira, qual é a armadilha?;Usar 10 cavalos na nova situação, quando o correto é usar 20 cavalos, pois foram retirados 10 dos 30.<br><br><i>Fonte: Regra de Três Simples — questão 2</i><hr><b>BIZU:</b> Retirar 10 não significa sobrar 10.
Uma polia maior tem 30 cm de diâmetro e a menor 18 cm. Se a maior dá 45 voltas, quantas rotações por minuto dá a menor?;A menor dá 75 rotações por minuto.<br><br>Diâmetro e rotações são inversamente proporcionais: 30 × 45 = 18 × x, logo x = 75.<br><br><i>Fonte: Regra de Três Simples — questão 3</i><hr><b>BIZU:</b> Polia menor gira mais.
