Frente;Verso
O que é um <b>sistema de equações</b>?;É um conjunto de duas ou mais equações que devem ser satisfeitas ao mesmo tempo pelas mesmas incógnitas.<br><br><i>Fonte: Aula Bônus 16, 17 e 18 — Sistemas de Equações</i><hr><b>BIZU:</b> Sistema é acordo coletivo. O valor de x e y precisa funcionar em todas as equações.
Quando um problema costuma exigir sistema de equações?;Quando existem duas ou mais incógnitas relacionadas por duas ou mais informações do enunciado.<br><br><i>Fonte: Raciocínio Aritmético — Problemas envolvendo sistemas de equações</i><hr><b>BIZU:</b> Duas coisas desconhecidas pedem duas relações. Três desconhecidas pedem três relações.
Quais são os dois métodos principais de resolução citados no material?;O material apresenta o método da <b>substituição</b> e o método do <b>cancelamento de variável</b>.<br><br><i>Fonte: Aula Bônus 16 — Sistema de Equações com Duas Variáveis</i><hr><b>BIZU:</b> Substituição troca uma incógnita pela outra. Cancelamento elimina uma incógnita.
Qual método o material indica como ideal para sistemas com 3 ou mais incógnitas?;O método da <b>substituição</b>.<br><br><i>Fonte: Aula Bônus 16 — Sistemas de Equações</i><hr><b>BIZU:</b> Quanto mais incógnitas, mais útil é substituir uma pela outra até reduzir o sistema.
Qual método o material indica como ideal para sistemas com 2 incógnitas?;O método do <b>cancelamento de variável</b>.<br><br><i>Fonte: Aula Bônus 16 — Sistemas de Equações</i><hr><b>BIZU:</b> Com duas incógnitas, cancelar uma delas costuma ser o caminho mais rápido.
Como funciona o <b>método da substituição</b>?;Isolamos uma incógnita em uma equação e substituímos essa expressão na outra equação.<br><br><i>Fonte: Aula Bônus 16 — Método da substituição</i><hr><b>BIZU:</b> Substituir é trocar o desconhecido por uma expressão equivalente.
Como funciona o <b>método do cancelamento</b>?;Manipulamos as equações para que uma incógnita tenha coeficientes opostos e desapareça quando somamos as equações.<br><br><i>Fonte: Aula Bônus 17 — Método do cancelamento</i><hr><b>BIZU:</b> Cancelamento é fazer uma variável sumir para sobrar uma equação simples.
Quando o cancelamento é mais rápido?;Quando uma mesma incógnita já aparece com coeficientes iguais ou opostos, ou quando é fácil multiplicar uma equação para criar oposição.<br><br><i>Fonte: Aula Bônus 17 — Cancelamento de variável</i><hr><b>BIZU:</b> Viu x e -x, ou y e -y, pense em cancelamento.
Quando a substituição é mais rápida?;Quando uma das equações já tem uma incógnita isolada ou fácil de isolar.<br><br><i>Fonte: Aula Bônus 16 — Método da substituição</i><hr><b>BIZU:</b> Se apareceu x = alguma coisa, substituição está gritando.
Qual é a principal armadilha em sistemas?;Resolver uma equação isoladamente e esquecer que a resposta precisa satisfazer todas as equações do sistema.<br><br><i>Fonte: Aula Bônus 16 e 17 — Sistemas de Equações</i><hr><b>BIZU:</b> Valor bom para uma equação, mas ruim para outra, não serve.
Como conferir se a solução de um sistema está correta?;Substitua os valores encontrados em todas as equações e veja se todas as igualdades ficam verdadeiras.<br><br><i>Fonte: Aula Bônus 16 e 17 — Sistemas de Equações</i><hr><b>BIZU:</b> Conferência é substituição de volta.
Qual é a ponte entre <b>equação do 1º grau</b> e <b>sistemas</b>?;Um sistema transforma várias equações do 1º grau em um problema conjunto com mais de uma incógnita.<br><br><i>Fonte: Aula Bônus 14 e Aulas Bônus 16 e 17</i><hr><b>BIZU:</b> Sistema é equação do 1º grau em equipe.
Qual é a ponte entre <b>sistemas</b> e <b>problemas de prova</b>?;Problemas de idade, dinheiro, notas, animais, mistura e porcentagem frequentemente têm duas incógnitas e duas relações, formando sistemas.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas de Equações</i><hr><b>BIZU:</b> Quando o enunciado compara duas quantidades, pense em sistema.
Qual é a primeira coisa a fazer em problema com sistema?;Definir claramente o que cada incógnita representa.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas de Equações</i><hr><b>BIZU:</b> Antes da conta, nomeie os personagens: x é uma coisa, y é outra.
No sistema <b>x + y = 5</b> e <b>x - y = -1</b>, quais são x e y?;x = 2 e y = 3.<br><br><i>Fonte: Aula Bônus 16 e 17 — Exemplos de sistemas</i><hr><b>BIZU:</b> Somando as equações, y cancela e sobra 2x = 4.
No sistema <b>2x + y = 7</b> e <b>x - y = 0</b>, quais são x e y?;x = 7/3 e y = 7/3.<br><br><i>Fonte: Aula Bônus 16 e 17 — Exemplos de sistemas</i><hr><b>BIZU:</b> Da segunda equação, x = y. Substitua na primeira.
No sistema de fixação <b>x - y = -2</b> e <b>2x - 3y = 10</b>, quais são x e y?;x = 38 e y = 22.<br><br><i>Fonte: Aula Bônus 16 e 17 — Gabarito, item a</i><hr><b>BIZU:</b> Resultado grande não significa erro. Confira substituindo nas duas equações.
No sistema de fixação <b>x + y = 10</b> e <b>5x - 2y = 16</b>, quais são x e y?;x = 4 e y = 2.<br><br><i>Fonte: Aula Bônus 16 e 17 — Gabarito, item b</i><hr><b>BIZU:</b> Se x + y é simples, isole uma variável e substitua.
No sistema de fixação <b>2x + 3y = 10</b> e <b>x + 2y = 6</b>, quais são x e y?;x = 2 e y = 2.<br><br><i>Fonte: Aula Bônus 16 e 17 — Gabarito, item c</i><hr><b>BIZU:</b> Quando os coeficientes estão próximos, cancelamento costuma ser rápido.
No sistema de fixação <b>x + y = 1</b> e <b>x - 3y = 3</b>, quais são x e y?;x = 1 e y = 0.<br><br><i>Fonte: Aula Bônus 16 e 17 — Gabarito, item d</i><hr><b>BIZU:</b> Valor zero também pode ser solução.
No sistema de fixação <b>4x + 3y = 2</b> e <b>8x - 5y = 26</b>, quais são x e y?;x = 2 e y = -2.<br><br><i>Fonte: Aula Bônus 16 e 17 — Gabarito, item e</i><hr><b>BIZU:</b> Sistema pode gerar valor negativo. Não force resposta positiva sem motivo.
No sistema de fixação <b>xy = 2</b> e <b>8x - 5y = 11</b>, quais são x e y segundo o gabarito do material?;x = 2 e y = 1.<br><br><i>Fonte: Aula Bônus 16 e 17 — Gabarito, item f</i><hr><b>BIZU:</b> Quando aparece produto xy, teste os pares possíveis com o produto dado.
O que muda em um sistema com <b>três variáveis</b>?;Em vez de duas incógnitas, há três incógnitas, normalmente x, y e z, e precisamos de três relações para encontrar os três valores.<br><br><i>Fonte: Aula Bônus 18 — Sistema de Equações com Três Variáveis</i><hr><b>BIZU:</b> Três incógnitas pedem três pistas.
Qual é a estratégia geral para sistema com três variáveis?;Reduzir o sistema, eliminando ou substituindo uma variável até obter um sistema menor com duas variáveis.<br><br><i>Fonte: Aula Bônus 18 — Sistema de Equações com Três Variáveis</i><hr><b>BIZU:</b> Três variáveis viram duas, duas viram uma, uma revela todas.
No sistema de três variáveis do item a, qual é o gabarito?;x = 3, y = 2 e z = 1.<br><br><i>Fonte: Aula Bônus 18 — Gabarito, item a</i><hr><b>BIZU:</b> Em sistema com três variáveis, sempre confira os três valores nas três equações.
No sistema de três variáveis do item b, qual é o gabarito?;x = 2, y = 2 e z = 0.<br><br><i>Fonte: Aula Bônus 18 — Gabarito, item b</i><hr><b>BIZU:</b> Zero pode aparecer como uma das variáveis sem problema.
No sistema de três variáveis do item c, qual é o gabarito?;x = 1, y = 0 e z = 1.<br><br><i>Fonte: Aula Bônus 18 — Gabarito, item c</i><hr><b>BIZU:</b> Solução com zero exige atenção na conferência.
Como montar o problema do pai que distribui R$ 36.300, com o segundo recebendo o dobro do primeiro e o terceiro o quádruplo do segundo?;Se o primeiro recebe x, o segundo recebe 2x e o terceiro recebe 8x. Então x + 2x + 8x = 36300.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 1</i><hr><b>BIZU:</b> Nem todo problema com várias pessoas precisa de sistema completo. Às vezes uma incógnita resolve.
Na questão do pai que distribui R$ 36.300, quanto recebe cada filho?;O primeiro recebe R$ 3.300, o segundo R$ 6.600 e o terceiro R$ 26.400.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 1</i><hr><b>BIZU:</b> Relação em cadeia: primeiro x, segundo 2x, terceiro 8x.
Como montar a questão do pai e filho que hoje têm 45 anos juntos e daqui a 15 anos o pai terá o dobro da idade do filho?;Se p é a idade do pai e f a idade do filho, então p + f = 45 e p + 15 = 2(f + 15).<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 2</i><hr><b>BIZU:</b> Idade futura soma o mesmo tempo para todos.
Na questão do pai e filho, quais são as idades atuais?;Pai com 35 anos e filho com 10 anos.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 2</i><hr><b>BIZU:</b> Confira no futuro: 50 e 25, o pai terá o dobro.
Como montar a questão de Pedro e José com R$ 450, em que Pedro gasta 1/6 e José ganha 1/4 do que tinha?;Se Pedro tem P e José tem J, então P + J = 450 e 5P/6 = 5J/4.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 3</i><hr><b>BIZU:</b> Depois das mudanças, os dois ficam com a mesma quantia.
Na questão de Pedro e José, quanto José ganhou de seu pai?;José ganhou R$ 45,00.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 3</i><hr><b>BIZU:</b> José tinha R$ 180. Um quarto disso é R$ 45.
Como montar a questão das duas caixas com 23 bolas, em que tiramos 5 de uma e colocamos 2 na outra e elas ficam iguais?;Se uma caixa tem x e a outra y, então x + y = 23 e x - 5 = y + 2.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 4</i><hr><b>BIZU:</b> Tirar de uma e pôr na outra muda os dois lados.
Na questão das caixas, quantas bolas havia originalmente em cada caixa?;Havia 15 e 8 bolas.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 4</i><hr><b>BIZU:</b> Depois da mudança, 15 vira 10 e 8 vira 10.
Como montar a questão do número de três algarismos cuja soma é 19, com dezena metade da unidade e centena antecessora da unidade?;Se a unidade é u, a dezena é u/2 e a centena é u - 1. Então (u - 1) + u/2 + u = 19.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 5</i><hr><b>BIZU:</b> Em número de algarismos, escolha o algarismo mais citado como variável principal.
Na questão do número de três algarismos, qual é o número?;O número é 748.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 5</i><hr><b>BIZU:</b> Unidade 8, dezena 4 e centena 7.
Como montar a questão das notas de R$ 50 e R$ 20, com 65 notas e total de R$ 2.320?;Se x é o número de notas de 50 e y o número de notas de 20, então x + y = 65 e 50x + 20y = 2320.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 6</i><hr><b>BIZU:</b> Uma equação conta notas, a outra conta dinheiro.
Na questão das notas de R$ 50 e R$ 20, quantas notas há de cada espécie?;Há 34 notas de R$ 50 e 31 notas de R$ 20.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 6</i><hr><b>BIZU:</b> Confira: 34 + 31 = 65 e 1700 + 620 = 2320.
Na questão das vasilhas com 36 litros, se transferimos 2/5 da que tem mais água para a que tem menos e elas ficam iguais, quais são as quantidades?;As vasilhas tinham 30 litros e 6 litros.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 7</i><hr><b>BIZU:</b> 2/5 de 30 é 12. Depois ficam 18 e 18.
Na questão das notas de R$ 5 e R$ 1, com R$ 53 e 21 notas, como montar o sistema?;Se x é o número de notas de R$ 5 e y o número de notas de R$ 1, então x + y = 21 e 5x + y = 53.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 8</i><hr><b>BIZU:</b> Total de notas em uma equação, valor total na outra.
Na questão das notas de R$ 5 e R$ 1, quantas notas há de cada espécie?;Há 8 notas de R$ 5 e 13 notas de R$ 1.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 8</i><hr><b>BIZU:</b> 8 notas de 5 dão 40, mais 13 notas de 1 dão 53.
Como montar a questão das emas e hienas com 21 cabeças e 50 pés?;Se e é o número de emas e h o número de hienas, então e + h = 21 e 2e + 4h = 50.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 9</i><hr><b>BIZU:</b> Cabeças contam animais. Pés diferenciam os tipos.
Na questão das emas e hienas, quantas há de cada espécie?;Há 17 emas e 4 hienas.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 9</i><hr><b>BIZU:</b> 17 aves têm 34 pés e 4 hienas têm 16 pés, total 50.
Como montar a questão da população em que 18% são gordos, 30% dos homens são gordos e 10% das mulheres são gordas?;Se h é o número de homens e m o número de mulheres, então 0,30h + 0,10m = 0,18(h + m).<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 10</i><hr><b>BIZU:</b> Percentual total é média ponderada dos percentuais dos grupos.
Na questão da população, qual é a porcentagem de homens?;A porcentagem de homens é 40%.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 10</i><hr><b>BIZU:</b> A proporção final fica homens para mulheres igual a 2 para 3, então homens são 2/5 do total.
Como montar a questão da mistura com milho, usando uma mistura de 10% e outra de 50% para preparar 8 kg a 20%?;Se x é a quantidade da mistura de 10% e y a da mistura de 50%, então x + y = 8 e 0,10x + 0,50y = 0,20 . 8.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 11</i><hr><b>BIZU:</b> Mistura sempre tem equação do peso total e equação da substância pura.
Na questão da mistura com milho, quantos quilos da mistura de 10% devem ser usados?;Devem ser usados 6 kg da mistura de 10%.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 11</i><hr><b>BIZU:</b> A mistura de 50% entra em 2 kg. A de 10% entra em 6 kg.
Qual é a principal armadilha em sistemas com dinheiro?;Confundir quantidade de itens com valor total dos itens.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questões 6 e 8</i><hr><b>BIZU:</b> Uma equação conta unidades. A outra pesa o valor.
Qual é a principal armadilha em sistemas com idade?;Esquecer que, no futuro ou no passado, todos envelhecem ou regridem a mesma quantidade de anos.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 2</i><hr><b>BIZU:</b> Tempo passa igual para pai e filho.
Qual é a principal armadilha em sistemas com mistura?;Montar só a equação do peso total e esquecer a equação da substância pura.<br><br><i>Fonte: Raciocínio Aritmético — Sistemas, questão 11</i><hr><b>BIZU:</b> Mistura exige duas contas: total e concentração.
