Frente;Verso
Quando a <b>lesão corporal dolosa de natureza gravíssima</b> pode ser crime hediondo?;Quando praticada nas hipóteses do art. 1º, I-A, da Lei nº 8.072/90, especialmente contra agentes públicos protegidos, familiares em razão da função, ou nas dependências de instituição de ensino.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I-A</i><hr><b>BIZU:</b> Não é qualquer lesão gravíssima. A hediondez depende do <font color="#00e676">contexto protegido</font>.
Quando a <b>lesão corporal seguida de morte</b> pode ser crime hediondo?;Quando praticada contra as pessoas protegidas pela Lei nº 8.072/90 ou nas dependências de instituição de ensino, conforme o art. 1º, I-A.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I-A</i><hr><b>BIZU:</b> Lesão seguida de morte só entra no rol se vier com a moldura legal específica.
Quais resultados caracterizam a <b>lesão corporal gravíssima</b> do art. 129, § 2º, do Código Penal?;Incapacidade permanente para o trabalho, enfermidade incurável, perda ou inutilização de membro, sentido ou função, deformidade permanente, ou aborto.<br><br><i>Fonte: Código Penal, art. 129, § 2º</i><hr><b>BIZU:</b> Gravíssima é dano profundo e permanente. Pense em <font color="#ffeb3b">P E P D A</font>: permanente, enfermidade, perda, deformidade, aborto.
Qual é a pena da <b>lesão corporal gravíssima</b>?;A pena é de reclusão de <font color="#ffeb3b">2 a 8 anos</font>.<br><br><i>Fonte: Código Penal, art. 129, § 2º</i><hr><b>BIZU:</b> Lesão gravíssima no CP: 2 a 8.
Qual é a pena da <b>lesão corporal seguida de morte</b>?;A pena é de reclusão de <font color="#ffeb3b">4 a 12 anos</font>.<br><br><i>Fonte: Código Penal, art. 129, § 3º</i><hr><b>BIZU:</b> Se a lesão termina em morte sem dolo de matar, a pena sobe para 4 a 12.
A lesão corporal seguida de morte exige dolo de matar?;<font color="#ff4444"><b>Não.</b></font> O agente não quer o resultado morte nem assume o risco de produzi-lo. Há dolo na lesão e culpa no resultado morte.<br><br><i>Fonte: Código Penal, art. 129, § 3º</i><hr><b>BIZU:</b> Lesão seguida de morte é crime preterdoloso: dolo antes, culpa depois.
Quais agentes públicos protegidos podem tornar a lesão gravíssima ou seguida de morte hedionda?;Autoridades ou agentes dos arts. 142 e 144 da CF, integrantes do sistema prisional, Força Nacional de Segurança Pública, membros do Judiciário, Ministério Público, Defensoria Pública, Advocacia Pública e oficiais de justiça.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I-A</i><hr><b>BIZU:</b> A proteção alcança segurança, sistema prisional, Força Nacional e funções essenciais à Justiça.
A lesão contra familiar de agente público protegido pode ser hedionda?;<b>Sim.</b> Pode alcançar cônjuge, companheiro ou parente, desde que o crime seja praticado em razão da condição funcional da pessoa protegida.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I-A</i><hr><b>BIZU:</b> Familiar entra quando o alvo real é a função do agente.
A vítima precisa estar no exercício da função para a lesão ser hedionda?;<b>Em regra, sim.</b> A lei exige que o crime ocorra no exercício da função ou em decorrência dela.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I-A</i><hr><b>BIZU:</b> Palavra-chave: <font color="#00e676">função</font>. Sem vínculo funcional, a hediondez pode cair.
Lesão corporal gravíssima ou seguida de morte em escola pode ser hedionda?;<b>Sim.</b> Se praticada nas dependências de instituição de ensino, a lesão corporal gravíssima ou seguida de morte é hedionda.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I-A, c</i><hr><b>BIZU:</b> Instituição de ensino virou gatilho específico de hediondez.
