Frente;Verso
O que é um <b>conectivo lógico</b>?;É o elemento que liga proposições simples para formar proposições compostas.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Conectivo é a cola entre frases lógicas.
Quais são os principais conectivos lógicos?;Negação, conjunção, disjunção inclusiva, disjunção exclusiva, condicional e bicondicional.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Não, e, ou, ou...ou, se...então, se e somente se.
Qual conectivo corresponde ao <b>não</b>?;A negação.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Não troca o valor lógico.
Qual conectivo corresponde ao <b>e</b>?;A conjunção.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> E exige verdade dos dois lados.
Qual conectivo corresponde ao <b>ou</b> inclusivo?;A disjunção inclusiva.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Ou inclusivo aceita um ou os dois.
Qual conectivo corresponde ao <b>ou...ou</b>?;A disjunção exclusiva.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Ou exclusivo aceita só um lado verdadeiro.
Qual conectivo corresponde ao <b>se...então</b>?;O condicional.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Condicional é a seta lógica.
Qual conectivo corresponde ao <b>se e somente se</b>?;O bicondicional.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Bicondicional exige ida e volta.
Qual é o símbolo mais comum da <b>negação</b>?;<b>¬</b> ou <b>~</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Negação é o sinal do “não”.
Qual é o símbolo da <b>conjunção</b>?;<b>∧</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> ∧ significa “e”.
Qual é o símbolo da <b>disjunção inclusiva</b>?;<b>∨</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> ∨ significa “ou”.
Qual é o símbolo da <b>disjunção exclusiva</b>?;<b>⊻</b> ou símbolo equivalente usado para “ou...ou”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Exclusiva quer diferença entre os lados.
Qual é o símbolo do <b>condicional</b>?;<b>→</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> A seta vai da condição para a consequência.
Qual é o símbolo do <b>bicondicional</b>?;<b>↔</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> ↔ é seta de ida e volta.
O que a <b>negação</b> faz com o valor lógico de uma proposição?;Ela inverte o valor lógico. Se a proposição é verdadeira, sua negação é falsa. Se é falsa, sua negação é verdadeira.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Negação é interruptor lógico.
Se <b>p</b> é verdadeira, qual é o valor de <b>¬p</b>?;<b>Falso</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Negar verdadeiro dá falso.
Se <b>p</b> é falsa, qual é o valor de <b>¬p</b>?;<b>Verdadeiro</b>.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Negar falso dá verdadeiro.
Qual é a regra central da <b>conjunção</b>?;A conjunção só é verdadeira quando todas as proposições ligadas por “e” são verdadeiras.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> No E, um falso derruba tudo.
