Frente;Verso
Qual é a ideia central dos <b>princípios de contagem</b>?;A ideia central é contar possibilidades sem precisar listar uma por uma. Em vez de escrever todos os casos, usamos regras para descobrir quantas escolhas ou combinações são possíveis.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> Contagem é economia mental. Você não lista tudo, você descobre o padrão.
O que é a <b>Regra do E</b> na contagem?;A <b>Regra do E</b> diz que escolhas sucessivas devem ser multiplicadas. Se uma escolha acontece <b>e</b> outra também precisa acontecer, multiplicamos as quantidades de opções.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> <font color="#00e676">E = multiplicar</font>. Escolhi camisa <b>e</b> calça, multiplico.
Qual é o outro nome da <b>Regra do E</b>?;A Regra do E também é chamada de <b>princípio multiplicativo</b>.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> A palavra multiplicativo já entrega o jogo: viu E, pense em multiplicação.
Quando devo usar a <b>Regra do E</b>?;Use quando o enunciado exigir escolhas em sequência ou escolhas simultâneas que precisam acontecer juntas, como escolher uma seringa <b>e</b> uma agulha, uma capacidade <b>e</b> uma cor, um caminho de A até B <b>e</b> depois de B até C.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> Se a frase mental for “isso e aquilo”, multiplique.
O que é a <b>Regra do OU</b> na contagem?;A <b>Regra do OU</b> diz que possibilidades alternativas devem ser somadas. Se posso fazer um caminho <b>ou</b> outro, uma escolha <b>ou</b> outra, somo as quantidades.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> <font color="#00e676">OU = somar</font>. Caminho pela esquerda ou pela direita, some.
Qual é o outro nome da <b>Regra do OU</b>?;A Regra do OU também é chamada de <b>princípio aditivo</b>.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> Aditivo lembra adicionar. OU adiciona possibilidades.
Quando devo usar a <b>Regra do OU</b>?;Use quando existem alternativas separadas e a escolha de uma exclui a outra naquele momento. Exemplo: ir de A até C por B <b>ou</b> ir de A até C por D.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> OU é bifurcação. Você escolhe um caminho ou outro, depois soma as rotas.
Qual é a diferença essencial entre <b>Regra do E</b> e <b>Regra do OU</b>?;Na <b>Regra do E</b>, as etapas se acumulam e devem acontecer juntas, por isso multiplicamos. Na <b>Regra do OU</b>, há alternativas, por isso somamos.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> E junta etapas. OU junta alternativas.
Como identificar rapidamente a <b>Regra do E</b> em uma questão?;Procure escolhas encadeadas: uma opção da primeira categoria combinada com uma opção da segunda categoria. Exemplo: escolher uma capacidade e uma cor.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> Pergunte: preciso escolher uma coisa de cada grupo? Se sim, multiplique.
Como identificar rapidamente a <b>Regra do OU</b> em uma questão?;Procure caminhos ou casos alternativos. Se o problema puder ser dividido em caso 1, caso 2, caso 3, e esses casos não ocorrerem juntos, some os resultados.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> Dividiu em casos separados? Some os casos.
Por que a palavra <b>e</b> nem sempre aparece literalmente no enunciado?;Porque a lógica do problema pode ser de Regra do E mesmo sem a palavra escrita. Exemplo: escolher uma geladeira com capacidade e cor exige duas decisões juntas, ainda que o enunciado não destaque a palavra E.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> Não procure só a palavra. Procure a lógica.
Por que a palavra <b>ou</b> nem sempre aparece literalmente no enunciado?;Porque a lógica alternativa pode estar escondida em caminhos possíveis, casos possíveis ou formas diferentes de realizar algo. O aluno precisa perceber se há rotas separadas a somar.<br><br><i>Fonte: Análise Combinatória – Contagem</i><hr><b>BIZU:</b> OU pode aparecer como “por aqui ou por ali”, mesmo sem estar escrito.
