Frente;Verso
Como deve tramitar a interceptação telefônica em relação aos autos principais?;A interceptação deve ocorrer em <b>autos apartados</b>, apensados aos autos do inquérito policial ou do processo criminal.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º</i><hr><b>BIZU:</b> Interceptação fica separada para preservar o sigilo e organizar a prova.
Por que a interceptação telefônica tramita em autos apartados?;Para preservar o <b>sigilo</b> das diligências, gravações e transcrições, evitando que a investigação seja frustrada.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º</i><hr><b>BIZU:</b> Sem sigilo, o investigado muda o comportamento e a prova perde força.
Os autos apartados ficam desconectados para sempre do inquérito ou processo?;<font color="#ff4444"><b>Não.</b></font> Eles são apartados, mas devem ser apensados aos autos do inquérito policial ou do processo criminal.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º</i><hr><b>BIZU:</b> Apartado não é perdido. É separado, mas vinculado.
O sigilo da interceptação telefônica é absoluto contra a defesa?;<font color="#ff4444"><b>Não.</b></font> Cessada a interceptação, o investigado ou acusado deve ter acesso às informações colhidas, garantindo defesa e contraditório no momento adequado.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º, jurisprudência citada no PDF</i><hr><b>BIZU:</b> Sigilo protege a investigação, não elimina o direito de defesa.
Quando a defesa passa a ter direito de acesso ao material interceptado?;Após cessada a interceptação, a defesa deve ter acesso ao material colhido, especialmente ao que se relaciona direta ou indiretamente ao investigado ou acusado.<br><br><i>Fonte: Jurisprudência citada no PDF sobre Lei nº 9.296/96</i><hr><b>BIZU:</b> Durante a diligência, sigilo. Depois, acesso para defesa.
A defesa tem direito apenas aos trechos escolhidos pela acusação?;<font color="#ff4444"><b>Não.</b></font> A defesa deve ter acesso ao material captado que diga respeito ao investigado ou acusado, não apenas à seleção feita pela acusação.<br><br><i>Fonte: Jurisprudência citada no PDF sobre acesso ao material</i><hr><b>BIZU:</b> Quem escolhe o que ajuda a defesa não pode ser só a acusação.
O investigado pode ser obrigado a fornecer padrões vocais para perícia de autenticação das gravações?;<font color="#ff4444"><b>Não.</b></font> O STF já decidiu que não é possível obrigar o investigado ou acusado a fornecer padrões vocais para subsidiar prova pericial.<br><br><i>Fonte: Jurisprudência do STF citada no PDF</i><hr><b>BIZU:</b> Ninguém é obrigado a produzir prova contra si mesmo.
Qual é a relação entre fornecimento de padrão vocal e nemo tenetur se detegere?;Obrigar o investigado a fornecer padrão vocal pode violar o direito de não produzir prova contra si mesmo, razão pela qual o STF rejeita essa imposição.<br><br><i>Fonte: Jurisprudência do STF citada no PDF</i><hr><b>BIZU:</b> Voz também pode ser elemento de autoincriminação forçada.
Quem decide sobre a inutilização de gravação que não interessa à prova?;A inutilização depende de <b>decisão judicial</b>.<br><br><i>Fonte: Lei nº 9.296/96, art. 9º</i><hr><b>BIZU:</b> Polícia não destrói por conta própria. Quem decide é o juiz.
Em quais momentos a gravação sem interesse probatório pode ser inutilizada?;Durante o inquérito, durante a instrução processual ou após esta.<br><br><i>Fonte: Lei nº 9.296/96, art. 9º</i><hr><b>BIZU:</b> Pode inutilizar antes, durante ou depois, mas sempre com controle judicial.
Quem pode requerer a inutilização de gravação que não interessa à prova?;O Ministério Público ou a parte interessada podem requerer a inutilização.<br><br><i>Fonte: Lei nº 9.296/96, art. 9º</i><hr><b>BIZU:</b> MP ou parte interessada provocam. Juiz decide.
O incidente de inutilização será acompanhado por quem?;O incidente será assistido pelo <b>Ministério Público</b>, sendo facultada a presença do acusado ou de seu representante legal.<br><br><i>Fonte: Lei nº 9.296/96, art. 9º, parágrafo único</i><hr><b>BIZU:</b> MP participa. Acusado pode estar presente, mas sua presença é facultativa.
Por que existe a inutilização de gravação sem interesse probatório?;Para proteger a intimidade e a vida privada, evitando que gravações irrelevantes permaneçam nos autos sem necessidade.<br><br><i>Fonte: Lei nº 9.296/96, art. 9º</i><hr><b>BIZU:</b> O Estado não deve guardar conversa íntima irrelevante.
O que é <b>captação ambiental</b> na Lei nº 9.296/96?;É a captação de sinais eletromagnéticos, ópticos ou acústicos em determinado ambiente, para investigação ou instrução criminal, quando autorizada judicialmente nas hipóteses legais.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A</i><hr><b>BIZU:</b> Captação ambiental é o “grampo do ambiente”, não apenas do telefone.
A captação ambiental pode ser autorizada para quais finalidades?;Pode ser autorizada para <b>investigação criminal</b> ou <b>instrução criminal</b>.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A</i><hr><b>BIZU:</b> Assim como a interceptação, a finalidade é penal.
Quem pode requerer a captação ambiental?;A autoridade policial ou o Ministério Público podem requerer a captação ambiental ao juiz.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A</i><hr><b>BIZU:</b> Polícia e MP pedem. Juiz autoriza.
A captação ambiental depende de autorização judicial?;<b>Sim.</b> Quando realizada para investigação ou instrução criminal por terceiro, a captação ambiental depende de autorização judicial.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A</i><hr><b>BIZU:</b> Terceiro captando ambiente para prova penal precisa de juiz.
Quais são os requisitos principais para autorizar captação ambiental?;A prova não pode ser feita por outros meios disponíveis e igualmente eficazes, e deve haver elementos probatórios razoáveis de autoria e participação em infrações com pena máxima superior a <font color="#ffeb3b">4 anos</font> ou em infrações penais conexas.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, I e II</i><hr><b>BIZU:</b> Captação ambiental exige necessidade + elementos razoáveis + pena máxima superior a 4 anos ou conexão.
A captação ambiental exige crime punido com reclusão como a interceptação telefônica?;<font color="#ff4444"><b>Não é a mesma fórmula.</b></font> Na captação ambiental, a lei fala em infrações criminais com penas máximas superiores a <font color="#ffeb3b">4 anos</font> ou infrações conexas.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, II</i><hr><b>BIZU:</b> Interceptação telefônica olha reclusão. Captação ambiental olha pena máxima superior a 4 anos.
A prova por captação ambiental pode ser deferida se houver outro meio igualmente eficaz?;<font color="#ff4444"><b>Não.</b></font> A captação ambiental exige que a prova não possa ser feita por outros meios disponíveis e igualmente eficazes.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, I</i><hr><b>BIZU:</b> Se outro meio resolve igual, não se invade o ambiente.
O que o requerimento de captação ambiental deve descrever?;Deve descrever circunstanciadamente o <b>local</b> e a <b>forma de instalação</b> do dispositivo de captação ambiental.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 1º</i><hr><b>BIZU:</b> Local + forma de instalação. A autorização não pode ser vaga.
A instalação do dispositivo de captação ambiental pode ocorrer por operação policial disfarçada?;<b>Sim.</b> Quando necessária, a instalação pode ser feita por meio de operação policial disfarçada.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 2º</i><hr><b>BIZU:</b> Disfarce pode, se necessário e autorizado.
A instalação do dispositivo de captação ambiental pode ocorrer no período noturno?;<b>Sim.</b> A lei permite, quando necessária, a instalação no período noturno, exceto na casa, nos termos do art. 5º, XI, da Constituição.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 2º, CF, art. 5º, XI</i><hr><b>BIZU:</b> Noite pode, mas casa tem proteção constitucional reforçada.
A instalação de dispositivo de captação ambiental pode violar livremente a casa?;<font color="#ff4444"><b>Não.</b></font> A lei ressalva a proteção constitucional da casa prevista no art. 5º, XI, da Constituição Federal.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 2º, CF, art. 5º, XI</i><hr><b>BIZU:</b> Casa é asilo inviolável. Captação ambiental não atropela essa regra.
Qual é o prazo da captação ambiental?;A captação ambiental não pode exceder <font color="#ffeb3b">15 dias</font>.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 3º</i><hr><b>BIZU:</b> Captação ambiental também tem número-chave: 15 dias.
A captação ambiental pode ser renovada?;<b>Sim.</b> Pode ser renovada por decisão judicial por iguais períodos, se comprovada a indispensabilidade do meio de prova e presente atividade criminal permanente, habitual ou continuada.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 3º</i><hr><b>BIZU:</b> Renovação exige dois filtros: indispensabilidade + atividade permanente, habitual ou continuada.
Quais requisitos específicos aparecem para renovar captação ambiental?;Comprovação da indispensabilidade do meio de prova e presença de atividade criminal permanente, habitual ou continuada.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 3º</i><hr><b>BIZU:</b> Não basta querer mais prazo. Precisa de crime que continue no tempo.
A captação ambiental feita por um dos interlocutores pode ser usada em matéria de defesa?;<b>Sim.</b> Mesmo sem prévio conhecimento da autoridade policial ou do Ministério Público, pode ser utilizada em matéria de defesa quando demonstrada a integridade da gravação.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 4º</i><hr><b>BIZU:</b> Interlocutor gravando para se defender pode usar, se provar integridade.
Qual é o requisito para usar captação ambiental feita por um dos interlocutores em defesa?;Deve ser demonstrada a <b>integridade da gravação</b>.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 4º</i><hr><b>BIZU:</b> Gravação defensiva precisa estar íntegra, sem manipulação.
As regras de interceptação telefônica aplicam-se à captação ambiental?;<b>Sim, subsidiariamente.</b> Aplicam-se à captação ambiental as regras previstas na legislação específica para interceptação telefônica e telemática.<br><br><i>Fonte: Lei nº 9.296/96, art. 8º-A, § 5º</i><hr><b>BIZU:</b> Captação ambiental pega emprestado o regime da interceptação quando couber.
O que criminaliza o art. 10 da Lei nº 9.296/96?;Criminaliza realizar interceptação de comunicações telefônicas, de informática ou telemática, promover escuta ambiental ou quebrar segredo de justiça, sem autorização judicial ou com objetivos não autorizados em lei.<br><br><i>Fonte: Lei nº 9.296/96, art. 10</i><hr><b>BIZU:</b> Sem juiz ou fora da finalidade legal, vira crime.
Qual é a pena do crime do art. 10 da Lei nº 9.296/96?;A pena é de reclusão de <font color="#ffeb3b">2 a 4 anos</font> e multa.<br><br><i>Fonte: Lei nº 9.296/96, art. 10</i><hr><b>BIZU:</b> Art. 10: 2 a 4 e multa.
A autoridade judicial também pode responder pelo crime do art. 10?;<b>Sim.</b> Incorre na mesma pena a autoridade judicial que determina a execução da conduta com objetivo não autorizado em lei.<br><br><i>Fonte: Lei nº 9.296/96, art. 10, parágrafo único</i><hr><b>BIZU:</b> Juiz também responde se ordenar grampo com finalidade ilícita.
