Frente;Verso
O que é o princípio do <b>mínimo para ter certeza</b>?;É o raciocínio em que buscamos a menor quantidade necessária para garantir que algo aconteça, mesmo no pior caso possível.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Pense no pior caso antes da garantia.
Qual é o grande segredo do material em <b>mínimo para ter certeza</b>?;Evitar sortear o que o enunciado deseja. Quando não for mais possível evitar, o próximo item garante a resposta.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Evite o objetivo até o limite. Depois some 1.
O que significa trabalhar com o <b>pior caso</b> na Casa dos Pombos?;Significa imaginar a situação mais desfavorável possível, na qual o resultado desejado ainda não aconteceu.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Pior caso é o máximo antes da certeza.
Qual é a fórmula prática para garantir <b>k itens da mesma categoria</b>?;Distribua no máximo k - 1 itens em cada categoria e depois some 1.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Para garantir k, evite com k menos 1.
Como garantir <b>2 itens da mesma cor</b> em 3 cores?;Pegue 1 item de cada cor no pior caso, totalizando 3. O próximo item garante 2 da mesma cor. Resposta: 4.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Três cores aceitam 3 sem par. O 4º força par.
[QUESTÃO] Em uma urna há bolas pretas, brancas e verdes. Qual é o mínimo para garantir <b>2 bolas da mesma cor</b>?;<b>4 bolas</b>. No pior caso, retiramos uma preta, uma branca e uma verde. A quarta bola necessariamente repete alguma cor.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Número de cores + 1 garante par.
[QUESTÃO] Em uma urna com 3 cores, qual é o mínimo para garantir <b>3 bolas da mesma cor</b>?;<b>7 bolas</b>. No pior caso, retiramos 2 de cada cor, totalizando 6. A 7ª bola força a terceira de alguma cor.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Para garantir 3, segure 2 por cor e some 1.
[QUESTÃO] Em uma urna com 3 cores, qual é o mínimo para garantir <b>4 bolas da mesma cor</b>?;<b>10 bolas</b>. No pior caso, retiramos 3 de cada cor, totalizando 9. A 10ª bola força a quarta de alguma cor.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Para garantir 4, segure 3 por cor e some 1.
[QUESTÃO] Em um setor com advogados, contadores, administradores e economistas, qual é a lógica para garantir <b>3 funcionários da mesma formação</b>?;Pegamos no máximo 2 de cada formação no pior caso. Com 4 formações, isso dá 8. O próximo funcionário garante 3 da mesma formação. Resposta: 9.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Quatro gavetas com 2 em cada uma. O 9º estoura uma gaveta.
Qual é o erro comum em questões que pedem <b>mesma cor</b> ou <b>mesma formação</b>?;Tentar calcular probabilidade. O problema não pede chance, pede certeza no pior caso.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Casa dos Pombos não é probabilidade. É garantia.
O que é o <b>modelo de itens de cores diferentes</b> no material?;É o modelo em que a questão pede garantir pelo menos um item de cada cor ou categoria.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Agora o objetivo não é repetir. É completar o conjunto.
Qual é a regra para garantir <b>uma de cada cor</b>?;No pior caso, retiramos todos os itens das maiores cores evitando uma cor. Quando não der mais para evitar a cor que falta, somamos 1.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Para ter todas as cores, evite uma cor até o limite.
[QUESTÃO] Em uma urna com 15 pretas, 10 brancas e 13 verdes, qual é o mínimo para garantir <b>uma de cada cor</b>?;<b>29 bolas</b>. Para evitar uma cor, pegamos todas as duas maiores cores: 15 pretas e 13 verdes, total 28. A próxima bola força a cor que faltava.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Evite a menor cor pegando as duas maiores.
[QUESTÃO] Em uma gaveta com 6 lenços brancos, 8 azuis e 9 vermelhos, quantos retirar para garantir <b>um de cada cor</b>?;<b>18 lenços</b>. No pior caso, retiramos todos os vermelhos e azuis, 9 + 8 = 17, sem pegar branco. O 18º garante branco e completa as três cores.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Some as duas maiores quantidades e acrescente 1.
[QUESTÃO] Em uma câmara com 10 vereadores do partido A, 6 do B e 5 do C, qual é o mínimo para garantir <b>um vereador de cada partido</b>?;<b>17 vereadores</b>. No pior caso, sorteamos todos dos dois maiores partidos, 10 + 6 = 16. O próximo força alguém do partido C.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Para garantir todos os partidos, tente excluir o menor.
Qual é a fórmula para garantir <b>k pessoas no mesmo mês de aniversário</b>?;Como há 12 meses, colocamos k - 1 pessoas em cada mês e somamos 1. Fórmula: 12 × (k - 1) + 1.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Meses são 12 gavetas.
[QUESTÃO] Qual é o mínimo de pessoas para garantir <b>3 aniversariantes no mesmo mês</b>?;<b>25 pessoas</b>. No pior caso, colocamos 2 pessoas em cada um dos 12 meses, total 24. A 25ª força 3 no mesmo mês.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> 12 meses vezes 2, depois mais 1.
[QUESTÃO] Qual é o mínimo de pessoas para garantir <b>4 aniversariantes no mesmo mês</b>?;<b>37 pessoas</b>. No pior caso, são 3 pessoas em cada mês, total 36. A próxima força 4 em algum mês.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Para garantir 4, lota cada mês com 3.
[QUESTÃO] Qual é o mínimo de pessoas para garantir <b>7 aniversariantes no mesmo mês</b>?;<b>73 pessoas</b>. No pior caso, 6 pessoas em cada um dos 12 meses, total 72. A 73ª força 7 no mesmo mês.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> 12 × 6 + 1.
[QUESTÃO] Qual é o mínimo de pessoas para garantir <b>100 aniversariantes no mesmo mês</b>?;<b>1189 pessoas</b>. No pior caso, 99 pessoas em cada um dos 12 meses, total 1188. A próxima força 100 em algum mês.<br><br><i>Fonte: Mínimo para ter certeza</i><hr><b>BIZU:</b> Para garantir 100, segure 99 por mês.
