Frente;Verso
Quando usamos <b>logaritmo</b> em juros compostos?;Usamos logaritmo quando o tempo está no expoente e não conseguimos descobrir esse tempo por potência simples ou tabela.<br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> Se o tempo está escondido no expoente, o logaritmo é a chave.
Qual é a fórmula-base dos juros compostos usada antes do logaritmo?;<b>M = C.(1+i)^t</b><br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> Logaritmo entra depois que você monta a fórmula composta.
Qual é a fórmula para encontrar o tempo em juros compostos usando logaritmo?;<b>t = log(M/C) / log(1+i)</b><br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> Tempo é log do fator acumulado dividido por log do fator periódico.
Por que aparece <b>M/C</b> na fórmula com logaritmo?;Porque, em M = C.(1+i)^t, dividimos os dois lados por C para isolar o fator acumulado:<br><br>M/C = (1+i)^t.<br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> M/C mostra quantas vezes o capital cresceu.
Por que aparece <b>log(1+i)</b> no denominador?;Porque o fator periódico dos juros compostos é 1+i. Ao aplicar logaritmo, o expoente t desce multiplicando log(1+i).<br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> O denominador é o log do fator de crescimento por período.
Qual propriedade do logaritmo permite tirar o tempo do expoente?;<b>log(a^t) = t.log(a)</b>.<br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> Essa é a propriedade que “desce” o expoente.
Se um capital deve <b>duplicar</b>, qual é o fator M/C?;O fator é 2.<br><br>Se M = 2C, então M/C = 2.<br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> Duplicar é virar 2 vezes o capital.
Se um capital deve <b>triplicar</b>, qual é o fator M/C?;O fator é 3.<br><br>Se M = 3C, então M/C = 3.<br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> Triplicar é virar 3 vezes o capital.
Se um capital deve <b>quadruplicar</b>, qual é o fator M/C?;O fator é 4.<br><br>Se M = 4C, então M/C = 4.<br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> Quadruplicar é virar 4 vezes o capital.
Qual é a fórmula do tempo para um capital <b>duplicar</b> à taxa i?;<b>t = log(2) / log(1+i)</b>.<br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> Duplicou, o numerador é log(2).
Qual é a fórmula do tempo para um capital <b>triplicar</b> à taxa i?;<b>t = log(3) / log(1+i)</b>.<br><br><i>Fonte: Juros Compostos com Logaritmo</i><hr><b>BIZU:</b> Triplicou, o numerador é log(3).
