Frente;Verso
O que é <b>probabilidade</b>?;Probabilidade é a medida da chance de um evento acontecer. Em provas, normalmente calculamos essa chance comparando o que o enunciado deseja com tudo o que pode acontecer.<br><br><i>Fonte: Cálculo de Probabilidade – Parte básica</i><hr><b>BIZU:</b> Probabilidade é pergunta de chance. Chance de quê sobre total possível.
Qual é a fórmula básica da <b>probabilidade de Laplace</b>?;<b>Probabilidade = casos favoráveis / casos possíveis</b>. No material, aparece como aquilo que o enunciado deseja dividido por aquilo que pode acontecer.<br><br><i>Fonte: Cálculo de Probabilidade – Parte básica</i><hr><b>BIZU:</b> Desejado em cima, possível embaixo.
O que significa <b>casos favoráveis</b> em probabilidade?;São os resultados que atendem ao que o enunciado pediu. Eles ficam no numerador da fração.<br><br><i>Fonte: Cálculo de Probabilidade – Parte básica</i><hr><b>BIZU:</b> Favorável é o que você quer que aconteça.
O que significa <b>casos possíveis</b> em probabilidade?;São todos os resultados que podem acontecer no experimento. Eles ficam no denominador da fração.<br><br><i>Fonte: Cálculo de Probabilidade – Parte básica</i><hr><b>BIZU:</b> Possível é o universo inteiro da jogada.
Qual é a pergunta mental para montar uma probabilidade básica?;Pergunte: <b>o que o enunciado deseja?</b> e depois <b>o que pode acontecer?</b>. A resposta será desejado dividido por possível.<br><br><i>Fonte: Cálculo de Probabilidade – Parte básica</i><hr><b>BIZU:</b> Primeiro desejo, depois universo.
Em uma urna, se há 50 bolas e 5 são verdes, qual é a probabilidade de retirar uma bola verde?;<b>5/50 = 1/10</b>. O desejado são as 5 bolas verdes. O possível são as 50 bolas da urna.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo da urna</i><hr><b>BIZU:</b> Verde pedido em cima, total da urna embaixo.
Em uma urna com 20 bolas azuis em um total de 50 bolas, qual é a probabilidade de retirar uma bola azul?;<b>20/50 = 2/5</b>. O desejado são 20 bolas azuis e o possível são 50 bolas totais.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo da urna</i><hr><b>BIZU:</b> Não complique. Cor pedida sobre total.
Em uma urna com 50 bolas, sendo 15 vermelhas, qual é a probabilidade de <b>não</b> retirar bola vermelha?;<b>35/50 = 7/10</b>. Se 15 são vermelhas, então 35 não são vermelhas.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo da urna</i><hr><b>BIZU:</b> Não vermelho é o resto do total.
Em uma urna sem bolas amarelas, qual é a probabilidade de retirar uma bola amarela?;<b>0</b>. Não há casos favoráveis, porque nenhuma bola amarela existe na urna.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo da urna</i><hr><b>BIZU:</b> Nada favorável gera probabilidade zero.
Em uma urna sem bolas amarelas, qual é a probabilidade de <b>não</b> retirar bola amarela?;<b>1</b>. Como não existe bola amarela, todo resultado possível será não amarelo.<br><br><i>Fonte: Cálculo de Probabilidade – Exemplo da urna</i><hr><b>BIZU:</b> Se o evento é impossível, o complementar dele é certo.
O que é um <b>experimento aleatório</b>?;É uma experiência ou observação cujo resultado não pode ser previsto com certeza antes de ocorrer, embora os resultados possíveis possam ser conhecidos.<br><br><i>Fonte: Cálculo de Probabilidade – Terminologias</i><hr><b>BIZU:</b> Aleatório não significa sem regra. Significa sem certeza do resultado.
O que é <b>espaço amostral</b>?;É o conjunto de todos os resultados possíveis de um experimento aleatório.<br><br><i>Fonte: Cálculo de Probabilidade – Terminologias</i><hr><b>BIZU:</b> Espaço amostral é o universo do problema.
Qual é o espaço amostral do lançamento de um dado comum?;<b>{1, 2, 3, 4, 5, 6}</b>. São os seis resultados possíveis em um dado de seis faces.<br><br><i>Fonte: Cálculo de Probabilidade – Terminologias</i><hr><b>BIZU:</b> Dado comum tem 6 possibilidades.
Qual é o espaço amostral do lançamento de uma moeda?;<b>{cara, coroa}</b>. São os dois resultados possíveis em uma moeda comum.<br><br><i>Fonte: Cálculo de Probabilidade – Terminologias</i><hr><b>BIZU:</b> Moeda comum tem 2 possibilidades.
