Frente;Verso
[BLOCO 01] Qual é o objeto central do <b>Estatuto do Desarmamento</b>?;O Estatuto do Desarmamento regulamenta o <font color="#00e676">registro</font>, a <font color="#00e676">posse</font>, o <font color="#00e676">porte</font> e a <font color="#00e676">comercialização</font> de armas de fogo e munição no Brasil.<br><br><i>Fonte: Lei nº 10.826/2003, introdução do material</i><hr><b>BIZU:</b> Decore a escadinha: <b>RePoPoCo</b>, Registro, Posse, Porte, Comercialização.
Qual foi a lógica política e jurídica do Estatuto do Desarmamento?;A lógica foi tornar mais rigoroso o controle estatal sobre armas de fogo, dificultar o acesso ao porte, estimular a entrega espontânea de armas e punir de forma mais específica o comércio ilegal e o tráfico internacional.<br><br><i>Fonte: Lei nº 10.826/2003, disposições iniciais</i><hr><b>BIZU:</b> O Estatuto tem duas mãos: <font color="#00e676">controle administrativo</font> e <font color="#ff4444">repressão penal</font>.
O Estatuto do Desarmamento proibiu totalmente a comercialização de armas de fogo e munições no Brasil?;<b>Não.</b> Houve tentativa de proibição geral pelo art. 35, mas o dispositivo dependia de referendo popular em 2005 e não foi aprovado. Assim, a comercialização continua possível, desde que respeitadas as condições legais.<br><br><i>Fonte: Lei nº 10.826/2003, art. 35</i><hr><b>BIZU:</b> Referendo de 2005 não derrubou o Estatuto, derrubou só a <font color="#ff4444">proibição geral do comércio</font>.
Qual foi o efeito do referendo de 2005 sobre o Estatuto do Desarmamento?;O referendo não invalidou o Estatuto. Ele apenas impediu a entrada em vigor da proibição genérica de comercialização de arma de fogo e munição no território nacional.<br><br><i>Fonte: Lei nº 10.826/2003, art. 35</i><hr><b>BIZU:</b> Pegadinha clássica: <b>referendo não revogou a lei</b>, apenas barrou a proibição total de comércio.
O que é o <b>Sinarm</b>?;O Sinarm é o <b>Sistema Nacional de Armas</b>, instituído no Ministério da Justiça, no âmbito da Polícia Federal, com circunscrição em todo o território nacional.<br><br><i>Fonte: Lei nº 10.826/2003, art. 1º</i><hr><b>BIZU:</b> Sinarm = <font color="#00e676">Polícia Federal + Ministério da Justiça + todo o Brasil</font>.
Em qual órgão o Sinarm foi instituído?;O Sinarm foi instituído no <font color="#00e676">Ministério da Justiça</font>, no âmbito da <font color="#00e676">Polícia Federal</font>.<br><br><i>Fonte: Lei nº 10.826/2003, art. 1º</i><hr><b>BIZU:</b> Se a banca disser Presidência da República, Polícia Civil ou gestão compartilhada, acenda o alerta vermelho.
Qual é a circunscrição territorial do Sinarm?;O Sinarm tem circunscrição em <font color="#00e676">todo o território nacional</font>.<br><br><i>Fonte: Lei nº 10.826/2003, art. 1º</i><hr><b>BIZU:</b> Sinarm não é local, estadual ou regional. É nacional.
Qual é a função geral das atribuições do Sinarm?;As atribuições do Sinarm estão ligadas principalmente ao <font color="#00e676">registro</font>, ao <font color="#00e676">cadastro</font>, ao <font color="#00e676">controle</font> e ao <font color="#00e676">rastreamento</font> de armas de fogo, munições, proprietários, autorizações e ocorrências relevantes.<br><br><i>Fonte: Lei nº 10.826/2003, art. 2º</i><hr><b>BIZU:</b> Sinarm é o grande cartório policial das armas.
O Sinarm identifica quais dados das armas de fogo?;O Sinarm identifica as <font color="#00e676">características</font> e a <font color="#00e676">propriedade</font> das armas de fogo, mediante cadastro.<br><br><i>Fonte: Lei nº 10.826/2003, art. 2º, I</i><hr><b>BIZU:</b> Identificar é saber duas coisas: como é a arma e de quem é a arma.
O Sinarm cadastra armas produzidas, importadas e vendidas no Brasil?;<b>Sim.</b> Compete ao Sinarm cadastrar as armas de fogo produzidas, importadas e vendidas no País.<br><br><i>Fonte: Lei nº 10.826/2003, art. 2º, II</i><hr><b>BIZU:</b> Entrou, nasceu ou foi vendida no Brasil, o Sinarm quer saber.
