Frente;Verso
O que é <b>interceptação telefônica</b>?;<b>Interceptação telefônica</b> é a captação da comunicação telefônica alheia por terceiro, sem o conhecimento dos comunicadores.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Terceiro escuta e ninguém da conversa sabe. Por isso precisa de juiz.
Qual é a estrutura da interceptação telefônica?;A estrutura é: <b>terceiro captador</b>, <b>comunicação telefônica alheia</b> e <b>desconhecimento dos dois comunicadores</b>.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Interceptação = terceiro escondido dos dois lados.
A interceptação telefônica depende de autorização judicial?;<b>Sim.</b> A interceptação telefônica depende de prévia autorização judicial, nos termos da Constituição e da Lei nº 9.296/96.<br><br><i>Fonte: CF, art. 5º, XII, Lei nº 9.296/96, art. 1º</i><hr><b>BIZU:</b> Terceiro ouvindo os dois sem saberem exige juiz.
O que é <b>escuta telefônica</b>?;<b>Escuta telefônica</b> é a captação da comunicação telefônica por terceiro, com conhecimento de um dos comunicadores e desconhecimento do outro.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Escuta = terceiro escuta, um sabe e o outro não.
Qual é a estrutura da escuta telefônica?;A estrutura é: <b>terceiro captador</b>, <b>conhecimento de um comunicador</b> e <b>desconhecimento do outro</b>.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Escuta tem um participante consciente e outro no escuro.
O que é <b>gravação telefônica</b>?;<b>Gravação telefônica</b> é a gravação da comunicação feita por um dos próprios comunicadores, sem conhecimento do outro.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Gravação telefônica é autogravação.
Por que a gravação telefônica também é chamada de <b>autogravação</b>?;Porque é feita por um dos próprios interlocutores da conversa, e não por terceiro estranho à comunicação.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Auto = eu mesmo gravo a conversa de que participo.
A gravação telefônica feita por um dos interlocutores é igual à interceptação telefônica?;<font color="#ff4444"><b>Não.</b></font> Na gravação telefônica, um dos interlocutores grava a própria conversa. Na interceptação, um terceiro capta conversa alheia sem ciência dos comunicadores.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Quem grava faz diferença: participante é gravação, terceiro oculto é interceptação.
O que é <b>interceptação ambiental</b>?;<b>Interceptação ambiental</b> é a captação da comunicação no próprio ambiente por terceiro, sem conhecimento dos comunicadores.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> É o terceiro escondido no ambiente, sem ninguém saber.
Qual é a estrutura da interceptação ambiental?;A estrutura é: <b>terceiro captador</b>, <b>ambiente físico ou comunicacional</b> e <b>desconhecimento dos comunicadores</b>.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Igual à interceptação telefônica na lógica, mas muda o lugar: ambiente.
O que é <b>escuta ambiental</b>?;<b>Escuta ambiental</b> é a captação da comunicação no ambiente por terceiro, com consentimento de um dos comunicadores.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Terceiro no ambiente + um comunicador sabe = escuta ambiental.
Qual é a estrutura da escuta ambiental?;A estrutura é: <b>terceiro captador</b>, <b>ambiente da comunicação</b>, <b>consentimento de um comunicador</b> e <b>desconhecimento do outro</b>.<br><br><i>Fonte: Conceitos importantes da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Escuta ambiental é conversa ambiente com um participante colaborando.
