Frente;Verso
Qual é a ideia central da <b>segurança pública</b> no art. 144 da CF/88?;<b>Segurança pública</b> é <font color="#00e676">dever do Estado</font>, <font color="#00e676">direito e responsabilidade de todos</font>, exercida para preservar a <b>ordem pública</b> e a <b>incolumidade das pessoas e do patrimônio</b>.<br><br><i>Fonte: Art. 144, caput, CF/88</i><hr><b>BIZU:</b> Grave a fórmula: <font color="#ffeb3b">Estado deve, todos participam, ordem e incolumidade são protegidas</font>.
Segundo o art. 144 da CF/88, a segurança pública protege quais bens jurídicos principais?;Protege a <b>ordem pública</b>, a <b>incolumidade das pessoas</b> e a <b>incolumidade do patrimônio</b>.<br><br><i>Fonte: Art. 144, caput, CF/88</i><hr><b>BIZU:</b> Trinca da segurança pública: <font color="#ffeb3b">ordem, pessoas, patrimônio</font>.
Por que a segurança pública é considerada simultaneamente dever do Estado e responsabilidade de todos?;Porque o Estado tem o <b>dever institucional</b> de organizar e executar a segurança pública, mas a sociedade também possui <b>responsabilidade colaborativa</b> na preservação da ordem e da convivência coletiva.<br><br><i>Fonte: Art. 144, caput, CF/88</i><hr><b>BIZU:</b> Não é só “polícia na rua”. Segurança pública é <font color="#00e676">Estado atuando</font> e <font color="#00e676">sociedade colaborando</font>.
O que significa dizer que a segurança pública busca preservar a <b>ordem pública</b>?;Significa manter condições mínimas de <b>paz social</b>, <b>normalidade institucional</b> e <b>convivência segura</b>, prevenindo ou reprimindo situações que perturbem a coletividade.<br><br><i>Fonte: Art. 144, caput, CF/88</i><hr><b>BIZU:</b> Ordem pública é o “ambiente funcionando sem caos”.
O que significa <b>incolumidade das pessoas e do patrimônio</b>?;Significa proteção contra danos, lesões, ameaças ou violações à <b>integridade física das pessoas</b> e aos <b>bens patrimoniais</b>.<br><br><i>Fonte: Art. 144, caput, CF/88</i><hr><b>BIZU:</b> Incolumidade = manter <font color="#00e676">ileso</font>. Pessoas ilesas, patrimônio ileso.
Como Pedro Lenza divide a <b>polícia de segurança</b>?;Pedro Lenza divide a polícia de segurança em duas grandes áreas: <b>polícia administrativa</b> e <b>polícia judiciária</b>.<br><br><i>Fonte: Doutrina de Pedro Lenza, conforme material</i><hr><b>BIZU:</b> A polícia de segurança tem dois braços: <font color="#00e676">prevenir</font> e <font color="#00e676">investigar</font>.
O que é <b>polícia administrativa</b> no contexto da segurança pública?;É a polícia de atuação <b>preventiva</b> ou <b>ostensiva</b>, voltada a evitar que o crime aconteça, atuando predominantemente no campo do ilícito administrativo.<br><br><i>Fonte: Doutrina de Pedro Lenza, conforme material</i><hr><b>BIZU:</b> Polícia administrativa = <font color="#ffeb3b">antes do crime</font>. Ela aparece para evitar.
O que é <b>polícia judiciária</b> no contexto da segurança pública?;É a polícia de atuação <b>repressiva</b> ou <b>investigativa</b>, que atua depois da ocorrência do ilícito penal, buscando apurar autoria e materialidade.<br><br><i>Fonte: Doutrina de Pedro Lenza, conforme material</i><hr><b>BIZU:</b> Polícia judiciária = <font color="#ffeb3b">depois do crime</font>. Ela investiga o que aconteceu.
Compare <b>polícia administrativa</b> e <b>polícia judiciária</b> quanto ao momento de atuação.;A <b>polícia administrativa</b> atua <font color="#00e676">antes</font>, de forma preventiva ou ostensiva. A <b>polícia judiciária</b> atua <font color="#00e676">depois</font>, de forma repressiva ou investigativa.<br><br><i>Fonte: Doutrina de Pedro Lenza, conforme material</i><hr><b>BIZU:</b> Administrativa = antes. Judiciária = já aconteceu.
Qual é o exemplo clássico de polícia administrativa indicado no material?;O exemplo clássico é a <b>Polícia Militar</b>, pois realiza policiamento ostensivo e preservação da ordem pública.<br><br><i>Fonte: Art. 144, § 5º, CF/88</i><hr><b>BIZU:</b> PM aparece uniformizada e ostensiva: isso grita <font color="#00e676">polícia administrativa</font>.
Qual é o exemplo clássico de polícia judiciária indicado no material?;O exemplo clássico é a <b>Polícia Federal</b>, especialmente quando exerce a função de polícia judiciária da União.<br><br><i>Fonte: Art. 144, § 1º, IV, CF/88</i><hr><b>BIZU:</b> Investigou crime federal, pense em <font color="#00e676">PF como polícia judiciária da União</font>.
A polícia administrativa atua em regra antes ou depois do crime?;<b>Antes</b>. A polícia administrativa atua preventivamente, para evitar a ocorrência do crime ou da perturbação à ordem pública.<br><br><i>Fonte: Doutrina de Pedro Lenza, conforme material</i><hr><b>BIZU:</b> Administrativa = antecipa. A de “administrativa” lembra “antes”.
A polícia judiciária atua em regra antes ou depois do crime?;<b>Depois</b>. A polícia judiciária atua repressivamente, investigando infrações penais já ocorridas.<br><br><i>Fonte: Doutrina de Pedro Lenza, conforme material</i><hr><b>BIZU:</b> Judiciária = já deu ruim, agora investiga.
Qual é a ponte lógica entre <b>polícia ostensiva</b> e <b>polícia administrativa</b>?;A <b>polícia ostensiva</b> é manifestação típica da <b>polícia administrativa</b>, porque atua de modo visível e preventivo para inibir condutas ilícitas e preservar a ordem pública.<br><br><i>Fonte: Art. 144, § 5º, CF/88 e doutrina citada</i><hr><b>BIZU:</b> Ostensiva = visível. Visível = previne. Previniu = administrativa.
Qual é a ponte lógica entre <b>investigação criminal</b> e <b>polícia judiciária</b>?;A <b>investigação criminal</b> é atividade típica de <b>polícia judiciária</b>, pois ocorre após o ilícito penal e busca elementos para a persecução penal.<br><br><i>Fonte: Art. 144, § 1º, IV e § 4º, CF/88</i><hr><b>BIZU:</b> Investigação olha para trás: “quem fez, como fez, quando fez”.
A expressão <b>polícia de segurança</b> equivale apenas à polícia judiciária?;<b>Não</b>. A polícia de segurança é gênero que abrange tanto a <b>polícia administrativa</b> quanto a <b>polícia judiciária</b>.<br><br><i>Fonte: Doutrina de Pedro Lenza, conforme material</i><hr><b>BIZU:</b> Segurança pública não é só investigação. Tem prevenção e repressão.
O que o STF decidiu no HC 68.928/PA sobre o policiamento naval?;O STF decidiu que a atividade de <b>policiamento naval</b> é atividade secundária da Marinha de Guerra, de caráter meramente <b>administrativo</b>.<br><br><i>Fonte: STF, HC 68.928/PA</i><hr><b>BIZU:</b> Naval aqui não vira “atividade militar típica”. É policiamento com natureza administrativa.
A atividade de policiamento naval tem natureza militar pelo simples fato de ser desempenhada pela Marinha?;<b>Não</b>. Segundo o STF, não se pode atribuir natureza militar ao policiamento naval apenas porque ele é desempenhado pela Marinha de Guerra.<br><br><i>Fonte: STF, HC 68.928/PA</i><hr><b>BIZU:</b> Quem faz não muda automaticamente a natureza da função.
Qual é a pegadinha sobre o <b>policiamento naval</b>?;A pegadinha é afirmar que o policiamento naval tem <b>natureza militar</b> por ser exercido pela Marinha. O STF entendeu que tem caráter <b>administrativo</b>.<br><br><i>Fonte: STF, HC 68.928/PA</i><hr><b>BIZU:</b> Marinha executa, mas a função é administrativa. Não confunda órgão com natureza da atividade.
