Frente;Verso
O que é um <b>padrão cíclico</b>?;É um padrão que se repete sempre na mesma ordem depois de certa quantidade de termos.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> Ciclo é uma roda: terminou, começa de novo.
Qual é a ideia central das questões de <b>padrões cíclicos</b>?;Identificar o bloco que se repete e localizar a posição pedida dentro desse bloco.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> Ache o bloco, ache o resto.
Qual é o primeiro passo em uma questão de padrão cíclico?;Descobrir qual é o bloco que se repete.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> Antes da conta, descubra o ciclo.
Qual é o segundo passo em uma questão de padrão cíclico?;Contar quantos elementos existem dentro do bloco repetido.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> O tamanho do bloco é o divisor.
Qual é o terceiro passo em uma questão de padrão cíclico?;Dividir a posição pedida pelo tamanho do ciclo e observar o resto.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> O resto aponta a posição dentro do ciclo.
Em padrão cíclico, o que significa <b>resto 1</b>?;Significa que a posição cai no 1º elemento do ciclo.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Resto 1 volta para o começo do bloco.
Em padrão cíclico, o que significa <b>resto 2</b>?;Significa que a posição cai no 2º elemento do ciclo.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Resto 2 aponta para o segundo lugar.
Em padrão cíclico, o que significa <b>resto 0</b>?;Significa que a posição cai no último elemento do ciclo.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Resto zero não é posição zero. É o fim do ciclo.
Qual é a maior pegadinha em padrão cíclico?;Tratar resto zero como primeiro elemento. Na verdade, resto zero indica o último elemento do ciclo.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Zero no resto fecha o bloco.
Como resolver uma sequência formada por <b>palavras repetidas</b>?;Junte as palavras que formam o bloco, conte o número de letras do bloco e use o resto da posição pedida por esse tamanho.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> Palavra repetida vira ciclo de letras.
Qual é o bloco repetido em <b>SALVADORBAHIASALVADORBAHIA...</b>?;<b>SALVADORBAHIA</b>.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> O ciclo é Salvador + Bahia.
Quantas letras tem o bloco <b>SALVADORBAHIA</b>?;<b>13 letras</b>. SALVADOR tem 8 letras e BAHIA tem 5 letras. Total 13.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> 8 + 5 = 13.
Na sequência <b>SALVADORBAHIA...</b>, como localizar a 500ª letra?;Divida 500 por 13, pois o ciclo tem 13 letras. O resto indica a posição dentro do bloco SALVADORBAHIA.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> Posição grande pede divisão pelo ciclo.
Quanto é <b>500 dividido por 13</b> em termos de resto?;<b>Resto 6</b>. Como 13 × 38 = 494, sobra 6.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> 500 = 13×38 + 6.
Qual é a 6ª letra de <b>SALVADORBAHIA</b>?;<b>D</b>. Contando: S=1, A=2, L=3, V=4, A=5, D=6.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> O resto 6 manda pegar a 6ª letra.
[QUESTÃO] Na sequência <b>SALVADORBAHIASALVADORBAHIA...</b>, qual é a 500ª letra?;<b>D</b>. O bloco SALVADORBAHIA tem 13 letras. Como 500 dividido por 13 deixa resto 6, pegamos a 6ª letra do bloco, que é D.<br><br><i>Fonte: Psicotécnicos – Questões de Padrão</i><hr><b>BIZU:</b> Ciclo 13, resto 6, letra D.
