Frente;Verso
Quais órgãos formam a segurança pública dos Estados no material?;A segurança pública dos Estados é atribuída às <b>Polícias Civis</b>, <b>Polícias Militares</b>, <b>Polícias Penais</b> e aos <b>Corpos de Bombeiros Militares</b>.<br><br><i>Fonte: Art. 144, CF/88</i><hr><b>BIZU:</b> Estados têm quatro blocos fortes: Civil investiga, Militar ostensiva, Penal presídio, Bombeiro defesa civil.
As polícias estaduais são organizadas e mantidas por quem?;São organizadas e mantidas pelos <b>Estados</b>, observadas as normas gerais federais quando cabíveis.<br><br><i>Fonte: Art. 144, CF/88 e art. 22, CF/88</i><hr><b>BIZU:</b> Estado organiza a polícia estadual, mas a União edita normas gerais em pontos sensíveis.
Quais normas gerais federais devem ser observadas pelas polícias militares e corpos de bombeiros militares?;Devem observar normas gerais federais sobre <b>organização</b>, <b>efetivos</b>, <b>material bélico</b>, <b>garantias</b>, <b>convocação</b> e <b>mobilização</b>.<br><br><i>Fonte: Art. 22, CF/88</i><hr><b>BIZU:</b> Mnemônico: <font color="#ffeb3b">OEM-GCM</font> = organização, efetivos, material bélico, garantias, convocação, mobilização.
Quem dirige as <b>Polícias Civis</b>?;As Polícias Civis são dirigidas por <b>delegados de polícia de carreira</b>.<br><br><i>Fonte: Art. 144, § 4º, CF/88</i><hr><b>BIZU:</b> Polícia Civil = delegado de carreira no comando.
Quais são as funções constitucionais das <b>Polícias Civis</b>?;Às Polícias Civis incumbem, ressalvada a competência da União, as funções de <b>polícia judiciária</b> e a <b>apuração de infrações penais</b>, exceto as militares.<br><br><i>Fonte: Art. 144, § 4º, CF/88</i><hr><b>BIZU:</b> Civil = judiciária estadual + apuração penal comum.
Qual é a grande exceção à atuação investigativa da Polícia Civil?;A Polícia Civil <font color="#ff4444">não apura infrações penais militares</font>.<br><br><i>Fonte: Art. 144, § 4º, CF/88</i><hr><b>BIZU:</b> Civil investiga quase tudo no Estado, exceto crime militar.
A Polícia Civil apura infrações penais de competência da União?;<b>Não</b>. A atuação da Polícia Civil ocorre <font color="#ff4444">ressalvada a competência da União</font>, que cabe à Polícia Federal nas hipóteses constitucionais.<br><br><i>Fonte: Art. 144, § 4º e § 1º, CF/88</i><hr><b>BIZU:</b> Se o crime é federal nos termos do art. 144, chama PF, não Polícia Civil.
A Polícia Civil pode apurar crimes comuns praticados por militares?;<b>Sim</b>. Segundo o STF, compete à Polícia Civil apurar crimes comuns praticados por militares, quando estranhos à atividade militar.<br><br><i>Fonte: Jurisprudência do STF citada no material</i><hr><b>BIZU:</b> Militar como pessoa pode cometer crime comum. Crime comum não vira militar só pelo autor.
Qual é a diferença entre <b>crime militar</b> e <b>crime comum praticado por militar</b> para fins de Polícia Civil?;<b>Crime militar</b> não é apurado pela Polícia Civil. Já o <b>crime comum praticado por militar</b>, estranho à atividade militar, pode ser apurado pela Polícia Civil.<br><br><i>Fonte: Art. 144, § 4º, CF/88 e jurisprudência do STF</i><hr><b>BIZU:</b> Olhe a natureza do crime, não apenas a farda do autor.
Qual é a função típica da Polícia Civil no contraste com a Polícia Militar?;A Polícia Civil exerce <b>polícia judiciária</b> e apura infrações penais. A Polícia Militar exerce <b>polícia ostensiva</b> e preserva a ordem pública.<br><br><i>Fonte: Art. 144, § 4º e § 5º, CF/88</i><hr><b>BIZU:</b> Civil investiga, Militar ostenta presença preventiva.
