Frente;Verso
O que é uma <b>fração</b>?;É uma forma de representar uma parte de um todo ou uma divisão entre dois números.<br><br><i>Fonte: Aula Bônus 7 — Operações com Frações</i><hr><b>BIZU:</b> Fração é divisão disfarçada. O número de cima é dividido pelo número de baixo.
O que é o <b>numerador</b> de uma fração?;É o número de cima da fração. Ele indica quantas partes estão sendo consideradas.<br><br><i>Fonte: Aula Bônus 7 — Operações com Frações</i><hr><b>BIZU:</b> Numerador fica no norte. Norte lembra em cima.
O que é o <b>denominador</b> de uma fração?;É o número de baixo da fração. Ele indica em quantas partes iguais o todo foi dividido.<br><br><i>Fonte: Aula Bônus 7 — Operações com Frações</i><hr><b>BIZU:</b> Denominador dá o nome do pedaço. Terços, quartos, quintos.
O que significa simplificar uma fração?;Significa dividir numerador e denominador pelo mesmo número até chegar a uma fração equivalente menor.<br><br><i>Fonte: Aula Bônus 7 — Operações com Frações</i><hr><b>BIZU:</b> Simplificar é reduzir sem mudar o valor.
O que são frações equivalentes?;São frações diferentes na escrita, mas iguais no valor.<br><br>Exemplo: 1/2, 2/4 e 3/6 representam a mesma quantidade.<br><br><i>Fonte: Aula Bônus 7 — Operações com Frações</i><hr><b>BIZU:</b> Mudou a roupa, mas o valor é o mesmo.
Qual é a regra para <b>somar frações com denominadores iguais</b>?;Some os numeradores e mantenha o denominador.<br><br>Exemplo: 3/5 + 1/5 = 4/5.<br><br><i>Fonte: Aula Bônus 7 — Soma ou Subtração</i><hr><b>BIZU:</b> Denominador igual fica parado. Quem trabalha é o numerador.
Qual é a regra para <b>subtrair frações com denominadores iguais</b>?;Subtraia os numeradores e mantenha o denominador.<br><br>Exemplo: 3/7 - 1/7 = 2/7.<br><br><i>Fonte: Aula Bônus 7 — Soma ou Subtração</i><hr><b>BIZU:</b> Mesmo denominador, mesma família. Só mexe em cima.
O que fazer quando as frações têm denominadores diferentes em soma ou subtração?;É necessário tornar os denominadores iguais, normalmente usando o MMC entre eles.<br><br><i>Fonte: Aula Bônus 7 — Soma ou Subtração</i><hr><b>BIZU:</b> Para somar ou subtrair, os pedaços precisam ter o mesmo tamanho.
Por que não posso somar denominadores diretamente?;Porque o denominador indica o tamanho das partes. Somar denominadores mudaria o tamanho do pedaço e destruiria o valor da fração.<br><br><i>Fonte: Aula Bônus 7 — Soma ou Subtração</i><hr><b>BIZU:</b> Na soma de frações, denominador não soma.
Quanto é 1/2 + 1/3?;1/2 + 1/3 = 3/6 + 2/6 = 5/6.<br><br><i>Fonte: Aula Bônus 7 — Soma com denominadores diferentes</i><hr><b>BIZU:</b> MMC de 2 e 3 é 6. Primeiro iguala, depois soma.
Quanto é 4/5 + 1/3 - 7/8?;4/5 + 1/3 - 7/8 = 31/120.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de soma e subtração</i><hr><b>BIZU:</b> MMC de 5, 3 e 8 é 120. Com denominadores diferentes, iguale tudo antes.
Quanto é 4/2 + 1/6 - 7/8?;4/2 + 1/6 - 7/8 = 31/24.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de soma e subtração</i><hr><b>BIZU:</b> 4/2 já vale 2. Não trate como número pequeno só porque aparece em fração.
Quanto é 5 + 3/5?;5 + 3/5 = 28/5.<br><br><i>Fonte: Aula Bônus 7 — Exercícios com número inteiro e fração</i><hr><b>BIZU:</b> Transforme 5 em 25/5. Depois some 3/5.
Quanto é 4 - 5/2?;4 - 5/2 = 8/2 - 5/2 = 3/2.<br><br><i>Fonte: Aula Bônus 7 — Exercícios com número inteiro e fração</i><hr><b>BIZU:</b> Inteiro vira fração com o mesmo denominador do outro termo.
Quanto é 3 + 1/3?;3 + 1/3 = 10/3.<br><br><i>Fonte: Aula Bônus 7 — Número misto</i><hr><b>BIZU:</b> 3 inteiros são 9/3. Com mais 1/3 fica 10/3.
O que é um <b>número misto</b>?;É um número formado por uma parte inteira somada a uma fração, mesmo que o sinal de soma não apareça.<br><br><i>Fonte: Aula Bônus 7 — Número Misto</i><hr><b>BIZU:</b> Número misto é inteiro com fração grudada.
Como transformar número misto em fração imprópria?;Multiplique o inteiro pelo denominador, some o numerador e mantenha o denominador.<br><br>Exemplo: 3 1/3 = 10/3.<br><br><i>Fonte: Aula Bônus 7 — Número Misto</i><hr><b>BIZU:</b> Inteiro vezes denominador, soma o numerador, mantém embaixo.
Qual é a regra para <b>multiplicar frações</b>?;Multiplique numerador com numerador e denominador com denominador.<br><br><i>Fonte: Aula Bônus 7 — Multiplicação</i><hr><b>BIZU:</b> Multiplicação de fração é reta. Cima com cima, baixo com baixo.
Na multiplicação de frações, precisa fazer MMC?;<b>Não.</b> MMC é para soma e subtração. Na multiplicação, multiplica-se numerador com numerador e denominador com denominador.<br><br><i>Fonte: Aula Bônus 7 — Multiplicação</i><hr><b>BIZU:</b> MMC mora na soma e na subtração, não na multiplicação.
Quanto é 3/5 × 1/2?;3/5 × 1/2 = 3/10.<br><br><i>Fonte: Aula Bônus 7 — Multiplicação</i><hr><b>BIZU:</b> Cima com cima, baixo com baixo.
Quanto é 3/7 × 2/5?;3/7 × 2/5 = 6/35.<br><br><i>Fonte: Aula Bônus 7 — Multiplicação</i><hr><b>BIZU:</b> Multiplicação direta, 3 × 2 em cima, 7 × 5 embaixo.
Quanto é 25/14 × 21/15?;25/14 × 21/15 = 5/2.<br><br><i>Fonte: Aula Bônus 7 — Multiplicação</i><hr><b>BIZU:</b> Antes de multiplicar tudo, simplifique cruzado quando possível.
Qual é a vantagem de simplificar antes de multiplicar frações?;Evita números grandes e reduz o risco de erro na conta.<br><br><i>Fonte: Aula Bônus 7 — Multiplicação de Frações</i><hr><b>BIZU:</b> Simplificar antes é cortar caminho.
Quanto é 3/5 × 15/9?;3/5 × 15/9 = 1.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de multiplicação</i><hr><b>BIZU:</b> Se tudo simplifica até numerador e denominador ficarem iguais, o resultado é 1.
Quanto é 36/25 × 15/9?;36/25 × 15/9 = 12/5.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de multiplicação</i><hr><b>BIZU:</b> Simplifique 36 com 9 e 15 com 25 antes de multiplicar.
Quanto é 42/50 × 5/35?;42/50 × 5/35 = 3/25.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de multiplicação</i><hr><b>BIZU:</b> Corte fatores comuns antes. Fração grande pode virar conta pequena.
Quanto é 12/5 × 40/24?;12/5 × 40/24 = 4.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de multiplicação</i><hr><b>BIZU:</b> Resultado de fração pode ser inteiro.
Quanto é 3/5 × 49/18 × 25/14 × 12/7?;3/5 × 49/18 × 25/14 × 12/7 = 5.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de multiplicação</i><hr><b>BIZU:</b> Em produto longo, simplificar cruzado é obrigatório para ganhar velocidade.
Qual é a regra para <b>dividir frações</b>?;Conserve a primeira fração e multiplique pelo inverso da segunda.<br><br><i>Fonte: Aula Bônus 7 — Divisão</i><hr><b>BIZU:</b> Divisão de fração vira multiplicação. Conserva, inverte, multiplica.
O que é o <b>inverso</b> de uma fração?;É a fração obtida trocando numerador e denominador de lugar.<br><br>Exemplo: o inverso de 2/7 é 7/2.<br><br><i>Fonte: Aula Bônus 7 — Divisão de Frações</i><hr><b>BIZU:</b> Inverso é a fração de cabeça para baixo.
Quanto é 1/3 ÷ 4/5?;1/3 ÷ 4/5 = 1/3 × 5/4 = 5/12.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de divisão</i><hr><b>BIZU:</b> Não divida direto. Conserva a primeira e inverte a segunda.
Quanto é 1/3 ÷ 4/15?;1/3 ÷ 4/15 = 1/3 × 15/4 = 5/4.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de divisão</i><hr><b>BIZU:</b> Inverter a segunda fração transforma a questão em multiplicação.
Quanto é 16/5 ÷ 4/5?;16/5 ÷ 4/5 = 16/5 × 5/4 = 4.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de divisão</i><hr><b>BIZU:</b> Frações com mesmo denominador podem simplificar bonito após inverter.
Quanto é 2/3 ÷ 4/3?;2/3 ÷ 4/3 = 2/3 × 3/4 = 1/2.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de divisão</i><hr><b>BIZU:</b> O 3 cancela com 3, sobra 2/4.
Quanto é 36/5 ÷ 9?;36/5 ÷ 9 = 36/5 × 1/9 = 4/5.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de divisão</i><hr><b>BIZU:</b> Número inteiro também vira fração. 9 = 9/1, inverso 1/9.
Quanto é 12 ÷ 3/5?;12 ÷ 3/5 = 12 × 5/3 = 20.<br><br><i>Fonte: Aula Bônus 7 — Exercícios de divisão</i><hr><b>BIZU:</b> Dividir por fração pode aumentar o resultado.
Em problemas, o que significa calcular <b>1/3 de 1/4</b>?;Significa multiplicar 1/3 por 1/4, resultando em 1/12.<br><br><i>Fonte: Questão ADM&TEC — frações de frações</i><hr><b>BIZU:</b> A palavra “de” em frações costuma indicar multiplicação.
Na questão ADM&TEC, quanto é 1/3 de 1/4 somado com 2/3 de 3/4?;1/3 de 1/4 é 1/12. 2/3 de 3/4 é 1/2. A soma é 7/12, então falta 5/12 para um inteiro.<br><br><i>Fonte: Questão ADM&TEC — números reais</i><hr><b>BIZU:</b> Cuidado com pegadinha. Não falta 1/12, falta 5/12.
Na questão da pizza, se Carlos come 1/3, Angelina come metade do que sobrou e Beatriz come metade do que Angelina comeu, quanto sobra?;Sobra 1/6 da pizza.<br><br><i>Fonte: Questão FCC — frações sucessivas</i><hr><b>BIZU:</b> Em frações sucessivas, sempre atualize o restante antes da próxima pessoa comer.
Na questão do pomar dividido em 10 canteiros, se 3 têm bananeiras, 2 têm goiabeiras e 1 tem mamoeiros, qual parte não foi plantada?;Foram plantados 6 de 10 canteiros. Restaram 4 de 10, ou seja, 2/5 do pomar.<br><br><i>Fonte: Questão FUNDEP — fração de parte não plantada</i><hr><b>BIZU:</b> Some o que foi usado e subtraia do todo.
Se uma peça demora 1 hora e, depois de 45 minutos, perguntam a fração já construída, qual é a resposta?;45 minutos de 60 minutos correspondem a 45/60 = 3/4.<br><br><i>Fonte: Questão FUNDATEC — fração de tempo</i><hr><b>BIZU:</b> Fração de tempo é parte sobre total.
Qual fração representa o número 1,35?;1,35 = 135/100 = 27/20.<br><br><i>Fonte: Questão FUNDATEC — decimal equivalente a fração</i><hr><b>BIZU:</b> Duas casas decimais viram denominador 100. Depois simplifique.
Qual é a fração equivalente a 0,65%?;0,65% = 0,65/100 = 65/10000 = 13/2000.<br><br><i>Fonte: Questão SELECON — percentual em fração</i><hr><b>BIZU:</b> Percentual já está sobre 100. Se tem vírgula no percentual, cuidado dobrado.
Qual fração é maior que 0,5 entre 5/11, 2/5, 8/26, 2/3 e 3/7?;A fração maior que 0,5 é 2/3.<br><br><i>Fonte: Questão FAUEL — comparação com 0,5</i><hr><b>BIZU:</b> Compare com metade. Em a/b, veja se o numerador é maior que metade do denominador.
