Frente;Verso
O que é uma <b>proporção</b>?;É uma igualdade entre duas razões.<br><br><i>Fonte: Teoria e Exercício — Proporção</i><hr><b>BIZU:</b> Razão é uma comparação. Proporção é quando duas comparações são iguais.
Como se lê a proporção <b>A/B = C/D</b>?;Lê-se: A está para B, assim como C está para D.<br><br><i>Fonte: Teoria e Exercício — Proporção</i><hr><b>BIZU:</b> A leitura da proporção ajuda a traduzir o enunciado para matemática.
Qual é a diferença entre <b>razão</b> e <b>proporção</b>?;Razão é uma divisão comparativa entre dois valores. Proporção é uma igualdade entre duas razões.<br><br><i>Fonte: Teoria e Exercício — Razão e Proporção</i><hr><b>BIZU:</b> Razão é uma fração. Proporção é duas frações equilibradas.
Como os exercícios de proporção normalmente são resolvidos segundo o material?;Normalmente são resolvidos por sistema de equações ou por regra de três.<br><br><i>Fonte: Teoria e Exercício — Proporção</i><hr><b>BIZU:</b> Proporção conversa diretamente com sistema e regra de três.
O que significa dizer que duas partes estão na razão <b>3:7</b>?;Significa que uma parte tem 3 unidades proporcionais e a outra tem 7 unidades proporcionais.<br><br><i>Fonte: Teoria e Exercício — Proporção</i><hr><b>BIZU:</b> A razão dá o tamanho relativo das partes, não necessariamente o valor real ainda.
Como dividir um total em duas partes proporcionais a <b>3</b> e <b>7</b>?;Some as partes da razão: 3 + 7 = 10. Depois divida o total por 10 e multiplique por 3 e por 7.<br><br><i>Fonte: Teoria e Exercício — Proporção, exemplo 1</i><hr><b>BIZU:</b> Primeiro ache o valor de uma parte proporcional.
Dividir 20 em duas partes tais que a primeira está para a segunda como 3 está para 7. Qual é a primeira parte?;A primeira parte é 6.<br><br>3 + 7 = 10 partes. Cada parte vale 2. A primeira tem 3 partes, então 3 × 2 = 6.<br><br><i>Fonte: Teoria e Exercício — Proporção, exemplo 1</i><hr><b>BIZU:</b> Soma das partes da razão, depois distribui.
Na divisão proporcional de 20 em razão 3:7, qual é a segunda parte?;A segunda parte é 14.<br><br>O valor de uma parte é 2. A segunda tem 7 partes, então 7 × 2 = 14.<br><br><i>Fonte: Teoria e Exercício — Proporção, exemplo 1</i><hr><b>BIZU:</b> As partes reais precisam somar o total: 6 + 14 = 20.
O que é uma <b>proporção encadeada</b>?;É uma situação em que aparecem duas razões ligando três ou mais grandezas, como primeira para segunda e segunda para terceira.<br><br><i>Fonte: Teoria e Exercício — Proporção</i><hr><b>BIZU:</b> A parte comum entre duas razões precisa ser alinhada.
Como resolver proporções encadeadas?;Alinhe a grandeza comum nas duas razões, ajustando as razões para que o valor comum fique igual nas duas comparações.<br><br><i>Fonte: Teoria e Exercício — Proporção, exemplos 2 e 3</i><hr><b>BIZU:</b> A grandeza comum é a dobradiça da questão.
