Frente;Verso
O que são <b>razões especiais</b>?;São aplicações específicas de razão em situações clássicas, como escala, velocidade média e densidade demográfica.<br><br><i>Fonte: Razões Especiais — Prof. Sérgio Altenfelder</i><hr><b>BIZU:</b> Razão especial é razão com nome próprio.
Quais são as três razões especiais destacadas no material?;Escala, velocidade média e densidade demográfica.<br><br><i>Fonte: Razões Especiais — Prof. Sérgio Altenfelder</i><hr><b>BIZU:</b> EVD: Escala, Velocidade, Densidade.
Qual é a fórmula da <b>escala</b>?;<b>Escala = desenho / realidade</b>.<br><br><i>Fonte: Razões Especiais — Escala</i><hr><b>BIZU:</b> Escala compara o tamanho no papel com o tamanho real.
Em escala, as unidades do desenho e da realidade devem estar como?;Devem estar na <font color="#00e676">mesma unidade</font>.<br><br><i>Fonte: Razões Especiais — Escala</i><hr><b>BIZU:</b> Antes de calcular escala, iguale as unidades.
A escala tem unidade de medida?;<b>Não.</b> A escala é uma medida adimensional, ou seja, sem unidade.<br><br><i>Fonte: Razões Especiais — Escala</i><hr><b>BIZU:</b> Como é razão entre grandezas da mesma espécie, as unidades se cancelam.
Como a escala pode ser representada?;Pode ser representada como fração, por exemplo 1/1000, ou como divisão, por exemplo 1:1000.<br><br><i>Fonte: Razões Especiais — Escala</i><hr><b>BIZU:</b> 1/1000 e 1:1000 dizem a mesma coisa.
O que significa uma escala <b>1:20.000</b>?;Significa que 1 unidade no desenho corresponde a 20.000 unidades na realidade.<br><br><i>Fonte: Razões Especiais — Escala</i><hr><b>BIZU:</b> O primeiro número é o desenho. O segundo é a realidade.
Em escala <b>1:20.000</b>, 5 cm no mapa representam quanto na realidade?;Representam 1 km.<br><br>5 cm × 20.000 = 100.000 cm = 1.000 m = 1 km.<br><br><i>Fonte: Razões Especiais — Exemplo 1</i><hr><b>BIZU:</b> Multiplique pelo fator da escala e depois converta a unidade.
Em escala <b>1:500.000</b>, 43 cm no mapa representam quanto na realidade?;Representam 215 km.<br><br>43 × 500.000 = 21.500.000 cm = 215 km.<br><br><i>Fonte: Razões Especiais — Questão 1</i><hr><b>BIZU:</b> De cm para km, divida por 100.000.
Em escala <b>1:5.000.000</b>, 1,3 cm no mapa representam quanto na realidade?;Representam 65 km.<br><br>1,3 × 5.000.000 = 6.500.000 cm = 65 km.<br><br><i>Fonte: Razões Especiais — Questão 2</i><hr><b>BIZU:</b> Cuidado com vírgula em escala. 1,3 cm não é 13 cm.
Qual é a principal armadilha em questões de escala?;Misturar unidades diferentes, como usar cm no desenho e km na realidade sem converter.<br><br><i>Fonte: Razões Especiais — Escala</i><hr><b>BIZU:</b> Escala exige unidade igual antes da conta.
Qual é a ponte entre <b>escala</b> e <b>razão</b>?;Escala é uma razão entre a medida no desenho e a medida real.<br><br><i>Fonte: Razões Especiais — Escala</i><hr><b>BIZU:</b> Escala é razão aplicada a mapas, plantas e desenhos.
Qual é a fórmula da <b>velocidade média</b>?;<b>Velocidade média = distância percorrida / tempo</b>.<br><br><i>Fonte: Razões Especiais — Velocidade Média</i><hr><b>BIZU:</b> Velocidade média responde: quanto anda por unidade de tempo?
Um automóvel percorre 700 km em 7 horas. Qual é a velocidade média?;A velocidade média é 100 km/h.<br><br>700 ÷ 7 = 100.<br><br><i>Fonte: Razões Especiais — Exemplo 2</i><hr><b>BIZU:</b> Distância dividida pelo tempo.
