Frente;Verso
O que é o <b>princípio da reversão ou regressão</b>?;É uma técnica de resolver o problema de trás para frente, partindo do resultado final e desfazendo as operações na ordem inversa.<br><br><i>Fonte: Raciocínio Aritmético — Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Se o enunciado conta uma história que vai gastando, doando ou retirando, comece pela sobra final.
Quando devo suspeitar que a questão pede <b>regressão</b>?;Quando o enunciado descreve etapas sucessivas e informa quanto sobrou no final.<br><br><i>Fonte: Raciocínio Aritmético — Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Palavra-chave: sobrou. Se sobrou no final, volte do final.
Qual é a ideia central da regressão em problemas aritméticos?;Desfazer cada etapa na ordem inversa até reconstruir o valor inicial.<br><br><i>Fonte: Raciocínio Aritmético — Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> A história vai para frente, a solução volta para trás.
Qual é a diferença entre resolver por equação e resolver por regressão?;Na equação, você monta uma igualdade com x. Na regressão, você começa do valor final e desfaz as operações passo a passo.<br><br><i>Fonte: Raciocínio Aritmético — Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Equação é tradução. Regressão é rebobinar o filme.
O que significa “gastar 1/6 do que levou”?;Significa que sobrou 5/6 do valor inicial daquela etapa.<br><br><i>Fonte: Raciocínio Aritmético — Princípio da Reversão ou Regressão, questão do mercado</i><hr><b>BIZU:</b> Gastou 1/6, sobrou 5/6.
O que significa “gastar 2/3 do que sobrou”?;Significa que, da quantia restante naquele momento, ficou apenas 1/3.<br><br><i>Fonte: Raciocínio Aritmético — Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> A expressão “do que sobrou” muda a base da fração.
Na regressão, se depois de gastar 2/3 sobrou 90, quanto havia antes dessa etapa?;Havia 270, porque 90 corresponde a 1/3 do valor antes da etapa.<br><br><i>Fonte: Raciocínio Aritmético — Questão do mercado</i><hr><b>BIZU:</b> Se 1/3 vale 90, o inteiro vale 270.
Na regressão, se depois de gastar 1/6 sobrou 270, quanto havia antes dessa etapa?;Havia 324, porque 270 corresponde a 5/6 do valor inicial.<br><br><i>Fonte: Raciocínio Aritmético — Questão do mercado</i><hr><b>BIZU:</b> Para voltar, divida pela fração que sobrou.
Na questão do mercado, a pessoa gastou 1/6 no peixe, depois 2/3 do que sobrou em carnes e restou R$ 90. Quanto levou inicialmente?;Levou R$ 324,00.<br><br><i>Fonte: Raciocínio Aritmético — Questão do mercado</i><hr><b>BIZU:</b> Volte assim: 90 era 1/3, então antes era 270. Depois, 270 era 5/6, então antes era 324.
Qual é a operação inversa de “sobrou 5/6 do valor”?;Dividir o valor final por 5/6, ou multiplicar por 6/5.<br><br><i>Fonte: Raciocínio Aritmético — Princípio da Reversão</i><hr><b>BIZU:</b> Voltar por fração é multiplicar pelo inverso.
Qual é a operação inversa de “sobrou 1/3 do valor”?;Dividir o valor final por 1/3, ou multiplicar por 3.<br><br><i>Fonte: Raciocínio Aritmético — Princípio da Reversão</i><hr><b>BIZU:</b> Se sobrou um terço, o valor anterior era o triplo.
Em problemas com “comeu 1/3 e mais 1”, qual é a expressão da sobra?;Se havia x, a sobra é x - x/3 - 1, ou seja, 2x/3 - 1.<br><br><i>Fonte: Raciocínio Aritmético — Questão dos biscoitos</i><hr><b>BIZU:</b> Fração e número fixo são coisas diferentes. Subtraia os dois.
Na regressão, se a sobra após alguém comer 1/3 e mais 1 é 5, quanto havia antes?;Havia 9.<br><br>Porque 2x/3 - 1 = 5, então 2x/3 = 6, logo x = 9.<br><br><i>Fonte: Raciocínio Aritmético — Questão dos biscoitos</i><hr><b>BIZU:</b> Para voltar: some 1, depois divida pela fração que sobrou.
