Frente;Verso
O que deve conter o <b>pedido de interceptação telefônica</b>?;O pedido deve demonstrar que a interceptação é necessária à apuração da infração penal e indicar os meios a serem empregados.<br><br><i>Fonte: Lei nº 9.296/96, art. 4º</i><hr><b>BIZU:</b> Pedido bom responde: por que precisa e como será feito.
O pedido de interceptação telefônica pode ser genérico?;<font color="#ff4444"><b>Não.</b></font> O pedido deve demonstrar a necessidade da medida e indicar os meios de execução, evitando autorização aberta ou sem delimitação.<br><br><i>Fonte: Lei nº 9.296/96, art. 4º</i><hr><b>BIZU:</b> Grampo não é cheque em branco.
O pedido de interceptação telefônica pode ser feito verbalmente?;<b>Sim, excepcionalmente.</b> O juiz pode admitir pedido verbal, desde que presentes os pressupostos legais, mas a concessão fica condicionada à redução a termo.<br><br><i>Fonte: Lei nº 9.296/96, art. 4º, § 1º</i><hr><b>BIZU:</b> Verbal pode, mas vira papel. Exceção + redução a termo.
O pedido verbal de interceptação dispensa formalização posterior?;<font color="#ff4444"><b>Não.</b></font> Se admitido excepcionalmente, o pedido verbal deve ser reduzido a termo.<br><br><i>Fonte: Lei nº 9.296/96, art. 4º, § 1º</i><hr><b>BIZU:</b> Falou, escreveu. Sem termo, a forma fica comprometida.
Quando o juiz pode admitir pedido verbal de interceptação?;Quando, excepcionalmente, estiverem presentes os pressupostos que autorizam a interceptação, com posterior redução a termo.<br><br><i>Fonte: Lei nº 9.296/96, art. 4º, § 1º</i><hr><b>BIZU:</b> Pedido verbal não é informalidade livre. É exceção controlada.
Qual é o prazo para o juiz decidir sobre o pedido de interceptação?;O juiz deve decidir no prazo máximo de <font color="#ffeb3b">24 horas</font>.<br><br><i>Fonte: Lei nº 9.296/96, art. 4º, § 2º</i><hr><b>BIZU:</b> Prazo curto porque a medida é urgente: 24h.
Por que o prazo judicial de 24 horas reforça o caráter da interceptação?;Porque demonstra que a interceptação é medida urgente, excepcional e voltada à produção de prova sensível em investigação ou processo penal.<br><br><i>Fonte: Lei nº 9.296/96, art. 4º, § 2º</i><hr><b>BIZU:</b> Urgência não dispensa controle. O juiz decide rápido, mas fundamenta.
A decisão que autoriza interceptação telefônica precisa ser fundamentada?;<b>Sim.</b> A decisão deve ser fundamentada, sob pena de nulidade.<br><br><i>Fonte: Lei nº 9.296/96, art. 5º</i><hr><b>BIZU:</b> Sem fundamentação, o grampo nasce ferido.
Qual é a consequência da falta de fundamentação na decisão de interceptação?;A consequência é a <font color="#ff4444">nulidade</font> da decisão que autoriza a interceptação.<br><br><i>Fonte: Lei nº 9.296/96, art. 5º</i><hr><b>BIZU:</b> Fundamentação é requisito de validade.
Além de fundamentar, o que a decisão deve indicar?;A decisão deve indicar também a forma de execução da diligência.<br><br><i>Fonte: Lei nº 9.296/96, art. 5º</i><hr><b>BIZU:</b> O juiz não só autoriza. Ele delimita como a diligência será executada.
Qual é o prazo máximo inicial da interceptação telefônica?;A interceptação não pode exceder o prazo de <font color="#ffeb3b">15 dias</font>.<br><br><i>Fonte: Lei nº 9.296/96, art. 5º</i><hr><b>BIZU:</b> Prazo base da interceptação: 15 dias.
A interceptação telefônica pode ser renovada?;<b>Sim.</b> Pode ser renovada por igual tempo, desde que comprovada a indispensabilidade do meio de prova.<br><br><i>Fonte: Lei nº 9.296/96, art. 5º</i><hr><b>BIZU:</b> Renovar exige necessidade comprovada. Não é piloto automático.
Qual é a duração de cada renovação da interceptação telefônica?;Cada renovação ocorre por igual período, isto é, até <font color="#ffeb3b">15 dias</font>.<br><br><i>Fonte: Lei nº 9.296/96, art. 5º</i><hr><b>BIZU:</b> 15 + 15 + 15, se a necessidade continuar comprovada.
