Frente;Verso
[QUESTÃO] Qual é o primeiro passo para resolver um problema lógico-matemático com texto?;Definir a incógnita e transformar o enunciado em linguagem matemática.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Antes da conta, descubra quem é o x.
[QUESTÃO] Em problemas com frações, qual pergunta evita muitos erros?;Perguntar se a fração é do total inicial ou do que restou.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Total ou resto muda tudo.
[QUESTÃO] Se um problema diz que alguém gastou 1/4 do valor, que fração sobrou?;Sobraram 3/4 do valor.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Gastou 1 parte de 4, ficaram 3 partes.
[QUESTÃO] Se alguém gastou 2/5 do que restou, que fração daquele restante permaneceu?;Permaneceram 3/5 daquele restante.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> A sobra é sempre 1 menos a fração gasta.
[QUESTÃO] Quando usar o princípio da reversão ou regressão?;Quando o problema apresenta várias etapas sucessivas e informa o resultado final.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Se deu a sobra final, volte do fim para o começo.
[QUESTÃO] Qual é a regra central da regressão?;Desfazer as operações na ordem inversa da história contada pelo enunciado.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> A última operação é a primeira a ser desfeita.
[QUESTÃO] Se após uma etapa ficou 1/3 do valor anterior, como descobrir o valor anterior?;Multiplicando o valor final por 3.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Ficou 1 de 3, antes havia 3 partes.
[QUESTÃO] Se após uma etapa ficou 5/12 do valor anterior, como voltar?;Multiplicando o valor final por 12/5.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Para voltar, use a fração inversa.
[QUESTÃO] Quando usar sistema de equações?;Quando o problema envolve duas ou mais incógnitas ligadas por duas ou mais condições.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Duas incógnitas pedem duas pistas.
[QUESTÃO] Em problema com notas de dinheiro, quais duas equações costumam aparecer?;Uma equação para a quantidade de notas e outra para o valor total em dinheiro.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Conte notas em uma linha e reais em outra.
[QUESTÃO] Em problemas de cabeça e pés, o que cada equação representa?;A equação das cabeças conta os animais e a equação dos pés diferencia as espécies.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Cabeça é igual para todos, pés entregam quem é quem.
[QUESTÃO] Em problemas de mistura, quais duas informações devem ser controladas?;O total da mistura e a quantidade da substância principal.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Mistura pede total e ingrediente ativo.
[QUESTÃO] Quando uma equação é do 2º grau?;Quando a maior potência da incógnita é 2.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Viu x² como maior potência, pense em quadrática.
[QUESTÃO] Qual é o produto das raízes de ax² + bx + c = 0?;O produto é c/a.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Produto das raízes vem do termo independente.
[QUESTÃO] Qual é a soma das raízes de ax² + bx + c = 0?;A soma é -b/a.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Soma troca o sinal do b.
[QUESTÃO] Se o produto das raízes é negativo, o que isso sugere sobre os sinais das raízes reais?;Sugere que uma raiz é positiva e a outra é negativa.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Produto negativo indica sinais opostos.
[QUESTÃO] Em problemas reais com equação do 2º grau, o que fazer com raiz negativa impossível?;Descartar a raiz incompatível com o contexto.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Idade, pessoas e objetos não podem ser negativos.
[QUESTÃO] Qual é o primeiro teste em sequências numéricas?;Verificar as diferenças entre termos consecutivos.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> A diferença revela muito padrão escondido.
[QUESTÃO] Se as diferenças são +5, +10, +15 e +20, qual é o padrão?;As diferenças aumentam de 5 em 5.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> A sequência acelera por degraus.
[QUESTÃO] Se uma sequência alterna sinais e dobra o valor absoluto, qual padrão pode estar ocorrendo?;Multiplicação por número negativo, como multiplicar por -2.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Dobrar e trocar sinal indica fator negativo.
[QUESTÃO] Qual é a regra da sequência de Fibonacci?;Cada termo é a soma dos dois termos anteriores.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Fibonacci olha dois termos para trás.
[QUESTÃO] Como reconhecer uma sequência de quadrados perfeitos?;Os termos são potências do tipo n², como 1, 4, 9, 16, 25 e 36.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Diferenças ímpares denunciam quadrados.
[QUESTÃO] Como reconhecer uma sequência do tipo 2ⁿ - 1?;Os termos aparecem imediatamente antes de potências de 2, como 7, 15, 31, 63 e 127.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Um antes de 8, 16, 32, 64 e 128.
[QUESTÃO] Em operações especiais com símbolos, qual é a regra principal?;Aplicar exatamente a regra definida pelo enunciado.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Símbolo estranho é função disfarçada.
[QUESTÃO] Em operações como (1λ)λ, qual ordem seguir?;Resolver primeiro a operação dentro dos parênteses e depois aplicar a operação novamente ao resultado.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Operação composta vai de dentro para fora.
[QUESTÃO] Em questões de numeração de páginas, o que deve ser contado?;As ocorrências do algarismo pedido, não apenas as páginas que contêm esse algarismo.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> A página 222 conta três ocorrências do 2.
[QUESTÃO] Em um bloco de 100 números, quantas vezes um algarismo aparece nas duas últimas posições?;20 vezes, sendo 10 nas unidades e 10 nas dezenas.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Unidade 10 vezes e dezena 10 vezes.
[QUESTÃO] Como resolver sequência de letras com segurança?;Transformar letras em posições do alfabeto e observar saltos, repetições e blocos.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Letra também tem número.
[QUESTÃO] Em grupos de letras, como encontrar o intruso?;Identificar a regra comum dos demais grupos e eliminar o grupo que não obedece a essa regra.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> O diferente é quem quebra a receita.
[QUESTÃO] Em formação de palavras, qual é o método mais seguro?;Numerar as letras da palavra original e descobrir quais posições foram usadas nos exemplos.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Posição vence tentativa de adivinhar palavra.
[QUESTÃO] Em questões de calendário, por que usamos divisão por 7?;Porque a semana tem 7 dias e o dia da semana se repete a cada 7 dias.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> Calendário é ciclo de 7.
[QUESTÃO] Em um mês de 31 dias, quantos dias da semana aparecem 5 vezes?;3 dias da semana aparecem 5 vezes.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> 31 = 4 semanas + 3 dias extras.
[QUESTÃO] Em um mês de 30 dias, quantos dias da semana aparecem 5 vezes?;2 dias da semana aparecem 5 vezes.<br><br><i>Fonte: Revisão final do Bloco 10</i><hr><b>BIZU:</b> 30 = 4 semanas + 2 dias extras.
