Frente;Verso
O que é o <b>Princípio da Reversão ou Regressão</b>?;É uma técnica de resolução em que começamos pelo resultado final e desfazemos as operações em ordem inversa até chegar ao valor inicial.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Se o enunciado conta uma história até o final, volte do final para o começo.
Quando usar o <b>Princípio da Reversão</b>?;Use quando o problema informa uma sobra final ou resultado final depois de várias etapas sucessivas de retirada, gasto, venda, doação ou consumo.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Apareceu “restou”, “sobrou”, “ficou” no final, pense em regressão.
Qual é a ideia central da <b>regressão</b> em problemas aritméticos?;Desfazer cada etapa na ordem contrária à apresentada no enunciado.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> A última operação vira a primeira a ser desfeita.
Qual é o primeiro passo em questões de <b>reversão</b>?;Identificar o valor final informado pelo enunciado.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> O ponto de partida é a sobra final.
Qual é o segundo passo em questões de <b>reversão</b>?;Desfazer a última etapa realizada no enunciado.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> A última frase operacional é a primeira conta da volta.
Qual é o terceiro passo em questões de <b>reversão</b>?;Continuar desfazendo as etapas anteriores uma a uma até chegar ao valor inicial.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Volte degrau por degrau.
O que significa <b>gastou 1/6 e ficou com o restante</b>?;Significa que a pessoa ficou com 5/6 do valor que tinha antes daquela etapa.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Gastou 1/6, sobrou 5/6.
O que significa <b>gastou 2/3 do que sobrou</b>?;Significa que ficou com 1/3 do valor existente antes dessa etapa.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Gastou 2/3, sobrou 1/3.
Como desfazer a operação <b>ficou com 1/3</b>?;Multiplique o valor final por 3 para descobrir o valor antes da etapa.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Se sobrou 1 parte de 3, antes havia 3 partes.
Como desfazer a operação <b>ficou com 5/6</b>?;Multiplique o valor final por 6/5 para descobrir o valor antes da etapa.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Para voltar, use a fração inversa.
[QUESTÃO] Uma pessoa gastou 1/6 do que levou no mercado e depois 2/3 do que sobrou. Ao final restaram R$ 90. Quanto ela levou inicialmente?;<b>R$ 324</b>. Depois da primeira compra ficou com 5/6. Depois da segunda ficou com 1/3 do que havia sobrado. Assim, o final é 1/3 × 5/6 do inicial = 5/18 do inicial. Como 5x/18 = 90, então x = 324.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Também dá para voltar: 90 × 3 = 270 e 270 × 6/5 = 324.
Como resolver por regressão a questão do <b>mercado</b>?;Comece pelos R$ 90 finais. Antes da compra em carnes havia 90 × 3 = 270. Antes da compra em peixes havia 270 × 6/5 = 324.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> Volte usando o inverso das frações que sobraram.
Qual é a pegadinha da questão do <b>mercado</b>?;A segunda fração é aplicada sobre o que sobrou, não sobre o valor inicial.<br><br><i>Fonte: Raciocínio Aritmético – Princípio da Reversão ou Regressão</i><hr><b>BIZU:</b> “Do que sobrou” muda a base da fração.
