Frente;Verso
O que é uma <b>equação do 1º grau</b>?;É uma igualdade com incógnita em que a maior potência da incógnita é 1.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> Se aparece apenas x, sem x², normalmente é 1º grau.
Qual é o objetivo em problemas de <b>equação do 1º grau</b>?;Transformar o texto do enunciado em uma igualdade matemática e resolver a incógnita.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> O segredo é traduzir português para matemática.
O que geralmente representa a letra <b>x</b> em problemas de 1º grau?;Representa a quantidade desconhecida pedida ou uma quantidade central do problema.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Antes de montar a conta, diga quem é x.
Qual é o primeiro passo em problema aritmético com equação?;Definir a incógnita, normalmente chamando de x aquilo que o problema quer descobrir.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Sem definir x, a equação fica solta.
Qual é o segundo passo em problema aritmético com equação?;Traduzir cada parte do enunciado para linguagem matemática.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Cada frase vira uma peça da equação.
Como traduzir <b>a quarta parte de um valor</b>?;<b>x/4</b>.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> Quarta parte é dividir por 4.
Como traduzir <b>a terça parte de um valor</b>?;<b>x/3</b>.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> Terça parte é dividir por 3.
Como traduzir <b>dois quintos de um valor</b>?;<b>2x/5</b>.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> Dois quintos é multiplicar por 2 e dividir por 5.
Como traduzir <b>o restante</b> em uma equação?;O restante é o total menos a parte retirada ou gasta.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Resto sempre nasce de total menos parte.
Como traduzir <b>dei de entrada a quarta parte do valor e o restante em duas prestações</b>?;Se o preço é x, a entrada é x/4 e o restante é 3x/4. Esse restante foi pago em duas prestações.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> Pagou 1/4, sobrou 3/4.
[QUESTÃO] Ao comprar um aparelho de som, dei de entrada a quarta parte do valor e o restante em duas prestações de 450. Qual era o preço?;<b>1200</b>. Seja x o preço. Entrada = x/4. Restante = 3x/4. Como duas prestações de 450 somam 900, temos 3x/4 = 900. Logo, x = 1200.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> O restante, não o total, vale 900.
Qual é a pegadinha da questão do <b>aparelho de som</b>?;Achar que 900 é o preço total. Na verdade, 900 é o restante depois da entrada.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> Preste atenção em “restante”.
Como traduzir <b>João ficou 1/3 da vida solteiro, 2/5 casado e 20 anos viúvo</b>?;Se a idade total é x, então x/3 + 2x/5 + 20 = x.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> As partes da vida somam a vida inteira.
[QUESTÃO] João ficou 1/3 da vida solteiro, 2/5 casado e viveu mais 20 anos viúvo. Com que idade faleceu?;<b>75 anos</b>. Seja x a idade. x/3 + 2x/5 + 20 = x. O mínimo comum é 15. Temos 5x + 6x + 300 = 15x. Logo, 300 = 4x e x = 75.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> Frações da vida mais anos fixos dão o total.
Qual é a pegadinha da questão da <b>idade de João</b>?;Somar apenas as frações e esquecer os 20 anos de viuvez. As frações mais 20 devem formar a idade total.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> Vida total = solteiro + casado + viúvo.
Como calcular <b>3/5 dos 5/9 de 600</b>?;Multiplique as frações pelo valor: 3/5 × 5/9 × 600.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> “De” em fração vira multiplicação.
[QUESTÃO] Os 3/5 dos 5/9 de 600 são iguais a quanto?;<b>200</b>. Cálculo: 3/5 × 5/9 × 600. Cancela o 5. Fica 3/9 × 600 = 1/3 × 600 = 200.<br><br><i>Fonte: Raciocínio Aritmético – Equação do 1º grau</i><hr><b>BIZU:</b> De de de = multiplica tudo.
