Frente;Verso
A <b>moda</b> depende dos extremos de uma série?;Não. A moda não depende dos extremos da série, pois ela é determinada pelo valor mais frequente.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Moda olha repetição, não olha ponta.
A <b>mediana</b> depende dos extremos de uma série?;Não. A mediana não depende diretamente dos extremos, pois ela é determinada pela posição central do rol.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Mediana olha o meio, não as pontas.
A <b>média aritmética</b> depende dos extremos de uma série?;Sim. A média aritmética depende dos extremos, porque usa todos os valores da série na soma.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Média sente qualquer valor extremo.
Por que a <b>média</b> é sensível a valores extremos?;Porque todos os valores entram no cálculo da soma. Um valor muito alto ou muito baixo pode puxar a média para cima ou para baixo.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Extremo é ímã da média.
Por que a <b>mediana</b> é resistente a valores extremos?;Porque a mediana depende da posição central no rol, não da grandeza dos valores nas extremidades.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Trocar uma ponta extrema pode nem mexer no centro.
Por que a <b>moda</b> é resistente a valores extremos?;Porque a moda depende da frequência dos valores. Um extremo isolado não altera a moda se não for o valor mais frequente.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Valor extremo que aparece uma vez não manda na moda.
Se somarmos uma constante <b>K</b> a todos os elementos, o que acontece com a <b>moda</b>?;A moda também fica somada por K.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Somou K em todos, a moda anda K.
Se subtrairmos uma constante <b>K</b> de todos os elementos, o que acontece com a <b>moda</b>?;A moda também fica subtraída por K.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Tirou K de todos, a moda desce K.
Se multiplicarmos todos os elementos por uma constante <b>K</b>, o que acontece com a <b>moda</b>?;A moda também fica multiplicada por K.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Multiplicou todos, multiplicou a moda.
Se dividirmos todos os elementos por uma constante <b>K</b>, o que acontece com a <b>moda</b>?;A moda também fica dividida por K.<br><br><i>Fonte: Propriedades das Medidas de Posição</i><hr><b>BIZU:</b> Dividiu todos, dividiu a moda.
