Frente;Verso
O que são <b>operações especiais</b> em questões psicotécnicas?;São regras criadas pelo enunciado usando símbolos próprios, como λ, ∆, # ou *, que devem ser aplicadas exatamente como foram definidas.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> O símbolo estranho é só uma função disfarçada.
Qual é a primeira regra em questões com <b>símbolo operacional</b>?;Ler a definição do símbolo antes de tentar calcular.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Não invente significado para o símbolo. A regra vem no enunciado.
Se o enunciado define <b>wλ = 1 − 6w</b>, o que isso significa?;Significa que, para qualquer valor colocado no lugar de w, devemos calcular 1 menos 6 vezes esse valor.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> λ manda fazer 1 − 6 vezes o número.
Na operação <b>wλ = 1 − 6w</b>, qual é o valor de <b>2λ</b>?;<b>-11</b>. Basta substituir w por 2: 2λ = 1 − 6×2 = 1 − 12 = -11.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Substitua primeiro, depois calcule.
Na operação <b>wλ = 1 − 6w</b>, qual é o valor de <b>1λ</b>?;<b>-5</b>. Substituindo w por 1: 1λ = 1 − 6×1 = -5.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> O símbolo λ não é multiplicação. É uma regra.
Na operação <b>wλ = 1 − 6w</b>, como calcular <b>(1λ)λ</b>?;Primeiro calcule 1λ. Como 1λ = -5, depois aplique λ novamente em -5: (-5)λ = 1 − 6×(-5) = 31.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Parênteses indicam operação de dentro para fora.
[QUESTÃO] Se <b>wλ = 1 − 6w</b>, qual é o valor de <b>2λ + (1λ)λ</b>?;<b>20</b>. Primeiro, 2λ = 1 − 12 = -11. Depois, 1λ = -5. Então (1λ)λ = (-5)λ = 1 + 30 = 31. Soma: -11 + 31 = 20.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Faça em camadas: 2λ separado, 1λ separado, depois aplique λ de novo.
Qual é a pegadinha da questão <b>2λ + (1λ)λ</b>?;Achar que λ é uma variável ou multiplicação. Na verdade, λ é uma operação definida por wλ = 1 − 6w.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Símbolo diferente não assusta. É só substituir.
Qual é a defesa anti-erro em operações como <b>(1λ)λ</b>?;Resolver primeiro o que está dentro dos parênteses e só depois aplicar novamente a operação no resultado obtido.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Operação composta é de dentro para fora.
Se uma operação é definida por <b>x∆ = (3x − 8)/8</b>, o que devemos fazer para calcular <b>11∆</b>?;Substituir x por 11 na regra: 11∆ = (3×11 − 8)/8.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> ∆ também é uma função disfarçada.
Na operação <b>x∆ = (3x − 8)/8</b>, qual é o valor de <b>11∆</b>?;<b>25/8</b>. Cálculo: 11∆ = (3×11 − 8)/8 = (33 − 8)/8 = 25/8.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Primeiro parêntese, depois divisão.
Como calcular <b>(11∆)∆</b> quando <b>x∆ = (3x − 8)/8</b>?;Primeiro calcule 11∆ = 25/8. Depois aplique ∆ novamente em 25/8.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> O resultado da primeira função vira entrada da segunda.
Na operação <b>x∆ = (3x − 8)/8</b>, qual é o valor de <b>(11∆)∆</b>?;<b>11/64</b>. Como 11∆ = 25/8, então (25/8)∆ = [3×25/8 − 8]/8 = [(75/8 − 64/8)]/8 = (11/8)/8 = 11/64.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Fração dentro da função pede calma com denominadores.
[QUESTÃO] Se <b>x∆ = (3x − 8)/8</b>, então <b>(11∆)∆</b> é um número de que tipo?;<b>Compreendido entre 0 e 1</b>. O valor é 11/64, que é positivo e menor que 1.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Nem sempre a questão pede o valor exato. Às vezes pede a faixa.
Qual é a pegadinha da questão <b>(11∆)∆</b>?;Parar em 25/8. Esse é apenas o valor de 11∆. A questão pede aplicar ∆ novamente.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Dois símbolos ∆ significam duas aplicações da regra.
Qual é o checklist para resolver <b>operações especiais</b>?;Identifique a regra. Substitua o valor dado. Respeite parênteses. Aplique a operação quantas vezes aparecer. Confira se a pergunta pede valor exato ou intervalo.<br><br><i>Fonte: Psicotécnicos – Questões de Funções</i><hr><b>BIZU:</b> Regra, substituição, parênteses, repetição, resposta.
O que são questões de <b>numeração</b> em psicotécnico?;São questões que pedem contagem de algarismos usados em páginas, placas, senhas, posições ou listas numeradas.<br><br><i>Fonte: Psicotécnicos – Questões de Numeração</i><hr><b>BIZU:</b> Numeração é contagem organizada, não chute.
Qual é a principal ideia nas questões de <b>algarismos em páginas</b>?;Contar quantas vezes um algarismo aparece em cada posição: unidade, dezena, centena e assim por diante.<br><br><i>Fonte: Psicotécnicos – Questões de Numeração</i><hr><b>BIZU:</b> Conte por posição para não se perder.
Em um livro numerado de <b>1 a 300</b>, onde o algarismo 1 pode aparecer?;Nas unidades, nas dezenas e nas centenas.<br><br><i>Fonte: Psicotécnicos – Questões de Numeração</i><hr><b>BIZU:</b> Uma página como 111 conta três vezes o algarismo 1.
Por que a página <b>111</b> conta três ocorrências do algarismo 1?;Porque o algarismo 1 aparece na centena, na dezena e na unidade.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> A questão conta algarismos, não páginas.
De <b>1 a 99</b>, quantas vezes o algarismo 1 aparece?;<b>20 vezes</b>. Aparece 10 vezes na unidade e 10 vezes na dezena.<br><br><i>Fonte: Psicotécnicos – Questões de Numeração</i><hr><b>BIZU:</b> De 00 a 99, cada algarismo aparece 10 vezes em cada posição.
De <b>100 a 199</b>, quantas vezes o algarismo 1 aparece na centena?;<b>100 vezes</b>. Todas as páginas de 100 a 199 começam com o algarismo 1.<br><br><i>Fonte: Psicotécnicos – Questões de Numeração</i><hr><b>BIZU:</b> A centena 1 domina cem números.
De <b>100 a 199</b>, além da centena, quantas vezes o algarismo 1 aparece nas dezenas e unidades?;<b>20 vezes</b>. Nos dois últimos algarismos, de 00 a 99, o 1 aparece 10 vezes nas unidades e 10 vezes nas dezenas.<br><br><i>Fonte: Psicotécnicos – Questões de Numeração</i><hr><b>BIZU:</b> Dentro de 100 a 199, o final roda de 00 a 99.
De <b>200 a 299</b>, quantas vezes o algarismo 1 aparece?;<b>20 vezes</b>. O algarismo 1 aparece apenas nas dezenas e unidades, como em qualquer bloco de 100 números.<br><br><i>Fonte: Psicotécnicos – Questões de Numeração</i><hr><b>BIZU:</b> O bloco 200 a 299 não tem 1 na centena.
