Frente;Verso
Como a Constituição caracteriza a <b>Polícia Federal</b>?;A <b>Polícia Federal</b> é instituída por lei como órgão <font color="#00e676">permanente</font>, organizado e mantido pela <b>União</b>, estruturado em carreira.<br><br><i>Fonte: Art. 144, § 1º, CF/88</i><hr><b>BIZU:</b> PF tem quatro marcas: lei, permanência, União e carreira.
Quais são as quatro grandes atribuições constitucionais da <b>Polícia Federal</b>?;A PF deve: <br>• apurar certas infrações penais federais<br>• prevenir e reprimir tráfico ilícito de drogas, contrabando e descaminho<br>• exercer polícia marítima, aeroportuária e de fronteiras<br>• exercer com exclusividade a polícia judiciária da União<br><br><i>Fonte: Art. 144, § 1º, I a IV, CF/88</i><hr><b>BIZU:</b> Mnemônico: <font color="#ffeb3b">A-P-ME</font> = Apura, Previne e reprime, Marítima aeroportuária fronteiras, Exclusividade judiciária da União.
A Polícia Federal apura infrações penais contra quais ordens constitucionais?;A PF apura infrações penais contra a <b>ordem política</b> e a <b>ordem social</b>.<br><br><i>Fonte: Art. 144, § 1º, I, CF/88</i><hr><b>BIZU:</b> Ordem política e ordem social chamam PF.
A Polícia Federal apura infrações penais em detrimento de quais bens ou interesses federais?;A PF apura infrações penais em detrimento de <b>bens</b>, <b>serviços</b> e <b>interesses da União</b>, de suas <b>autarquias</b> e de suas <b>empresas públicas</b>.<br><br><i>Fonte: Art. 144, § 1º, I, CF/88</i><hr><b>BIZU:</b> Grave a trinca do objeto: bens, serviços e interesses. E grave os entes: União, autarquias e empresas públicas.
A competência da PF para apurar infrações contra entidades federais inclui <b>sociedades de economia mista</b>?;<b>Não</b>. A competência da PF abrange União, autarquias e empresas públicas, mas <font color="#ff4444">não se estende às sociedades de economia mista</font>.<br><br><i>Fonte: Art. 144, § 1º, I, CF/88</i><hr><b>BIZU:</b> Pegadinha máxima: empresa pública entra, sociedade de economia mista não entra.
Qual é a pegadinha envolvendo <b>empresa pública</b> e <b>sociedade de economia mista</b> na competência da PF?;A banca mistura as duas. A PF apura infrações contra <b>empresas públicas federais</b>, mas não por esse fundamento contra <font color="#ff4444">sociedades de economia mista</font>.<br><br><i>Fonte: Art. 144, § 1º, I, CF/88</i><hr><b>BIZU:</b> Caixa Econômica Federal lembra empresa pública. Banco do Brasil lembra sociedade de economia mista. A regra do art. 144 cita empresa pública.
A Polícia Federal apura toda infração com repercussão interestadual ou internacional?;<b>Não</b>. A PF apura outras infrações cuja prática tenha repercussão interestadual ou internacional <font color="#ff4444">e exija repressão uniforme</font>, segundo dispuser a lei.<br><br><i>Fonte: Art. 144, § 1º, I, CF/88</i><hr><b>BIZU:</b> Não basta repercutir. Tem que exigir repressão uniforme.
Quais são os dois requisitos para a PF apurar outras infrações com repercussão interestadual ou internacional?;São necessários: <br>• repercussão <b>interestadual</b> ou <b>internacional</b><br>• exigência de <b>repressão uniforme</b>, conforme a lei<br><br><i>Fonte: Art. 144, § 1º, I, CF/88</i><hr><b>BIZU:</b> Fórmula: repercussão + repressão uniforme.
Qual palavra a banca costuma omitir ao errar a competência da PF em crimes com repercussão ampla?;A banca costuma omitir a exigência de <font color="#ff4444">repressão uniforme</font>.<br><br><i>Fonte: Art. 144, § 1º, I, CF/88</i><hr><b>BIZU:</b> Se a questão disser “qualquer crime com repercussão interestadual”, está faltando a chave: repressão uniforme.
A Polícia Federal tem competência para prevenir e reprimir quais delitos expressamente citados no art. 144?;A PF deve prevenir e reprimir o <b>tráfico ilícito de entorpecentes e drogas afins</b>, o <b>contrabando</b> e o <b>descaminho</b>.<br><br><i>Fonte: Art. 144, § 1º, II, CF/88</i><hr><b>BIZU:</b> TCD: tráfico, contrabando e descaminho.
A atuação da PF contra tráfico de drogas, contrabando e descaminho exclui a ação fazendária?;<b>Não</b>. A atuação da PF ocorre <font color="#ff4444">sem prejuízo</font> da ação fazendária e de outros órgãos públicos nas respectivas áreas de competência.<br><br><i>Fonte: Art. 144, § 1º, II, CF/88</i><hr><b>BIZU:</b> PF atua, mas não apaga Receita, fiscalização e outros órgãos.
O que significa a expressão <b>sem prejuízo da ação fazendária</b> na competência da PF?;Significa que a atuação da PF no combate ao tráfico, contrabando e descaminho não impede nem substitui a atuação dos órgãos fazendários competentes.<br><br><i>Fonte: Art. 144, § 1º, II, CF/88</i><hr><b>BIZU:</b> PF reprime crime. Fazenda fiscaliza tributo e aduana. As atuações convivem.
Quais funções territoriais e de circulação são exercidas pela Polícia Federal?;A PF exerce as funções de <b>polícia marítima</b>, <b>aeroportuária</b> e <b>de fronteiras</b>.<br><br><i>Fonte: Art. 144, § 1º, III, CF/88</i><hr><b>BIZU:</b> MAF: marítima, aeroportuária e fronteiras.
A Polícia Federal exerce polícia marítima, aeroportuária e de fronteiras com base em qual dispositivo?;Com base no <b>art. 144, § 1º, III</b>, da CF/88.<br><br><i>Fonte: Art. 144, § 1º, III, CF/88</i><hr><b>BIZU:</b> Inciso III da PF = MAF.
O que a Polícia Federal exerce com exclusividade?;A PF exerce, com exclusividade, as funções de <b>polícia judiciária da União</b>.<br><br><i>Fonte: Art. 144, § 1º, IV, CF/88</i><hr><b>BIZU:</b> Exclusividade aqui é da polícia judiciária da União.
A exclusividade da PF significa que só a PF pode fazer qualquer investigação criminal no Brasil?;<b>Não</b>. A exclusividade é quanto às funções de <b>polícia judiciária da União</b>, dentro do aparato policial federal, e não impede toda e qualquer investigação por outros órgãos quando admitida pelo ordenamento.<br><br><i>Fonte: Art. 144, § 1º, IV, CF/88 e STF, HC 89.837</i><hr><b>BIZU:</b> Exclusividade não é monopólio universal de investigação.
A cláusula de exclusividade da PF impede investigação criminal pelo Ministério Público?;<b>Não</b>. Segundo o STF, a cláusula de exclusividade da PF não inibe a atividade de investigação criminal do Ministério Público.<br><br><i>Fonte: STF, HC 89.837</i><hr><b>BIZU:</b> PF tem exclusividade da polícia judiciária da União, mas isso não bloqueia investigação do MP.
Segundo o STF no HC 89.837, qual é a finalidade da exclusividade da PF?;A finalidade é conferir à PF <b>primazia investigatória</b> dentro dos organismos policiais da União, como PF, PRF e PFF, na apuração dos crimes previstos na Constituição ou em tratados e convenções internacionais.<br><br><i>Fonte: STF, HC 89.837</i><hr><b>BIZU:</b> Exclusividade organiza a casa federal: PF investiga, PRF e PFF patrulham.
