Frente;Verso
Qual é a diferença entre <b>valor inicial</b> e <b>valor final</b> em porcentagem?;O <b>valor inicial</b> é a base antes do aumento ou desconto. O <b>valor final</b> é o valor depois da alteração percentual.<br><br><i>Fonte: Teoria e Exercício — Porcentagem — Aumento ou redução sobre o valor inicial</i><hr><b>BIZU:</b> Antes da mudança é inicial. Depois da mudança é final.
Quando a porcentagem incide sobre o <b>valor inicial</b>, quais relações o material manda usar?;Use relações diretamente proporcionais entre:<br>Valor Inicial = 100%<br>Valor Final = fator<br>Aumento = percentual de aumento<br>Redução = percentual de redução.<br><br><i>Fonte: Teoria e Exercício — Porcentagem — Aumento ou redução sobre o valor inicial</i><hr><b>BIZU:</b> Valor inicial é sempre 100%.
Se um produto recebe <b>20% de desconto</b> sobre o valor inicial, qual percentual do valor inicial permanece?;Permanece 80% do valor inicial.<br><br><i>Fonte: Teoria e Exercício — Porcentagem</i><hr><b>BIZU:</b> Desconto de 20% deixa 80%.
Se um produto recebe <b>10% de desconto</b> sobre o valor inicial, qual é o fator de redução?;O fator de redução é 0,90.<br><br><i>Fonte: Teoria e Exercício — Porcentagem</i><hr><b>BIZU:</b> 100% - 10% = 90%, então multiplica por 0,90.
Se um produto recebe <b>25% de desconto</b>, qual percentual do preço original ele passa a custar?;Ele passa a custar 75% do preço original.<br><br><i>Fonte: Teoria e Exercício — Porcentagem</i><hr><b>BIZU:</b> Desconto de 25% deixa 3/4 do valor.
Se um produto sofre <b>aumento de 150%</b>, qual é o fator final?;O fator final é 2,5.<br><br>100% + 150% = 250% = 2,5.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão do sacolão</i><hr><b>BIZU:</b> Aumento de 150% não é multiplicar por 1,5. É multiplicar por 2,5.
Obtive 20% de desconto numa compra de R$ 24.000,00. Quanto paguei?;Paguei R$ 19.200,00.<br><br>Com 20% de desconto, pago 80% de 24.000. Então 24.000 × 0,80 = 19.200.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 1</i><hr><b>BIZU:</b> Desconto de 20% = pagar 80%.
Um calçado custa R$ 220,00 sem desconto. Com desconto de 10%, qual é o preço de venda?;O preço de venda é R$ 198,00.<br><br>220 × 0,90 = 198.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 2</i><hr><b>BIZU:</b> Desconto de 10% tira R$ 22,00 de R$ 220,00.
O lucro de uma transação foi de R$ 20.000,00 e representa 25% do preço de custo. Qual foi o preço de venda?;O preço de venda foi R$ 100.000,00.<br><br>Se 20.000 é 25% do custo, o custo é 80.000. Venda = custo + lucro = 100.000.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 3</i><hr><b>BIZU:</b> Lucro sobre custo usa o custo como base 100%.
Se o lucro é de 25% sobre o custo, qual é o fator do preço de venda em relação ao custo?;O fator é 1,25.<br><br>Preço de venda = custo × 1,25.<br><br><i>Fonte: Teoria e Exercício — Porcentagem</i><hr><b>BIZU:</b> Lucro sobre custo soma ao custo.
João comprou sofás pagando R$ 24.000,00, incluindo imposto de 20%. Qual foi o valor do imposto?;O imposto foi R$ 4.000,00.<br><br>R$ 24.000,00 corresponde a 120% do valor sem imposto. Valor sem imposto = 20.000. Imposto = 4.000.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 4</i><hr><b>BIZU:</b> Imposto incluído no preço exige voltar ao valor antes do imposto.
Na questão dos sofás com imposto de 20% incluído, por que o imposto não é 20% de R$ 24.000,00?;Porque os R$ 24.000,00 já incluem o imposto. Eles correspondem a 120% do valor sem imposto, não a 100%.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 4</i><hr><b>BIZU:</b> Imposto incluso não é imposto sobre o total final diretamente.
Após aumento de 150%, o preço passou a ser R$ 40,00. Qual era o preço inicial?;O preço inicial era R$ 16,00.<br><br>Aumento de 150% gera fator 2,5. Então 40 ÷ 2,5 = 16.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 5</i><hr><b>BIZU:</b> Para voltar ao valor inicial, divida pelo fator final.
Uma loja vende um produto à vista por R$ 400,00 com 20% de desconto. Qual é o preço de tabela?;O preço de tabela é R$ 500,00.<br><br>R$ 400,00 representa 80% do preço de tabela. Então 400 ÷ 0,80 = 500.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 6</i><hr><b>BIZU:</b> Valor com desconto conhecido pede voltar ao 100%.
Uma loja dá 10% de desconto à vista e 5% de acréscimo no cartão. Se à vista sai por R$ 150,00, quanto sai no cartão?;Sai por R$ 175,00.<br><br>R$ 150,00 é 90% do preço de tabela. Tabela = 150 ÷ 0,90 = 166,67. No cartão = 166,67 × 1,05 = 175.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 7</i><hr><b>BIZU:</b> Não aplique 5% sobre o preço à vista. Primeiro volte ao preço de tabela.
Na questão do preço à vista e no cartão, qual é a armadilha?;Achar que o acréscimo de 5% incide sobre R$ 150,00. Na verdade, ele incide sobre o preço de tabela.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 7</i><hr><b>BIZU:</b> Base errada, resposta errada.
Maria vendeu um relógio por R$ 16.000,00 com prejuízo de 20% sobre o preço de compra. Qual era o custo?;O custo era R$ 20.000,00.<br><br>Se vendeu com prejuízo de 20% sobre o custo, o valor de venda representa 80% do custo. Então 16.000 ÷ 0,80 = 20.000.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 8</i><hr><b>BIZU:</b> Prejuízo sobre custo deixa o preço de venda abaixo do custo.
Para ter lucro de 25% sobre o custo do relógio, por quanto Maria deveria vender?;Deveria vender por R$ 25.000,00.<br><br>O custo era R$ 20.000,00. Com lucro de 25%, venda = 20.000 × 1,25 = 25.000.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 8</i><hr><b>BIZU:</b> Primeiro descubra o custo, depois aplique o lucro desejado.
Uma loja vende um produto por R$ 28.000,00 com 30% de desconto. Qual é o preço de tabela?;O preço de tabela é R$ 40.000,00.<br><br>R$ 28.000,00 representa 70% do preço de tabela. Então 28.000 ÷ 0,70 = 40.000.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 9</i><hr><b>BIZU:</b> Com desconto de 30%, o preço final é 70% do original.
Uma ação teve aumento de 5% e passou a valer R$ 16,59. Qual era o valor antes do aumento?;O valor era R$ 15,80.<br><br>16,59 corresponde a 105% do valor inicial. Então 16,59 ÷ 1,05 = 15,80.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 10</i><hr><b>BIZU:</b> Valor depois do aumento conhecido pede divisão pelo fator.
Foram vendidos 80% dos apartamentos de um prédio e restaram 13. Quantos apartamentos já foram vendidos?;Foram vendidos 52 apartamentos.<br><br>Se 80% foram vendidos, restaram 20%. Logo, 13 representa 20% do total. Total = 65. Vendidos = 52.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 11</i><hr><b>BIZU:</b> O que restou também é porcentagem do total.
Um produto teve desconto de 25% e passou a custar R$ 436,50. Qual era o preço antes do desconto?;O preço era R$ 582,00.<br><br>R$ 436,50 representa 75% do preço original. Então 436,50 ÷ 0,75 = 582,00.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 12</i><hr><b>BIZU:</b> Desconto de 25% deixa 75%. Para voltar, divide por 0,75.
Em um restaurante, almoçam 50 mulheres e 12 têm animal de estimação. Qual é a porcentagem?;A porcentagem é 24%.<br><br>12/50 = 0,24 = 24%.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 13</i><hr><b>BIZU:</b> Parte sobre total vira porcentagem.
A gasolina aumentou 10% e subiu para R$ 3,96. Qual era o preço antes do aumento?;O preço era R$ 3,60.<br><br>3,96 corresponde a 110% do preço inicial. Então 3,96 ÷ 1,10 = 3,60.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 14</i><hr><b>BIZU:</b> Aumento conhecido no valor final pede divisão por 1,10.
Em 20 kg de liga com 30% de cobre, quantos kg de cobre puro devem ser acrescentados para passar a aproximadamente 40%?;Devem ser acrescentados aproximadamente 3,33 kg de cobre.<br><br>Inicialmente há 6 kg de cobre. Depois: (6 + x)/(20 + x) = 40%. Resolvendo, x = 3,33.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, caso especial</i><hr><b>BIZU:</b> Em mistura, o total também muda quando você acrescenta material.
Em uma sala com 200 pessoas, 90% são homens. Após alguns homens saírem, todas as mulheres ficaram e passaram a representar 20% do grupo. Quantos homens saíram?;Saíram 100 homens.<br><br>No início, havia 180 homens e 20 mulheres. Se 20 mulheres passam a ser 20% do grupo, o grupo final tem 100 pessoas. Logo, ficaram 80 homens. Saíram 100 homens.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 17</i><hr><b>BIZU:</b> Quando a porcentagem muda, mas uma quantidade fica fixa, use essa quantidade como âncora.
No almoxarifado havia 120 pastas, 60% verdes e o restante azuis. No fim, as verdes eram 52% e as azuis permaneceram 48. Quantas verdes foram retiradas?;Foram retiradas 20 pastas verdes.<br><br>Inicialmente havia 72 verdes e 48 azuis. No final, se verdes são 52%, azuis são 48%. Como azuis = 48, total final = 100 e verdes finais = 52. Retiradas = 72 - 52 = 20.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 18</i><hr><b>BIZU:</b> Quantidade que não muda é âncora para reconstruir o total.
Um perfume de 200 mL contém 20% de essência A, mas deveria conter 36%. Quantos mL de essência A devem ser acrescentados?;Devem ser acrescentados 50 mL de essência A.<br><br>Inicialmente há 40 mL de A. Depois: (40 + x)/(200 + x) = 36%. Resolvendo, x = 50.<br><br><i>Fonte: Teoria e Exercício — Porcentagem, questão 19</i><hr><b>BIZU:</b> Ao acrescentar essência, o numerador e o denominador aumentam.
