Frente;Verso
O que é uma <b>equação do 1º grau</b>?;É uma igualdade com incógnita em que o maior expoente da incógnita é 1.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> Se o x aparece como x¹, é equação do 1º grau.
Qual é a forma geral da equação do 1º grau apresentada no material?;A forma geral é <b>a.x + b = 0</b>.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> A equação do 1º grau é uma reta algébrica: x aparece sem quadrado.
Na equação <b>a.x + b = 0</b>, qual é a fórmula para encontrar x?;<b>x = -b/a</b>.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> Passa o b para o outro lado trocando o sinal, depois divide por a.
Qual é o objetivo ao resolver uma equação do 1º grau?;Isolar a incógnita, normalmente representada por x.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> Resolver equação é deixar o x sozinho.
O que significa <b>isolar o x</b>?;Significa manipular a igualdade até deixar x sozinho em um lado da equação e o valor correspondente no outro.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> O x é o suspeito. A investigação termina quando ele fica sozinho.
Qual é a regra prática ao passar um termo somando para o outro lado da equação?;Ele passa subtraindo.<br><br>Exemplo: x + 4 = 10 vira x = 10 - 4.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> Passou de lado, troca a operação.
Qual é a regra prática ao passar um termo subtraindo para o outro lado da equação?;Ele passa somando.<br><br>Exemplo: x - 4 = 10 vira x = 10 + 4.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> Mudou de lado, mudou o sinal.
Qual é a regra prática ao passar um número multiplicando o x para o outro lado?;Ele passa dividindo.<br><br>Exemplo: 4x = 20 vira x = 20/4.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> Multiplicação vira divisão.
Qual é a regra prática ao passar um número dividindo o x para o outro lado?;Ele passa multiplicando.<br><br>Exemplo: x/4 = 5 vira x = 5 . 4.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> Divisão vira multiplicação.
Como resolver equações com frações?;Uma estratégia segura é usar o MMC dos denominadores para eliminar as frações.<br><br><i>Fonte: Aula Bônus 14 — Exercícios com frações</i><hr><b>BIZU:</b> Fração em equação pede limpeza com MMC.
Como resolver equações com parênteses?;Primeiro aplique a distributiva, depois junte termos semelhantes e isole o x.<br><br><i>Fonte: Aula Bônus 14 — Exercícios com parênteses</i><hr><b>BIZU:</b> Parêntese é embalagem. Abra com distributiva.
Qual é a principal armadilha em equação do 1º grau?;Trocar sinal de forma errada ao passar termos de um lado para o outro.<br><br><i>Fonte: Aula Bônus 14 — Equação do Primeiro Grau</i><hr><b>BIZU:</b> Em equação, sinal errado costuma ser o erro fatal.
Qual é a ponte entre <b>expressões numéricas</b> e <b>equação do 1º grau</b>?;Antes de isolar o x, muitas equações exigem resolver expressões, aplicar distributiva, somar frações e respeitar sinais.<br><br><i>Fonte: Aula Bônus 13 e Aula Bônus 14</i><hr><b>BIZU:</b> Equação é expressão numérica com missão: descobrir o x.
Resolva <b>4x + 4 = 0</b>.;x = -1.<br><br><i>Fonte: Aula Bônus 14 — Gabarito, item a</i><hr><b>BIZU:</b> 4x = -4, então x = -1.
Resolva <b>2/3 x = 40</b>.;x = 60.<br><br><i>Fonte: Aula Bônus 14 — Gabarito, item b</i><hr><b>BIZU:</b> Multiplicar por 2/3 vira multiplicar pelo inverso 3/2.
Resolva <b>1/3 x + 30 = 40</b>.;x = 30.<br><br><i>Fonte: Aula Bônus 14 — Gabarito, item c</i><hr><b>BIZU:</b> Primeiro tire o 30, depois elimine o 1/3.
Resolva <b>2/3 . 1/5 . 4/6 x = 40</b>.;x = 450.<br><br><i>Fonte: Aula Bônus 14 — Gabarito, item d</i><hr><b>BIZU:</b> Multiplique as frações antes ou use inverso do coeficiente inteiro.
Resolva <b>(5 - x)/6 = x/4</b>.;x = 2.<br><br><i>Fonte: Aula Bônus 14 — Gabarito, item e</i><hr><b>BIZU:</b> Faça multiplicação cruzada: 4(5 - x) = 6x.
Resolva <b>(3 + x)/2 = x/3</b>.;x = -9.<br><br><i>Fonte: Aula Bônus 14 — Gabarito, item f</i><hr><b>BIZU:</b> Multiplicação cruzada: 3(3 + x) = 2x.
Resolva <b>5x - 3x + 11 = 0</b>.;x = -11/2.<br><br><i>Fonte: Aula Bônus 14 — Gabarito, item g</i><hr><b>BIZU:</b> Primeiro junte os x: 5x - 3x = 2x.
