Frente;Verso
A Lei dos Crimes Hediondos ainda concentra toda a disciplina da <b>progressão de regime</b>?;<font color="#ff4444"><b>Não.</b></font> O Pacote Anticrime levou praticamente toda a regulação da progressão de regime para a Lei de Execução Penal.<br><br><i>Fonte: Lei nº 8.072/90, progressão de regime, e LEP</i><hr><b>BIZU:</b> Progressão hoje é assunto principalmente da <font color="#00e676">LEP</font>, não só da Lei dos Hediondos.
O que o art. 2º, § 1º, da Lei nº 8.072/90 diz sobre o regime inicial?;O dispositivo afirma que a pena por crime hediondo ou equiparado será cumprida inicialmente em regime fechado.<br><br><i>Fonte: Lei nº 8.072/90, art. 2º, § 1º</i><hr><b>BIZU:</b> Cuidado: uma coisa é o texto da lei, outra é o controle de constitucionalidade feito pelo STF.
O regime inicial fechado obrigatório para crimes hediondos é constitucional segundo o STF?;<font color="#ff4444"><b>Não.</b></font> O STF declarou inconstitucional a obrigatoriedade automática de regime inicial fechado para crimes hediondos e equiparados.<br><br><i>Fonte: STF, HC 111840</i><hr><b>BIZU:</b> Regime inicial não pode ser automático. Deve respeitar a <font color="#00e676">individualização da pena</font>.
Qual princípio constitucional é violado pela imposição automática de regime inicial fechado?;A imposição automática viola o princípio da <b>individualização da pena</b>.<br><br><i>Fonte: STF, HC 111840, CF, art. 5º, XLVI</i><hr><b>BIZU:</b> Pena não é carimbo automático. O juiz deve individualizar.
Como o juiz deve fixar o regime inicial em crimes hediondos após a posição do STF?;O juiz deve aplicar os critérios do Código Penal, especialmente o art. 33, § 3º, combinado com o art. 59, analisando pena, circunstâncias judiciais e situação concreta.<br><br><i>Fonte: STF, HC 111840, CP, arts. 33 e 59</i><hr><b>BIZU:</b> Hediondez pesa, mas não substitui fundamentação concreta.
O juiz pode fixar regime inicial mais brando que o fechado em crime hediondo?;<b>Sim.</b> Desde que os critérios legais permitam, é possível fixar regime inicial mais brando, pois o regime fechado obrigatório foi considerado inconstitucional pelo STF.<br><br><i>Fonte: STF, HC 111840</i><hr><b>BIZU:</b> Não responda no automático. Hediondo não significa fechado obrigatório.
Qual é a pegadinha entre <b>texto legal</b> e <b>jurisprudência</b> no regime inicial dos hediondos?;A lei ainda traz a ideia de regime inicialmente fechado, mas o STF declarou inconstitucional a obrigatoriedade automática desse regime.<br><br><i>Fonte: Lei nº 8.072/90, art. 2º, § 1º, STF, HC 111840</i><hr><b>BIZU:</b> Questão literal da lei pode cobrar o texto. Questão constitucional cobra o STF.
O que foi decidido no <b>HC 111840</b> do STF?;O STF declarou incidentalmente inconstitucional a obrigatoriedade de fixação do regime inicial fechado para crimes hediondos ou equiparados.<br><br><i>Fonte: STF, HC 111840</i><hr><b>BIZU:</b> HC 111840 = fim do fechado automático.
Qual foi o efeito temporal mencionado no julgamento do HC 111840?;A declaração incidental de inconstitucionalidade teve efeito <font color="#ffeb3b">ex nunc</font>, segundo o material.<br><br><i>Fonte: STF, HC 111840</i><hr><b>BIZU:</b> Ex nunc = efeitos para frente.
O réu condenado por crime hediondo pode apelar em liberdade?;<b>Sim, em tese.</b> Em caso de condenação, o juiz decidirá fundamentadamente se o réu poderá apelar em liberdade.<br><br><i>Fonte: Lei nº 8.072/90, art. 2º, § 3º</i><hr><b>BIZU:</b> Apelar preso ou solto exige fundamentação, não automatismo.
Qual é a regra de prova sobre apelar em liberdade na Lei dos Hediondos?;A regra é que o juiz deve decidir de forma <b>fundamentada</b> se o réu poderá apelar em liberdade.<br><br><i>Fonte: Lei nº 8.072/90, art. 2º, § 3º</i><hr><b>BIZU:</b> Palavra-chave: <font color="#00e676">fundamentadamente</font>.
O que diz a <b>Súmula Vinculante 26</b> do STF em linhas gerais?;Para progressão de regime em crime hediondo ou equiparado, o juízo da execução deve observar a inconstitucionalidade do art. 2º da Lei nº 8.072/90, sem prejuízo de avaliar requisitos objetivos e subjetivos do benefício.<br><br><i>Fonte: STF, Súmula Vinculante 26</i><hr><b>BIZU:</b> SV 26 = progressão possível + análise de requisitos.
A Súmula Vinculante 26 impede a progressão de regime em crimes hediondos?;<font color="#ff4444"><b>Não.</b></font> Pelo contrário, ela reconhece a possibilidade de progressão, desde que preenchidos os requisitos objetivos e subjetivos.<br><br><i>Fonte: STF, Súmula Vinculante 26</i><hr><b>BIZU:</b> Hediondo não bloqueia progressão. Exige cumprimento dos requisitos.
Segundo a Súmula Vinculante 26, o juiz pode determinar exame criminológico?;<b>Sim.</b> O juiz pode determinar exame criminológico de modo fundamentado para avaliar a progressão.<br><br><i>Fonte: STF, Súmula Vinculante 26</i><hr><b>BIZU:</b> Exame criminológico pode, mas precisa de fundamentação.
Quais requisitos o juízo da execução avalia para progressão em crime hediondo?;Avalia requisitos <b>objetivos</b>, ligados ao cumprimento de parcela da pena, e <b>subjetivos</b>, ligados ao comportamento e mérito do condenado.<br><br><i>Fonte: STF, Súmula Vinculante 26, LEP</i><hr><b>BIZU:</b> Objetivo = tempo. Subjetivo = comportamento.
Qual é a diferença entre <b>regime inicial</b> e <b>progressão de regime</b>?;Regime inicial é fixado na condenação. Progressão ocorre durante a execução da pena, quando o condenado passa para regime menos rigoroso se preencher os requisitos legais.<br><br><i>Fonte: CP, art. 33, LEP, Súmula Vinculante 26</i><hr><b>BIZU:</b> Inicial é porta de entrada. Progressão é caminho de saída gradual.
