Frente;Verso
O que é um <b>diagrama lógico</b> de associação de informações?;É uma tabela usada para relacionar personagens, objetos, profissões, lugares, cores ou outras categorias, marcando confirmações e impossibilidades.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Associação lógica é jogo de encaixe.
Quando usar <b>diagrama lógico de associação</b>?;Use quando o enunciado apresenta personagens e categorias diferentes para descobrir, como pessoa, profissão, cidade, cor ou objeto.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Viu várias pessoas e várias características, monte tabela.
Qual é a regra central das questões de <b>associação de informações</b>?;Todas as frases do enunciado devem ser consideradas verdadeiras.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Não discuta o enunciado. Use tudo como verdade.
O que representa a <b>bolinha O</b> no diagrama lógico?;Representa uma confirmação, isto é, aquela pessoa ou item pertence àquela categoria.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Bolinha é casamento confirmado.
O que representa o <b>X</b> no diagrama lógico?;Representa uma impossibilidade, isto é, aquela pessoa ou item não pertence àquela categoria.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> X é proibição.
Qual é a regra após fazer uma <b>bolinha</b> em uma célula?;Depois de fazer uma bolinha, devemos cancelar a linha e a coluna correspondentes com X nas demais possibilidades incompatíveis.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Fez bolinha, limpa linha e coluna.
Por que, ao fazer uma bolinha, cancelamos linha e coluna?;Porque em questões de associação cada elemento costuma ter apenas uma correspondência em cada categoria.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Se Ana é médica, Ana não é as outras profissões e ninguém mais é médica.
O que fazer quando uma coluna tem <b>uma única célula vazia</b>?;Devemos fazer bolinha nessa célula, pois todas as outras possibilidades da coluna foram eliminadas.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Sobrou um espaço, virou certeza.
O que fazer quando uma linha tem <b>uma única célula vazia</b>?;Devemos fazer bolinha nessa célula, pois todas as outras possibilidades da linha foram eliminadas.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Se só sobrou uma opção, é ela.
Qual é o erro comum em associação de informações?;Marcar uma bolinha e esquecer de cancelar as demais opções da mesma linha e da mesma coluna.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Bolinha sem cancelamento deixa o jogo solto.
Qual é o primeiro passo em questões de associação?;Listar as categorias envolvidas, como pessoas, cidades, profissões, carros, cores ou quartos.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Antes de resolver, descubra os grupos.
Qual é o segundo passo em questões de associação?;Montar uma tabela cruzando os elementos de uma categoria com os elementos da outra.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Cruzamento transforma texto em mapa.
Qual é o terceiro passo em questões de associação?;Ler as pistas uma por uma, marcando O para certezas e X para impossibilidades.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Uma pista por vez.
Qual é o quarto passo em questões de associação?;Usar as consequências das bolinhas e dos X para preencher novas certezas.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> O jogo anda por eliminação.
Em associação lógica, o que significa a frase <b>não necessariamente nesta ordem</b>?;Significa que os itens listados não estão diretamente correspondentes na ordem em que aparecem no enunciado.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Ordem do texto não é resposta.
[QUESTÃO] Em uma questão de carros, Flávio possui um <b>corsa vermelho</b>. O que deve ser marcado?;Marque bolinha em Flávio com corsa e bolinha em corsa com vermelho. Depois cancele as alternativas incompatíveis da linha e coluna.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Informação direta vira bolinha imediata.
[QUESTÃO] Se Emerson é dono do <b>pálio</b>, o que fazer no diagrama?;Marcar bolinha entre Emerson e pálio, e colocar X nas demais possibilidades de carro para Emerson e nos demais donos possíveis do pálio.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Uma certeza elimina várias possibilidades.
[QUESTÃO] Se Márcio <b>não é dono da belina</b> e <b>não tem carro branco</b>, o que fazer?;Marcar X em Márcio com belina e X em Márcio com branco.<br><br><i>Fonte: Diagrama Lógico – associação de informações</i><hr><b>BIZU:</b> Frase negativa vira X direto.
