Frente;Verso
[Q2 FGV TJSC Juiz 2025] Douglas foi injuriado por Max e Melanie. Após ajuizar queixa, o querelante deixou de formular pedido de condenação nas alegações finais, fazendo apenas resumo do feito e das provas. O que ocorre? <br>a) perdão tácito <br>b) perempção <br>c) aditamento pelo MP <br>d) renúncia tácita <br>e) intimação dos querelados para aceitar perdão;<b>Gabarito: B, perempção.</b><br><br>Na ação penal privada, se o querelante deixa de formular pedido de condenação nas alegações finais, ocorre perempção, com extinção da punibilidade.<br><br><i>Fonte: Art. 60, III do CPP e art. 107, IV do CP</i><hr><b>BIZU:</b> Alegações finais sem pedido de condenação = abandono da ação privada. <font color="#ffeb3b">Sem pedir condenação, morreu a queixa.</font>
[Q3 FGV TJ AP 2024] O Presidente da República edita decreto para extinguir a punibilidade de todos os condenados por estelionato que, após início do cumprimento da pena, foram acometidos por paraplegia, preenchidos os requisitos legais. Trata-se de quê? <br>a) perdão judicial <br>b) perempção <br>c) indulto <br>d) anistia <br>e) graça;<b>Gabarito: C, indulto.</b><br><br>O benefício é coletivo, concedido pelo Presidente da República por decreto. Isso caracteriza indulto. A graça é individual. A anistia é concedida por lei do Congresso.<br><br><i>Fonte: Art. 84, XII da CF e art. 107, II do CP</i><hr><b>BIZU:</b> <font color="#ffeb3b">Presidente + decreto + coletivo = indulto.</font> Presidente + decreto + individual = graça. Congresso + lei = anistia.
[Q4 FGV TJ MS 2024] Lúcia foi vítima de estelionato e só procurou as autoridades sete meses depois, embora soubesse desde o dia do fato quem era o autor. Qual causa de extinção ocorreu? <br>a) prescrição executória <br>b) prescrição punitiva <br>c) renúncia ao direito de queixa <br>d) perempção <br>e) decadência;<b>Gabarito: E, decadência.</b><br><br>O estelionato, como regra, é de ação penal pública condicionada à representação. A vítima tem <font color="#ffeb3b"><b>6 meses</b></font> para representar, contados da ciência da autoria. Como Lúcia esperou 7 meses, ocorreu decadência.<br><br><i>Fonte: Art. 107, IV do CP</i><hr><b>BIZU:</b> Decadência = perdeu o prazo de representar ou queixar. <font color="#ffeb3b">6 meses da autoria conhecida.</font>
[Q5 FGV TJ SC 2024] Em ação penal privada, João, querelante, deixou de promover o andamento do processo por 35 dias seguidos mesmo depois de intimado. O juiz extinguiu a punibilidade. Qual instituto ocorreu? <br>a) renúncia <br>b) retratação <br>c) perdão do ofendido <br>d) perempção <br>e) decadência;<b>Gabarito: D, perempção.</b><br><br>Na ação penal privada, se o querelante deixa de promover o andamento do processo por <font color="#ffeb3b"><b>30 dias seguidos</b></font>, ocorre perempção.<br><br><i>Fonte: Art. 60, I do CPP e art. 107, IV do CP</i><hr><b>BIZU:</b> Perempção é abandono da ação privada. <font color="#ffeb3b">30 dias parado = ação privada morreu.</font>
[Q6 FGV TJ RJ 2024] Helena, menor de 21 ao tempo do fato, foi denunciada com Bernardo. A sentença absolveu Helena, mas condenou Bernardo. Depois, em recurso da acusação, Helena foi condenada. A sentença que condenou apenas Bernardo interrompeu a prescrição contra Helena?;<b>Gabarito: D, sim, afastando a prescrição dos dois delitos.</b><br><br>Embora Helena tenha sido absolvida na sentença, a condenação de Bernardo no mesmo processo interrompeu a prescrição também em relação a ela. A interrupção dos incisos I a IV do art. 117 se comunica aos autores do crime no mesmo processo.<br><br><i>Fonte: Art. 117, §1º do CP</i><hr><b>BIZU:</b> Mesmo processo = marco interruptivo pode irradiar. <font color="#ffeb3b">Condenou um corréu, pode interromper para o outro.</font>
[Q7 FGV TJ MS Juiz 2023] Sobre anistia, graça e indulto, assinale a correta: indulto por decreto presidencial pode extinguir pena ou medida de segurança. Certo ou errado?;<b>Gabarito: D, certo.</b><br><br>O indulto é concedido por decreto do Presidente da República e atinge o efeito penal primário da condenação, isto é, pena ou medida de segurança. Não apaga efeitos secundários penais ou extrapenais.<br><br><i>Fonte: Art. 84, XII da CF e Súmula 631 do STJ</i><hr><b>BIZU:</b> Indulto = decreto presidencial coletivo. <font color="#ffeb3b">Extingue execução, não limpa todos os efeitos.</font>
[Q8 VUNESP Jaguariúna 2023] É causa de extinção da punibilidade nos termos do art. 107 do CP: <br>a) absolvição <br>b) menoridade <br>c) perdão judicial <br>d) inimputabilidade <br>e) casamento do ofensor com a vítima;<b>Gabarito: C, perdão judicial.</b><br><br>O perdão judicial, nos casos previstos em lei, é causa de extinção da punibilidade. Absolvição, menoridade e inimputabilidade não são causas do art. 107. Casamento do ofensor com a vítima não subsiste como causa extintiva.<br><br><i>Fonte: Art. 107, IX do CP</i><hr><b>BIZU:</b> Perdão judicial só quando a lei autoriza. <font color="#ffeb3b">Art. 107, IX = juiz perdoa nos casos legais.</font>
[Q9 VUNESP TJ AL Remoção 2023] A prescrição retroativa, que decorre da pena aplicada em concreto na sentença, extingue qual pretensão? <br>a) pretensão punitiva <br>b) pretensão executória <br>c) pode ocorrer mesmo com recurso da acusação para aumentar pena <br>d) pode ter termo inicial anterior à denúncia ou queixa;<b>Gabarito: A, extingue a pretensão punitiva.</b><br><br>A prescrição retroativa é modalidade de prescrição da pretensão punitiva. Ela usa a pena concretamente aplicada, após trânsito para a acusação ou recurso acusatório improvido, e não pode ter termo inicial anterior à denúncia ou queixa.<br><br><i>Fonte: Art. 110, §1º do CP</i><hr><b>BIZU:</b> Retroativa = punitiva. <font color="#ffeb3b">Depois da sentença, olha para trás até a denúncia usando a pena aplicada.</font>
[Q10 VUNESP TJRJ Juiz 2023] Marius foi condenado a 1 ano e 2 meses de pena privativa de liberdade e, cumulativamente, a 23 dias-multa. Em quanto tempo prescreve a multa? <br>a) regra civil <br>b) 1 ano <br>c) 3 anos <br>d) 4 anos <br>e) 2 anos;<b>Gabarito: D, 4 anos.</b><br><br>Quando a multa é aplicada cumulativamente com pena privativa de liberdade, ela prescreve no mesmo prazo da privativa. Pena de 1 ano e 2 meses cai no art. 109, V, com prazo prescricional de <font color="#ffeb3b"><b>4 anos</b></font>.<br><br><i>Fonte: Art. 114, II e art. 109, V do CP</i><hr><b>BIZU:</b> Multa sozinha = 2 anos. Multa com prisão = acompanha a prisão.
[Q11 VUNESP TJ SP OJ 2023] As penas restritivas de direitos: <br>a) não prescrevem <br>b) prescrevem nos mesmos prazos da privativa de liberdade <br>c) prescrevem como multa <br>d) prescrevem em 2 anos quando únicas <br>e) seguem prazos civis;<b>Gabarito: B, prescrevem nos mesmos prazos da pena privativa de liberdade.</b><br><br>As penas restritivas de direitos não têm tabela própria. Aplicam-se a elas os mesmos prazos previstos para as penas privativas de liberdade.<br><br><i>Fonte: Art. 109, parágrafo único do CP</i><hr><b>BIZU:</b> Restritiva é sombra da privativa. <font color="#ffeb3b">A sombra segue o corpo.</font>
[Q12 VUNESP TJ SP Juiz 2023] É causa impeditiva da prescrição antes do trânsito em julgado da sentença final: <br>a) recebimento da denúncia <br>b) agente cumprir pena no exterior <br>c) não localização do agente <br>d) início do cumprimento da pena;<b>Gabarito: B, agente cumprir pena no exterior.</b><br><br>Antes de passar em julgado a sentença final, a prescrição não corre enquanto o agente cumpre pena no exterior. Recebimento da denúncia é causa interruptiva, não suspensiva.<br><br><i>Fonte: Art. 116, II do CP</i><hr><b>BIZU:</b> Art. 116 = pausa. Art. 117 = reset. <font color="#ffeb3b">Pena no exterior pausa o relógio.</font>
[Q13 VUNESP TJ SP Juiz 2017] A prescrição retroativa: <br>a) não pode ter termo inicial anterior à publicação da sentença condenatória <br>b) é regulada pela pena máxima abstrata <br>c) não marca antecedentes nem gera futura reincidência <br>d) aumenta 1 terço em caso de reincidência;<b>Gabarito: C, não marca antecedentes nem gera futura reincidência.</b><br><br>A prescrição retroativa é prescrição da pretensão punitiva calculada pela pena concretamente aplicada. Por extinguir a pretensão punitiva, não produz efeitos condenatórios, não gera reincidência nem maus antecedentes.<br><br><i>Fonte: Art. 110, §1º do CP</i><hr><b>BIZU:</b> Prescrição punitiva não deixa condenação eficaz. <font color="#ffeb3b">Punitiva apaga o efeito condenatório.</font>
[Q14 VUNESP DPE MS Defensor 2014] Agente imputável e menor de 21 anos praticou roubo em 10.06.2006. Denúncia recebida em 29.06.2006. Até 01.07.2014 não havia sentença. O que ocorreu?;<b>Gabarito: A, ocorreu prescrição da pretensão punitiva pela pena abstrata.</b><br><br>Roubo tem pena máxima de 10 anos, prazo prescricional de 16 anos. Como o agente era menor de 21 ao tempo do fato, o prazo cai pela metade, ficando em <font color="#ffeb3b"><b>8 anos</b></font>. Do recebimento da denúncia em 29.06.2006 até 01.07.2014 passaram mais de 8 anos sem sentença.<br><br><i>Fonte: Art. 109, II, art. 115 e art. 117, I do CP</i><hr><b>BIZU:</b> Roubo máximo 10 = 16 anos. Menor de 21 = metade. <font color="#ffeb3b">16 vira 8.</font>
[Q15 VUNESP TJ MS Juiz 2015] Sobre extinção da punibilidade, qual alternativa está correta? <br>a) rol do art. 107 é fechado e não inclui abolitio <br>b) oferecimento da denúncia interrompe prescrição <br>c) perdão a um querelado não aproveita aos demais <br>d) pena máxima inferior a 1 ano prescreve em 2 anos <br>e) sentença que concede perdão judicial não gera reincidência;<b>Gabarito: E.</b><br><br>A sentença que concede perdão judicial não será considerada para efeitos de reincidência. O art. 107 não é taxativo. O que interrompe a prescrição é o recebimento da denúncia, não o oferecimento. Perdão concedido a um querelado pode aproveitar aos demais. Pena máxima inferior a 1 ano prescreve em 3 anos.<br><br><i>Fonte: Art. 120, art. 117, I e art. 109, VI do CP</i><hr><b>BIZU:</b> Perdão judicial = sentença declaratória, sem reincidência. <font color="#ffeb3b">Art. 120 é o escudo.</font>
[Q16 VUNESP MPE SP Analista 2015] Sobre causas de extinção da punibilidade, assinale a correta: perdão judicial não se dirige a toda infração penal, apenas às previamente determinadas por lei, admitindo-se analogia in bonam partem. Certo?;<b>Gabarito: A, certo.</b><br><br>O perdão judicial só cabe nos casos previstos em lei. O material ressalta, contudo, que não há vedação à analogia in bonam partem quando compatível com a lógica benéfica ao réu.<br><br><i>Fonte: Art. 107, IX do CP</i><hr><b>BIZU:</b> Perdão judicial não é livre. <font color="#ffeb3b">Precisa de lei, mas analogia benéfica pode aparecer.</font>
