Frente;Verso
O que é <b>coeficiente de variação</b>?;É a razão entre o desvio padrão e a média aritmética.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> CV compara o desvio padrão com o tamanho da média.
Qual é outro nome para <b>coeficiente de variação</b>?;O coeficiente de variação também é chamado de <b>dispersão relativa</b>.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> Relativa porque compara a dispersão com a média.
Qual é a fórmula do <b>coeficiente de variação</b>?;<b>CV = S / x̄</b>, em que S representa o desvio padrão e x̄ representa a média aritmética.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> CV é desvio padrão dividido pela média.
O <b>coeficiente de variação</b> tem unidade?;<b>Não</b>. Ele é uma medida adimensional.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> CV não fica em reais, metros ou quilos. Ele é puro número ou percentual.
Para que serve o <b>coeficiente de variação</b>?;Serve para determinar se os dados são homogêneos ou heterogêneos, comparando a dispersão com a média.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> CV responde se o grupo é parecido ou muito espalhado.
O que significa <b>CV próximo de zero</b>?;Significa que os dados tendem a ser homogêneos, ou seja, as variáveis são semelhantes entre si.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> CV perto de 0% indica pouca variação.
O que significa <b>CV próximo de 1</b> ou <b>100%</b>?;Significa que os dados tendem a ser heterogêneos, ou seja, há maior discrepância entre os valores.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> CV perto de 100% indica muita variação.
Como transformar <b>CV</b> em porcentagem?;Multiplique o valor decimal do CV por 100.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> CV 0,25 vira 25%.
Se a média é <b>20</b> e o desvio padrão é <b>4</b>, qual é o coeficiente de variação?;<b>0,20</b> ou <b>20%</b>. Cálculo: CV = 4 / 20 = 0,20.<br><br><i>Fonte: Complemento didático autoral – aplicação do CV</i><hr><b>BIZU:</b> Desvio padrão 4 é 20% da média 20.
Se a média é <b>50</b> e o desvio padrão é <b>5</b>, qual é o coeficiente de variação?;<b>0,10</b> ou <b>10%</b>. Cálculo: CV = 5 / 50 = 0,10.<br><br><i>Fonte: Complemento didático autoral – aplicação do CV</i><hr><b>BIZU:</b> Quanto menor o CV, mais homogêneo tende a ser o conjunto.
Se dois grupos têm médias diferentes, qual medida ajuda a comparar a dispersão entre eles?;<b>Coeficiente de variação</b>, porque ele compara o desvio padrão com a média de cada grupo.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> Para comparar grupos com médias diferentes, use dispersão relativa.
Por que o coeficiente de variação é melhor que o desvio padrão para comparar grupos com médias diferentes?;Porque o desvio padrão é uma dispersão absoluta, enquanto o CV mostra a dispersão proporcional em relação à média.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> DP mostra tamanho do espalhamento. CV mostra espalhamento em proporção.
Qual é a pegadinha do <b>coeficiente de variação</b>?;A pegadinha é esquecer de dividir pela média. O CV não é apenas o desvio padrão, é o desvio padrão em relação à média.<br><br><i>Fonte: Medidas de Dispersão – coeficiente de variação</i><hr><b>BIZU:</b> CV sempre pede comparação com a média.
O que é <b>variância relativa</b>?;É a razão entre a variância e o quadrado da média aritmética.<br><br><i>Fonte: Medidas de Dispersão – variância relativa</i><hr><b>BIZU:</b> Variância relativa é a versão ao quadrado da dispersão relativa.
Qual é a fórmula da <b>variância relativa</b>?;<b>VR = S² / x̄²</b>, em que S² é a variância e x̄² é o quadrado da média.<br><br><i>Fonte: Medidas de Dispersão – variância relativa</i><hr><b>BIZU:</b> Variância sobre média ao quadrado.
A <b>variância relativa</b> tem unidade?;<b>Não</b>. Ela é uma medida adimensional.<br><br><i>Fonte: Medidas de Dispersão – variância relativa</i><hr><b>BIZU:</b> Variância relativa também perde a unidade.
Segundo o material, a <b>variância relativa</b> tem valor estatístico relevante?;<b>Não</b>. O material afirma que ela é uma medida adimensional e sem valor estatístico.<br><br><i>Fonte: Medidas de Dispersão – variância relativa</i><hr><b>BIZU:</b> Cai mais como conceito e fórmula do que como interpretação prática.
Qual é a relação entre <b>coeficiente de variação</b> e <b>variância relativa</b>?;A variância relativa é o quadrado do coeficiente de variação, pois VR = S² / x̄² e CV = S / x̄.<br><br><i>Fonte: Medidas de Dispersão – variância relativa</i><hr><b>BIZU:</b> VR é CV ao quadrado.
Se o coeficiente de variação é <b>0,20</b>, qual é a variância relativa?;<b>0,04</b>. Como VR = CV², temos 0,20² = 0,04.<br><br><i>Fonte: Complemento didático autoral – relação CV e VR</i><hr><b>BIZU:</b> CV ao quadrado vira VR.
Se a média é <b>20</b> e a variância é <b>16</b>, qual é a variância relativa?;<b>0,04</b>. Cálculo: VR = 16 / 20² = 16 / 400 = 0,04.<br><br><i>Fonte: Complemento didático autoral – aplicação da VR</i><hr><b>BIZU:</b> Cuidado para elevar a média ao quadrado.
Qual é a pegadinha da <b>variância relativa</b>?;A pegadinha é dividir a variância pela média simples. O correto é dividir a variância pelo quadrado da média.<br><br><i>Fonte: Medidas de Dispersão – variância relativa</i><hr><b>BIZU:</b> VR usa média ao quadrado.
O que é <b>desvio médio</b> ou <b>desvio médio absoluto</b>?;É a média aritmética dos módulos dos desvios em relação à média aritmética.<br><br><i>Fonte: Medidas de Dispersão – desvio médio absoluto</i><hr><b>BIZU:</b> Desvio médio mede afastamento médio sem deixar sinal negativo cancelar.
Por que o desvio médio usa <b>módulo</b>?;Porque os desvios positivos e negativos poderiam se anular. O módulo transforma todos os desvios em valores não negativos.<br><br><i>Fonte: Medidas de Dispersão – desvio médio absoluto</i><hr><b>BIZU:</b> Módulo impede cancelamento.
Qual é a fórmula do <b>desvio médio absoluto</b> para dados não agrupados?;<b>DMA = soma de |xi - x̄| / n</b>.<br><br><i>Fonte: Medidas de Dispersão – desvio médio absoluto</i><hr><b>BIZU:</b> Ache os desvios, tire o módulo, some e divida por n.
Qual é o primeiro passo para calcular o <b>desvio médio absoluto</b>?;Calcular a média aritmética da série.<br><br><i>Fonte: Medidas de Dispersão – desvio médio absoluto</i><hr><b>BIZU:</b> Sem média, não há desvio.
Qual é o segundo passo para calcular o <b>desvio médio absoluto</b>?;Calcular os desvios de cada valor em relação à média, usando xi menos x̄.<br><br><i>Fonte: Medidas de Dispersão – desvio médio absoluto</i><hr><b>BIZU:</b> Desvio é valor menos média.
Qual é o terceiro passo para calcular o <b>desvio médio absoluto</b>?;Tomar o módulo de cada desvio, isto é, considerar todos os afastamentos como positivos.<br><br><i>Fonte: Medidas de Dispersão – desvio médio absoluto</i><hr><b>BIZU:</b> Desvio absoluto não tem sinal negativo.
Qual é o quarto passo para calcular o <b>desvio médio absoluto</b>?;Somar os módulos dos desvios e dividir pelo número de elementos.<br><br><i>Fonte: Medidas de Dispersão – desvio médio absoluto</i><hr><b>BIZU:</b> Média dos afastamentos absolutos.
[QUESTÃO] Calcule o desvio médio da série <b>4, 6, 7, 8, 10</b>.;<b>1,6</b>. A média é 7. Os desvios são -3, -1, 0, 1 e 3. Os módulos são 3, 1, 0, 1 e 3. Soma dos módulos = 8. Desvio médio = 8 / 5 = 1,6.<br><br><i>Fonte: Medidas de Dispersão – exemplo do material</i><hr><b>BIZU:</b> O módulo transforma -3 em 3 e -1 em 1.
Qual conceito a questão da série <b>4, 6, 7, 8, 10</b> testa?;Ela testa o cálculo do desvio médio absoluto para dados não agrupados.<br><br><i>Fonte: Medidas de Dispersão – exemplo do material</i><hr><b>BIZU:</b> Desvio médio é média dos módulos dos desvios.
[QUESTÃO] Calcule o desvio médio da série <b>1, 2, 4, 5, 6</b>.;<b>1,68</b>. A média é 3,6. Os módulos dos desvios são 2,6, 1,6, 0,4, 1,4 e 2,4. A soma é 8,4. Desvio médio = 8,4 / 5 = 1,68.<br><br><i>Fonte: Medidas de Dispersão – exemplo do material</i><hr><b>BIZU:</b> Com média decimal, faça os módulos com calma.
Qual é a diferença entre <b>desvio médio absoluto</b> e <b>variância</b>?;O desvio médio absoluto usa módulos dos desvios. A variância usa quadrados dos desvios.<br><br><i>Fonte: Medidas de Dispersão – desvio médio e variância</i><hr><b>BIZU:</b> DMA usa módulo. Variância usa quadrado.
Qual é a diferença entre <b>desvio médio absoluto</b> e <b>desvio padrão</b>?;O desvio médio absoluto é a média dos módulos dos desvios. O desvio padrão é a raiz quadrada da média dos quadrados dos desvios.<br><br><i>Fonte: Medidas de Dispersão – desvio médio e desvio padrão</i><hr><b>BIZU:</b> DMA é módulo médio. DP vem da variância.
Qual é a fórmula do <b>desvio médio absoluto</b> para dados agrupados?;<b>DMA = soma de |desvio| × fi / soma de fi</b>, em que desvio = xi - x̄.<br><br><i>Fonte: Medidas de Dispersão – desvio médio para dados agrupados</i><hr><b>BIZU:</b> Em tabela, o módulo do desvio recebe o peso da frequência.
Em dados agrupados, o que representa <b>fi</b> no cálculo do desvio médio?;<b>fi</b> representa a frequência de cada valor ou classe.<br><br><i>Fonte: Medidas de Dispersão – desvio médio para dados agrupados</i><hr><b>BIZU:</b> Frequência mostra quantas vezes aquele desvio conta.
Em dados agrupados por ponto, qual valor entra como <b>xi</b> no desvio médio?;Entra o próprio valor apresentado na tabela.<br><br><i>Fonte: Medidas de Dispersão – desvio médio para dados agrupados</i><hr><b>BIZU:</b> Por ponto tem valor exato.
Em dados agrupados em classe, qual valor entra como <b>xi</b> no desvio médio?;Entra o ponto médio da classe.<br><br><i>Fonte: Complemento didático autoral – ponte com dados em classe</i><hr><b>BIZU:</b> Classe precisa de representante, e esse representante é o ponto médio.
Qual é o roteiro para calcular <b>desvio médio absoluto em dados agrupados</b>?;Calcule a média. Calcule os desvios. Tome os módulos. Multiplique cada módulo por fi. Some tudo. Divida pela soma das frequências.<br><br><i>Fonte: Medidas de Dispersão – desvio médio para dados agrupados</i><hr><b>BIZU:</b> Média, desvio, módulo, frequência, soma, divisão.
Qual é o erro mais comum no <b>desvio médio absoluto</b>?;O erro mais comum é somar os desvios com sinal. O correto é usar os módulos dos desvios.<br><br><i>Fonte: Medidas de Dispersão – desvio médio absoluto</i><hr><b>BIZU:</b> Desvio médio absoluto não aceita sinal negativo.
Outro erro comum no desvio médio em dados agrupados é qual?;Ignorar as frequências. Em tabela, cada módulo de desvio deve ser multiplicado pela frequência correspondente.<br><br><i>Fonte: Medidas de Dispersão – desvio médio para dados agrupados</i><hr><b>BIZU:</b> Frequência é peso.
Se somarmos uma constante <b>K</b> a todos os elementos, o que acontece com o desvio padrão, desvio médio absoluto e variância?;Eles não se alteram.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> Deslocar todos os dados não muda o espalhamento.
Se subtrairmos uma constante <b>K</b> de todos os elementos, o que acontece com o desvio padrão, desvio médio absoluto e variância?;Eles não se alteram.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> Tirar K de todo mundo só desloca o conjunto.
Por que somar ou subtrair constante não altera as medidas de dispersão?;Porque as distâncias entre os valores permanecem as mesmas. O conjunto apenas muda de posição na reta.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> Dispersão mede espalhamento, não localização.
Se multiplicarmos todos os elementos por uma constante <b>K</b>, o que acontece com o desvio padrão?;O desvio padrão fica multiplicado por |K|.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> DP acompanha o tamanho da escala.
Se multiplicarmos todos os elementos por uma constante <b>K</b>, o que acontece com o desvio médio absoluto?;O desvio médio absoluto fica multiplicado por |K|.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> DMA também acompanha a escala.
Se multiplicarmos todos os elementos por uma constante <b>K</b>, o que acontece com a variância?;A variância fica multiplicada por K².<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> Variância cresce pelo quadrado da escala.
Se dividirmos todos os elementos por uma constante <b>K</b>, o que acontece com o desvio padrão?;O desvio padrão fica dividido por |K|.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> Dividir a escala divide o DP.
Se dividirmos todos os elementos por uma constante <b>K</b>, o que acontece com o desvio médio absoluto?;O desvio médio absoluto fica dividido por |K|.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> DMA acompanha divisão da escala.
Se dividirmos todos os elementos por uma constante <b>K</b>, o que acontece com a variância?;A variância fica dividida por K².<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> Variância sempre reage ao quadrado da constante.
Qual é a unidade do <b>desvio padrão</b>?;É a mesma unidade da variável estudada.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> Dados em kg, DP em kg.
Qual é a unidade do <b>desvio médio absoluto</b>?;É a mesma unidade da variável estudada.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> DMA fala a mesma língua dos dados.
Qual é a unidade da <b>variância</b>?;É o quadrado da unidade da variável estudada.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> Dados em metros, variância em metros quadrados.
Qual é a unidade do <b>coeficiente de variação</b>?;O coeficiente de variação é adimensional, portanto não tem unidade.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> CV é proporção.
Qual é a unidade da <b>variância relativa</b>?;A variância relativa é adimensional, portanto não tem unidade.<br><br><i>Fonte: Propriedades das Medidas de Dispersão</i><hr><b>BIZU:</b> VR também é proporção sem unidade.
[QUESTÃO] Sabendo que o desvio padrão de X é 3, qual é o desvio padrão de <b>2X</b>?;<b>6</b>. Multiplicar todos os dados por 2 multiplica o desvio padrão por |2|. Logo, 2 × 3 = 6.<br><br><i>Fonte: Exercícios de propriedades das medidas de dispersão</i><hr><b>BIZU:</b> DP acompanha o multiplicador.
[QUESTÃO] Sabendo que o desvio padrão de X é 3, qual é o desvio padrão de <b>X + 4</b>?;<b>3</b>. Somar uma constante a todos os dados não altera o desvio padrão.<br><br><i>Fonte: Exercícios de propriedades das medidas de dispersão</i><hr><b>BIZU:</b> Soma constante desloca, mas não espalha.
