Frente;Verso
O <b>homicídio simples</b> é, em regra, crime hediondo?;<font color="#ff4444"><b>Não.</b></font> O homicídio simples, em regra, não é hediondo. Ele só será hediondo se praticado em <b>atividade típica de grupo de extermínio</b>, ainda que cometido por um só agente.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I</i><hr><b>BIZU:</b> Homicídio simples comum fica fora. Homicídio simples com lógica de extermínio entra.
Quando o <b>homicídio simples</b> passa a ser hediondo?;Quando for praticado em <b>atividade típica de grupo de extermínio</b>, ainda que cometido por apenas <font color="#ffeb3b">1 agente</font>.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I</i><hr><b>BIZU:</b> O foco não é quantidade de agentes. O foco é a <font color="#00e676">lógica impessoal de extermínio</font>.
O que caracteriza a <b>atividade típica de grupo de extermínio</b>?;Caracteriza-se pela <b>impessoalidade na escolha da vítima</b>, isto é, a vítima é eliminada por pertencer a determinado grupo, classe ou estereótipo.<br><br><i>Fonte: Doutrina citada no material, Cézar Roberto Bittencourt</i><hr><b>BIZU:</b> Extermínio não é “matar inimigo pessoal”. É matar alguém por ser de um grupo.
Segundo Cézar Roberto Bittencourt, qual é a marca essencial da atividade típica de grupo de extermínio?;A marca essencial é a <b>impessoalidade da ação</b>, com eliminação da vítima pelo simples fato de pertencer a determinado grupo social, racial, econômico, étnico ou semelhante.<br><br><i>Fonte: Cézar Roberto Bittencourt, citado no PDF</i><hr><b>BIZU:</b> Palavra-chave: <font color="#ffeb3b">impessoalidade</font>.
É necessário existir grupo formalmente organizado para o homicídio simples virar hediondo por atividade de extermínio?;<font color="#ff4444"><b>Não.</b></font> Basta que o homicídio seja cometido em atividade típica de grupo de extermínio. Não é indispensável a existência de grupo estruturado e reiterado.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I</i><hr><b>BIZU:</b> A lei fala em atividade típica, não necessariamente em grupo formal provado.
Se houver efetivo grupo de extermínio ou milícia privada, qual consequência adicional pode surgir no homicídio?;Além da hediondez, pode incidir causa de aumento de pena de <font color="#ffeb3b">1/3 até a metade</font>, se o crime for praticado por milícia privada ou grupo de extermínio.<br><br><i>Fonte: Código Penal, art. 121, § 6º</i><hr><b>BIZU:</b> Uma coisa é etiqueta hedionda. Outra é aumento de pena.
O <b>homicídio qualificado</b> é crime hediondo?;<b>Sim.</b> O homicídio qualificado, previsto no art. 121, § 2º, do Código Penal, é crime hediondo.<br><br><i>Fonte: Lei nº 8.072/90, art. 1º, I</i><hr><b>BIZU:</b> Homicídio qualificado entra direto no rol.
Quais qualificadoras clássicas do homicídio aparecem no art. 121, § 2º, do Código Penal?;Motivo torpe, motivo fútil, meio cruel ou insidioso, recurso que dificulte ou torne impossível a defesa da vítima, conexão com outro crime, além de outras qualificadoras legais específicas.<br><br><i>Fonte: Código Penal, art. 121, § 2º</i><hr><b>BIZU:</b> Para prova, pense no pacote clássico: motivo, meio, modo e conexão.
O que é <b>homicídio privilegiado</b>?;É o homicídio cometido por relevante valor social ou moral, ou sob domínio de violenta emoção logo após injusta provocação da vítima, permitindo redução de pena de <font color="#ffeb3b">1/6 a 1/3</font>.<br><br><i>Fonte: Código Penal, art. 121, § 1º</i><hr><b>BIZU:</b> Privilegiado é homicídio com circunstância que torna a conduta menos reprovável.
É possível haver <b>homicídio privilegiado-qualificado</b>?;<b>Sim.</b> A doutrina e a jurisprudência admitem homicídio privilegiado-qualificado quando o privilégio é subjetivo e a qualificadora é objetiva.<br><br><i>Fonte: Jurisprudência do STJ citada no material</i><hr><b>BIZU:</b> Subjetivo combina com objetivo. Motivo privilegiado pode conviver com meio cruel, por exemplo.
O <b>homicídio privilegiado-qualificado</b> é hediondo?;<font color="#ff4444"><b>Não.</b></font> O STJ entende que o homicídio qualificado-privilegiado não figura no rol dos crimes hediondos.<br><br><i>Fonte: STJ, HC 41579-SP</i><hr><b>BIZU:</b> Pegadinha clássica: tem qualificadora, mas o privilégio afasta a hediondez.
Por que o homicídio privilegiado-qualificado não é tratado como hediondo pelo STJ?;Porque a figura híbrida não está expressamente prevista no rol da Lei nº 8.072/90 como crime hediondo, e o rol é taxativo.<br><br><i>Fonte: STJ, HC 41579-SP, Lei nº 8.072/90, art. 1º</i><hr><b>BIZU:</b> Rol taxativo protege contra ampliação por analogia.
A qualificadora do homicídio contra agentes de segurança exige qual vínculo com a função?;Exige que a vítima esteja no exercício da função ou que o crime seja praticado em decorrência dela.<br><br><i>Fonte: Código Penal, art. 121, § 2º, VII</i><hr><b>BIZU:</b> Palavra de prova: <font color="#00e676">no exercício ou em decorrência da função</font>.
A qualificadora do homicídio contra agente público alcança familiares?;<b>Sim.</b> Pode alcançar cônjuge, companheiro ou parente, desde que o crime ocorra em razão da condição funcional da vítima protegida.<br><br><i>Fonte: Código Penal, art. 121, § 2º, VII</i><hr><b>BIZU:</b> Familiar entra quando o motivo é atingir a função do agente.
A condição de agente aposentado sempre atrai a qualificadora funcional do homicídio?;<font color="#ff4444"><b>Não.</b></font> Em regra, aposentado não entra. Mas, se o crime ocorrer em razão da função anteriormente exercida, a qualificadora pode incidir.<br><br><i>Fonte: Explicação do PDF sobre homicídio contra agentes</i><hr><b>BIZU:</b> Aposentadoria não apaga a função passada se o motivo do crime foi essa função.
O homicídio contra menor de <font color="#ffeb3b">14 anos</font> é qualificado?;<b>Sim.</b> O homicídio contra menor de 14 anos é qualificadora do art. 121, § 2º, IX, do Código Penal, com pena de reclusão de <font color="#ffeb3b">12 a 30 anos</font>.<br><br><i>Fonte: Código Penal, art. 121, § 2º, IX</i><hr><b>BIZU:</b> Menor de 14 no homicídio qualifica e, por consequência, leva à hediondez.
Quais causas de aumento existem no homicídio contra menor de 14 anos?;A pena aumenta de <font color="#ffeb3b">1/3 até a metade</font> se a vítima tem deficiência ou doença que aumente sua vulnerabilidade, e de <font color="#ffeb3b">2/3</font> se o autor tem autoridade ou vínculo especial com a vítima.<br><br><i>Fonte: Código Penal, art. 121, § 2º-B</i><hr><b>BIZU:</b> Vulnerabilidade aumenta. Autoridade sobre a vítima aumenta mais.
O <b>feminicídio</b> está hoje dentro do art. 121 ou possui artigo autônomo?;Atualmente, o feminicídio possui artigo autônomo, o <b>art. 121-A</b> do Código Penal.<br><br><i>Fonte: Código Penal, art. 121-A</i><hr><b>BIZU:</b> Feminicídio saiu da “casa” do art. 121 e ganhou casa própria no 121-A.
Qual é o núcleo do crime de <b>feminicídio</b>?;Matar mulher por razões da condição do sexo feminino.<br><br><i>Fonte: Código Penal, art. 121-A</i><hr><b>BIZU:</b> Não é qualquer homicídio de mulher. É matar por razões da condição do sexo feminino.
