Quais são as três modalidades de delegação de serviços públicos trabalhadas no material?;As três modalidades são <font color="#00e676">concessão</font>, <font color="#00e676">permissão</font> e <font color="#00e676">autorização</font>.<br><br><i>Fonte: Lei 8.987/1995 e doutrina</i><hr><b>BIZU:</b> Mnemônico: <font color="#ffeb3b">CPA</font>, Concessão, Permissão, Autorização.
A autorização é unanimemente aceita pela doutrina como modalidade de delegação?;<b>Não</b>. Alguns doutrinadores sequer consideram a autorização como modalidade de delegação. Porém, as bancas em geral admitem que ela seja modalidade de delegação em hipóteses restritas.<br><br><i>Fonte: Doutrina de serviços públicos</i><hr><b>BIZU:</b> Para prova, não brigue com a banca: autorização pode ser delegação em casos específicos.
Qual é o conceito legal de <b>concessão de serviço público</b>?;É a delegação da prestação do serviço, feita pelo poder concedente, mediante licitação, na modalidade <font color="#00e676">concorrência</font> ou <font color="#00e676">diálogo competitivo</font>, a pessoa jurídica ou consórcio de empresas que demonstre capacidade, por sua conta e risco e por prazo determinado.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, II</i><hr><b>BIZU:</b> Concessão comum tem 5 marcas: contrato, PJ ou consórcio, concorrência ou diálogo competitivo, conta e risco, prazo determinado.
A concessão de serviço público pode ser feita a pessoa física?;<b>Não</b>. A concessão só pode ser feita a <font color="#00e676">pessoa jurídica</font> ou <font color="#00e676">consórcio de empresas</font>.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, II</i><hr><b>BIZU:</b> Pessoa física entra na permissão, não na concessão.
A concessão de serviço público exige prazo determinado?;<b>Sim</b>. A concessão é necessariamente feita por <font color="#ffeb3b">prazo determinado</font>, admitindo-se prorrogação conforme as regras contratuais e legais.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, II</i><hr><b>BIZU:</b> Concessão não é eterna. Delegação por colaboração tem prazo.
Qual é a modalidade licitatória regra para concessão de serviço público?;A regra é licitação na modalidade <font color="#00e676">concorrência</font> ou <font color="#00e676">diálogo competitivo</font>.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, II</i><hr><b>BIZU:</b> Concessão é pesada. Por isso a lei exige modalidade mais robusta.
A concessão de serviço público pode usar <b>leilão</b>?;<b>Excepcionalmente, sim</b>. A Lei 9.074/1995 admite leilão na transferência de controle acionário em privatização de pessoa jurídica sob controle da União, simultaneamente à outorga de nova concessão ou prorrogação das existentes, ressalvados os serviços de telecomunicações.<br><br><i>Fonte: Lei 9.074/1995, art. 27</i><hr><b>BIZU:</b> Regra: concorrência ou diálogo competitivo. Exceção específica: leilão na privatização com concessão.
A concessão de serviço público sempre exige licitação?;<b>Como regra, sim</b>, mas o material registra hipótese específica de inexigibilidade na Lei da Anatel para concessão de serviço público de telecomunicações, quando a disputa for inviável ou desnecessária.<br><br><i>Fonte: Lei 9.472/1997</i><hr><b>BIZU:</b> Cuidado com o “sempre” absoluto. A Lei de Concessões exige licitação, mas há legislação setorial com exceção.
O que é <b>concessão de serviço público precedida da execução de obra pública</b>?;É a delegação que envolve construção, conservação, reforma, ampliação ou melhoramento de obra de interesse público, seguida da exploração do serviço ou da obra para remunerar e amortizar o investimento da concessionária.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, III</i><hr><b>BIZU:</b> Primeiro a empresa faz a obra. Depois explora o serviço ou a obra para recuperar o investimento.
Na concessão precedida de obra pública, como o investimento da concessionária é remunerado?;O investimento é remunerado e amortizado mediante a <font color="#00e676">exploração do serviço ou da obra</font> por prazo determinado.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, III</i><hr><b>BIZU:</b> A obra vira a base econômica da exploração.
Qual é o conceito legal de <b>permissão de serviço público</b>?;É a delegação, a título precário, mediante licitação, da prestação de serviços públicos, feita pelo poder concedente à <font color="#00e676">pessoa física ou jurídica</font> que demonstre capacidade, por sua conta e risco.<br><br><i>Fonte: Lei 8.987/1995, art. 2º, IV</i><hr><b>BIZU:</b> Permissão é mais flexível: aceita pessoa física e é marcada pela precariedade.
