Frente;Verso
O que é <b>juro composto</b>?;É uma modalidade de juro em que o capital inicial de cada período é o capital do período anterior acrescido dos juros já obtidos.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> Juro composto é juros sobre juros.
Por que o juro composto é chamado de <b>juros sobre juros</b>?;Porque, a cada novo período, os juros passam a incidir sobre o capital acumulado, e não apenas sobre o capital inicial original.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> O montante de hoje vira o capital do próximo período.
Qual é a fórmula do <b>montante em juros compostos</b>?;<b>M = C.(1+i)^t</b><br><br>M = montante<br>C = capital<br>i = taxa unitária<br>t = tempo<br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> Composto usa potência. Se apareceu expoente no fator, pense em composto.
Qual é a fórmula dos <b>juros compostos</b>?;<b>J = C.[(1+i)^t - 1]</b><br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> Primeiro acha o fator composto, depois tira 1 para ficar só com o juro.
Como encontrar os juros compostos se eu já tenho capital e montante?;<b>J = M - C</b><br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> Juro é sempre o ganho: valor final menos valor inicial.
O que é o <b>fator de acumulação</b> em juros compostos?;É o fator <b>(1+i)^t</b>, que multiplica o capital para gerar o montante.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> Fator acumulado é o motor do juro composto.
Qual é o fator de uma taxa composta de <b>10% a.m.</b> em um mês?;O fator é <b>1,10</b>.<br><br>10% = 0,10, então 1 + i = 1,10.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> Aumento de 10% vira multiplicar por 1,10.
Qual é o fator composto de <b>10% a.m. por 2 meses</b>?;O fator é <b>1,21</b>.<br><br>1,10² = 1,21.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> 10% por dois períodos não dá 20%. Dá fator 1,21.
Qual é o fator composto de <b>10% a.m. por 3 meses</b>?;O fator é <b>1,331</b>.<br><br>1,10³ = 1,331.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> 1,1³ = 1,331. Esse número aparece muito.
Qual é a diferença principal entre <b>juro simples</b> e <b>juro composto</b>?;No juro simples, os juros incidem sempre sobre o capital inicial. No juro composto, os juros incidem sobre o capital acumulado de cada período.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos sem Tabela</i><hr><b>BIZU:</b> Simples é linha reta. Composto é crescimento acumulado.
