Frente;Verso
O que são <b>quantificadores</b> em lógica?;São expressões que indicam a quantidade de elementos de um conjunto que satisfazem determinada propriedade.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> Quantificador responde “quantos?” na lógica.
Quais são os quantificadores mais cobrados no material?;<b>Todo</b>, <b>nenhum</b> e <b>algum</b>.<br><br><i>Fonte: Diagrama de Venn – Quantificadores</i><hr><b>BIZU:</b> Todo, nenhum e algum formam o trio central.
Quais quantificadores são chamados de <b>universais</b>?;<b>Todo</b> e <b>nenhum</b> são chamados de quantificadores universais.<br><br><i>Fonte: Diagrama de Venn – Quantificadores</i><hr><b>BIZU:</b> Universal fala da classe inteira.
Qual quantificador é chamado de <b>existencial</b>?;<b>Algum</b> é chamado de quantificador existencial.<br><br><i>Fonte: Diagrama de Venn – Quantificadores</i><hr><b>BIZU:</b> Existencial indica que existe pelo menos um.
O que significa <b>∀</b>?;Significa “para todo”, “qualquer que seja” ou “todo”.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> ∀ é o símbolo do universal.
O que significa <b>∃</b>?;Significa “existe pelo menos um” ou “algum”.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> ∃ é o símbolo do existencial.
O que significa <b>∄</b>?;Significa “não existe”.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> ∄ é existência negada.
O que é uma <b>sentença aberta</b> em lógica de primeira ordem?;É uma expressão com variável que precisa de domínio e propriedade definidos para poder ser julgada como verdadeira ou falsa.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> Variável aberta precisa de universo.
O que é o <b>domínio</b> ou <b>universo</b> em lógica de primeira ordem?;É o conjunto de elementos sobre os quais a variável pode assumir valores.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> Domínio é o território onde o x mora.
Por que o domínio é importante em sentenças com quantificadores?;Porque o valor lógico da sentença depende do conjunto de elementos considerado.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> Mudar o universo pode mudar a verdade da frase.
O que significa <b>P(x)</b> em lógica de primeira ordem?;Representa uma propriedade ou predicado aplicado ao elemento x.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> P(x) é uma qualidade atribuída ao x.
Como se lê <b>∀x P(x)</b>?;Lê-se “para todo x, P(x)” ou “qualquer que seja x, P(x)”.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> ∀x exige que todos os x cumpram P.
Como se lê <b>∃x P(x)</b>?;Lê-se “existe pelo menos um x tal que P(x)” ou “algum x satisfaz P”.<br><br><i>Fonte: Lógica de Primeira Ordem</i><hr><b>BIZU:</b> ∃x precisa de pelo menos um exemplo.
