Frente;Verso
[BLOCO 06] Quais temas entram no bloco de <b>aumentos, hediondez e inconstitucionalidades</b>?;Entram: <br>• aumento de pena da metade nos arts. 17 e 18 quando envolver arma, acessório ou munição de uso restrito ou proibido <br>• aumento de pena do art. 20 para crimes dos arts. 14, 15, 16, 17 e 18 <br>• inconstitucionalidade do art. 21 <br>• aumento de 2/3 do art. 21-A em conexão com crimes da Lei de Drogas <br>• crimes hediondos ligados ao Estatuto<br><br><i>Fonte: Lei nº 10.826/2003, arts. 19, 20, 21 e 21-A, conforme material</i><hr><b>BIZU:</b> Este bloco é de “agravamento”: metade, 2/3, hediondez e controle do STF.
[BLOCO 06] Nos crimes de comércio ilegal e tráfico internacional, quando há aumento de pena da metade?;Nos crimes dos arts. 17 e 18, a pena é aumentada da metade se a arma de fogo, acessório ou munição for de uso <font color="#ffeb3b">proibido</font> ou <font color="#ffeb3b">restrito</font>.<br><br><i>Fonte: Lei nº 10.826/2003, art. 19, conforme material</i><hr><b>BIZU:</b> Comércio ou tráfico + restrito/proibido = metade a mais.
O aumento de pena por uso restrito ou proibido se aplica a quais crimes?;Aplica-se aos crimes de <b>comércio ilegal de arma de fogo</b> e <b>tráfico internacional de arma de fogo</b>, previstos nos arts. 17 e 18.<br><br><i>Fonte: Lei nº 10.826/2003, art. 19, conforme material</i><hr><b>BIZU:</b> Art. 19 olha para dois crimes: comércio e tráfico.
Qual é a fração de aumento quando comércio ilegal ou tráfico internacional envolvem arma, acessório ou munição de uso restrito ou proibido?;A fração de aumento é de <font color="#ffeb3b">metade</font>.<br><br><i>Fonte: Lei nº 10.826/2003, art. 19</i><hr><b>BIZU:</b> Restrito ou proibido no comércio/tráfico = +1/2.
[PONTE] Por que o art. 19 agrava comércio ilegal e tráfico internacional quando o objeto é restrito ou proibido?;Porque o contexto comercial ou internacional já é grave, mas se o objeto negociado ou traficado for de uso restrito ou proibido, o risco à segurança pública aumenta ainda mais.<br><br><i>Fonte: Lei nº 10.826/2003, art. 19</i><hr><b>BIZU:</b> Mercado ilegal + objeto perigoso = resposta penal mais dura.
[PONTE] Como diferenciar o art. 16, § 2º, do art. 19?;O art. 16, § 2º, pune posse ou porte ilegal de arma de uso proibido com pena própria de 4 a 12 anos. O art. 19 é causa de aumento da metade para comércio ilegal e tráfico internacional quando envolver arma, acessório ou munição de uso restrito ou proibido.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 16, § 2º, e 19</i><hr><b>BIZU:</b> Art. 16, § 2º = tipo/pena própria. Art. 19 = aumento sobre comércio/tráfico.
[BLOCO 06] Quais crimes recebem aumento de pena pelo art. 20?;Recebem aumento de pena os crimes previstos nos arts. <font color="#ffeb3b">14, 15, 16, 17 e 18</font>: porte ilegal de arma de uso permitido, disparo de arma de fogo, posse ou porte ilegal de arma de uso restrito/proibido, comércio ilegal e tráfico internacional.<br><br><i>Fonte: Lei nº 10.826/2003, art. 20</i><hr><b>BIZU:</b> Art. 20 pula o 12 e o 13. Ele começa no 14 e vai até o 18.
Qual é a fração de aumento do art. 20?;A pena é aumentada de <font color="#ffeb3b">metade</font>.<br><br><i>Fonte: Lei nº 10.826/2003, art. 20</i><hr><b>BIZU:</b> Art. 20 = +1/2.
Quais são as hipóteses de aumento do art. 20?;A pena aumenta de metade se: <br>• o crime for praticado por integrante dos órgãos e empresas referidos nos arts. 6º, 7º e 8º <br>• o agente for reincidente específico em crimes dessa natureza.<br><br><i>Fonte: Lei nº 10.826/2003, art. 20</i><hr><b>BIZU:</b> Art. 20 tem duas chaves: <b>quem praticou</b> e <b>reincidência específica</b>.
O art. 20 se aplica ao crime de posse irregular de arma de fogo de uso permitido do art. 12?;<b>Não.</b> O art. 20 não menciona o art. 12. Portanto, não se aplica à posse irregular de arma de fogo de uso permitido.<br><br><i>Fonte: Lei nº 10.826/2003, art. 20, conforme material</i><hr><b>BIZU:</b> Art. 12 ficou fora do art. 20.
