Frente;Verso
O que são questões de <b>verdades e mentiras</b> em lógica?;São questões em que precisamos descobrir quais afirmações são verdadeiras ou falsas a partir de regras sobre quem mente, quem diz a verdade ou quantas afirmações são verdadeiras.<br><br><i>Fonte: Lógica de Argumentação com Tentativa e Erro</i><hr><b>BIZU:</b> Verdades e mentiras é teste de consistência.
Qual é a regra de ouro em questões com <b>apenas uma afirmação verdadeira</b>?;Teste cada hipótese e mantenha somente aquela em que exatamente uma afirmação fica verdadeira.<br><br><i>Fonte: Lógica de Argumentação com Tentativa e Erro</i><hr><b>BIZU:</b> Tem que sobrar uma V e duas F.
Qual é a regra de ouro em questões com <b>apenas uma afirmação falsa</b>?;Teste cada hipótese e mantenha somente aquela em que exatamente uma afirmação fica falsa.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Tem que sobrar uma F e as demais V.
Em questões de verdades e mentiras, o que significa uma hipótese <b>consistente</b>?;É uma hipótese que respeita todas as condições do enunciado sem gerar contradição.<br><br><i>Fonte: Lógica de Argumentação com Tentativa e Erro</i><hr><b>BIZU:</b> Consistente é a hipótese que não quebra nenhuma regra.
Em questões de verdades e mentiras, o que significa uma <b>contradição</b>?;É quando uma hipótese obriga algo a ser verdadeiro e falso ao mesmo tempo, ou viola a quantidade de verdades e mentiras exigida pelo enunciado.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Contradição elimina a hipótese.
Qual é o primeiro passo em questões com <b>apenas uma verdadeira</b>?;Transformar cada afirmação em proposição simples ou composta e testar os possíveis cenários de verdade e falsidade.<br><br><i>Fonte: Lógica de Argumentação com Tentativa e Erro</i><hr><b>BIZU:</b> Antes de escolher, traduza as frases.
Qual é o segundo passo em questões com <b>apenas uma verdadeira</b>?;Contar quantas afirmações ficam verdadeiras em cada cenário testado.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> A contagem precisa bater exatamente.
Qual é o terceiro passo em questões com <b>apenas uma verdadeira</b>?;Eliminar todos os cenários em que aparecem zero, duas ou três afirmações verdadeiras.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Se não deu exatamente uma V, descarte.
Qual é a maior pegadinha em questões com <b>apenas uma verdadeira</b>?;Encontrar uma afirmação verdadeira e parar. O correto é verificar se as demais ficam falsas.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Uma verdadeira não basta. As outras precisam cair.
Qual é a maior pegadinha em questões com <b>apenas uma falsa</b>?;Encontrar uma afirmação falsa e parar. O correto é verificar se todas as outras ficam verdadeiras.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Uma falsa não basta. As outras precisam sobreviver.
O que fazer quando uma questão diz que uma pessoa <b>sempre mente</b>?;Inverter o valor lógico daquilo que ela afirma. Se ela disse uma frase, a frase dita deve ser falsa.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Mentirosos entregam frases falsas.
O que fazer quando uma questão diz que uma pessoa <b>sempre fala a verdade</b>?;Tratar todas as afirmações dessa pessoa como verdadeiras.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Verdadeiro fala frase verdadeira.
O que fazer quando não sabemos quem mente e quem fala a verdade?;Testar hipóteses. Assuma que uma pessoa fala a verdade ou mente, derive consequências e veja se aparece contradição.<br><br><i>Fonte: Lógica de Argumentação com Tentativa e Erro</i><hr><b>BIZU:</b> Quando não sabe, teste.
