Frente;Verso
[BLOCO 07][Q1 FGV DEPEN MG 2022] Sobre o certificado de Registro de Arma de Fogo, é correto afirmar que ele tem validade em todo o território nacional e autoriza o proprietário a manter a arma onde? <br>a) Apenas na comarca <br>b) Residência, domicílio, dependências ou local de trabalho se titular ou responsável legal <br>c) Residência própria ou de terceiros autorizados <br>d) Apenas no Estado de expedição <br>e) Local de trabalho com autorização do superior;<b>Gabarito: B.</b><br><br>O certificado de Registro de Arma de Fogo tem validade em <font color="#00e676">todo o território nacional</font> e autoriza manter a arma exclusivamente na residência, domicílio, dependências ou local de trabalho, desde que o proprietário seja titular ou responsável legal pelo estabelecimento ou empresa.<br><br><i>Fonte: Lei nº 10.826/2003, art. 5º</i><hr><b>BIZU:</b> Registro não é porte. Registro = <b>casa</b> ou <b>trabalho próprio</b>. Se aparecer comarca, Estado, casa de terceiro ou superior hierárquico, está errado.
[BLOCO 07][Q2 FGV PC AM Delegado 2022] Morador tinha pistola .380 municiada em casa, circulou armado no jardim e apresentou certificado de registro vencido há dois anos. Provada a manutenção da arma no interior da residência e jardim do imóvel, qual consequência? <br>a) Porte <br>b) Posse <br>c) Porte e posse em concurso material <br>d) Porte e posse em concurso formal <br>e) Apreensão e multa, sem crime;<b>Gabarito: E.</b><br><br>Segundo o STJ, a posse de arma de fogo de uso permitido com registro vencido, no interior da residência, configura <font color="#ffeb3b">mera irregularidade administrativa</font>, autorizando apreensão e multa, mas não crime do art. 12. O entendimento é restrito à posse de arma permitida, não se aplica ao porte em via pública nem ao art. 16.<br><br><i>Fonte: STJ, APn 686-AP e AgRg no AREsp 885.281-ES</i><hr><b>BIZU:</b> Registro vencido salva apenas a <b>posse residencial de arma permitida</b>. Não transforme automaticamente em porte.
[BLOCO 07][Q3 FGV PC AM Delegado 2022] José transportava 25 munições de fuzil no carro e confessou trabalhar para Carlos e Eduardo, que determinaram contratação e destino. O crime de porte de arma ou munição na modalidade transportar admite coautoria ou participação? <br>a) Não admite <br>b) Só instigação <br>c) Só induzimento <br>d) Só participação material <br>e) Admite coautoria ou participação;<b>Gabarito: E.</b><br><br>O crime de porte de arma de fogo, inclusive na modalidade <b>transportar</b>, admite coautoria e participação. Quem determina, organiza, contrata ou colabora conscientemente para o transporte pode responder em concurso de pessoas.<br><br><i>Fonte: STJ, REsp 1.887.992-PR, conforme material</i><hr><b>BIZU:</b> Transporte de arma ou munição não é crime de mão própria. Pode ter mandante, executor e colaborador.
[BLOCO 07][Q4 FGV OAB XXXV 2022] Breno, policial civil, em local deserto e longe de residência, disparou para o alto com arma registrada e porte autorizado. Um número do registro havia se apagado naturalmente pelo desgaste. Denunciado por disparo e porte com numeração suprimida, o pedido técnico correto é: <br>a) Absolver só no porte <br>b) Absorver disparo pelo porte <br>c) Concurso formal <br>d) Absolver ambos;<b>Gabarito: D.</b><br><br>Não há porte com numeração suprimida porque o apagamento foi <font color="#00e676">natural</font>, por desgaste, e a arma era registrada com porte autorizado. Também não há crime de disparo do art. 15, pois o disparo ocorreu em local deserto, longe de residência, fora de lugar habitado, adjacências, via pública ou direção dela.<br><br><i>Fonte: Lei nº 10.826/2003, art. 15 e art. 16, § 1º, IV</i><hr><b>BIZU:</b> Art. 15 exige local típico. Numeração apagada naturalmente não é o mesmo que raspada, suprimida ou adulterada dolosamente.
[BLOCO 07][Q5 FGV Senado 2022] Sobre posse e porte de arma, assinale a correta: <br>a) Particular pede autorização ao Exército para comprar arma permitida <br>b) PM só porta arma da corporação em serviço <br>c) Posse limita-se ao interior da residência <br>d) Omissão de cautela ocorre se qualquer terceiro se apodera e dispara <br>e) Compra por particular exige declaração de efetiva necessidade;<b>Gabarito: E.</b><br><br>Para adquirir arma de fogo de uso permitido, o interessado deve declarar <font color="#00e676">efetiva necessidade</font> e atender aos requisitos do art. 4º. A autorização é do Sinarm, não do Exército para arma permitida. PM pode portar fora de serviço. A posse também pode alcançar local de trabalho próprio. Omissão de cautela envolve menor de 18 anos ou pessoa com deficiência mental, não qualquer terceiro.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 4º, 5º, 6º e 13</i><hr><b>BIZU:</b> Questão de eliminação: efetiva necessidade é palavra-chave da aquisição.
[BLOCO 07][Q6 FGV TRT 13 2022] João, taxista, sem porte, foi parado em blitz com revólver calibre 38 desmuniciado no carro para defesa durante o trabalho. Qual a consequência? <br>a) Fato atípico porque desmuniciado <br>b) Porte ilegal de arma de uso permitido, independentemente de estar desmuniciada <br>c) Só se perícia comprovar eficácia <br>d) Legítima defesa <br>e) Estado de necessidade;<b>Gabarito: B.</b><br><br>O porte ilegal de arma de fogo de uso permitido é crime de <font color="#00e676">perigo abstrato</font>. A arma estar desmuniciada não afasta a tipicidade. Além disso, veículo de taxista não é considerado local de trabalho para fins de posse apenas com registro.<br><br><i>Fonte: Lei nº 10.826/2003, art. 14 e jurisprudência STF/STJ citada no material</i><hr><b>BIZU:</b> Carro não vira casa. Arma desmuniciada não vira fato atípico.
[BLOCO 07][Q7 FGV TRT 13 2022] Matilde recolheu uma munição calibre 38 caída no chão para fazer colar decorativo. Estava sem arma, era primária e tinha uma única munição. Segundo os Tribunais Superiores, qual solução? <br>a) Sempre responde pelo art. 14 <br>b) Atipicidade material excepcional por munição ínfima desacompanhada de arma <br>c) Só responde se perícia provar aptidão da munição <br>d) Exercício regular de direito <br>e) Contravenção penal;<b>Gabarito: B.</b><br><br>STF e STJ admitem excepcionalmente a aplicação da insignificância quando há <font color="#ffeb3b">quantidade ínfima de munição</font>, desacompanhada de arma apta a deflagrá-la, e o caso concreto revela mínima ofensividade, reduzida reprovabilidade e inexpressiva lesão jurídica.<br><br><i>Fonte: STF e STJ, conforme material</i><hr><b>BIZU:</b> Regra: arma e munição são perigo abstrato. Exceção: munição ínfima + sem arma + contexto favorável.
[BLOCO 07][Q8 FGV PM CE 2021 Adaptada] Otávio foi preso por portar arma de fogo de uso restrito, art. 16. Sobre prisão temporária, qual alternativa correta? <br>a) 60 mais 60 dias <br>b) 5 mais 5 por não ser hediondo <br>c) 15 mais 15 por ser hediondo <br>d) Não cabe temporária por não estar no rol do art. 1º, III, da Lei 7.960 e não ser hediondo <br>e) 30 mais 30;<b>Gabarito: D.</b><br><br>Após o Pacote Anticrime, a posse ou porte de arma de fogo de <font color="#ffeb3b">uso restrito</font> não é hedionda. Hedionda é a posse ou porte de arma de fogo de <font color="#ff4444">uso proibido</font>. Além disso, o art. 16 restrito não está no rol taxativo da Lei de Prisão Temporária.<br><br><i>Fonte: Lei nº 8.072/1990 e Lei nº 7.960/1989, conforme material</i><hr><b>BIZU:</b> Restrito não é hediondo. Proibido é. Sem rol da temporária, não invente cabimento.
[BLOCO 07][Q9 FGV PC RN Delegado 2021] Lúcio disparou para o alto em via pública após discussão. Dois dias depois, em busca e apreensão, foi encontrada arma sem registro em sua residência. Comprovados os fatos, ele responde por quê? <br>a) Posse e disparo em continuidade <br>b) Só disparo por consunção <br>c) Posse e disparo em concurso material <br>d) Só posse <br>e) Nenhum delito por exigir perigo concreto;<b>Gabarito: C.</b><br><br>Há concurso material quando posse irregular e disparo de arma de fogo ocorrem em <font color="#ffeb3b">momentos e contextos distintos</font>. Não se aplica consunção automaticamente. O disparo em via pública configura art. 15, e a arma sem registro em casa configura posse irregular, conforme o caso.<br><br><i>Fonte: STJ, entendimento citado no material</i><hr><b>BIZU:</b> Posse descoberta depois e disparo anterior em via pública = contextos diferentes, penas somadas.
[BLOCO 07][Q10 FGV PC RN Delegado 2021] Vanda, funcionária de empresa de segurança, recebeu ordem do chefe Eric para transportar arma a segurança que esqueceu equipamento. Temendo demissão, ela transportou consciente da ilicitude. Qual enquadramento? <br>a) Ambos praticaram transporte ilegal em concurso de pessoas <br>b) Só Eric, Vanda isenta <br>c) Só Vanda <br>d) Eric responde e Vanda sem ilicitude <br>e) Eric responde e Vanda sem culpabilidade por obediência hierárquica;<b>Gabarito: A.</b><br><br>Vanda e Eric respondem pelo crime de porte ilegal de arma de fogo, na modalidade <b>transportar</b>, em concurso de pessoas. Não há obediência hierárquica justificante, pois a ordem era ilícita e Vanda tinha ciência da conduta criminosa. Também não havia ameaça concreta que gerasse inexigibilidade de conduta diversa.<br><br><i>Fonte: Lei nº 10.826/2003, art. 14 e STJ REsp 1.887.992-PR</i><hr><b>BIZU:</b> Medo genérico de demissão não autoriza transportar arma ilegalmente.
