Frente;Verso
O que é <b>média</b> em Estatística?;Média é o valor mais representativo de uma série de dados.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Média tenta resumir o conjunto em um único valor.
Qual é a ideia central da <b>média aritmética simples</b>?;Somar todos os valores e dividir pela quantidade de valores.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Média simples é soma dividida pela quantidade.
Qual é a fórmula da <b>média aritmética simples</b>?;<b>x̄ = soma dos valores / número de valores</b>.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Tudo em cima, quantidade embaixo.
Quando usamos <b>média aritmética simples</b>?;Usamos quando todos os valores têm o mesmo peso ou importância no cálculo.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Pesos iguais, média simples.
O que significa <b>x̄</b> em Estatística?;<b>x̄</b> representa a média aritmética dos valores observados.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> x com barra é o símbolo clássico da média.
Como calcular a média do conjunto <b>2, 2, 2, 2, 3, 4, 4, 4, 5, 5</b>?;Some os valores e divida por 10. A soma é 33. Logo, x̄ = 33 / 10 = 3,3.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Conte quantos dados existem antes de dividir.
Qual é a média das alturas <b>1,98, 2,04, 2,06, 2,02 e 2,05</b>?;<b>2,03 m</b>. A soma é 10,15. Dividindo por 5, temos 2,03.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Com decimais, alinhe as casas para não errar a soma.
Qual é a maior pegadinha em média aritmética simples?;A maior pegadinha é dividir pela quantidade errada de elementos.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Antes de dividir, conte o n.
Por que a média pode não ser um valor presente na série?;Porque a média é um valor de resumo calculado. Ela pode ficar entre valores observados e não necessariamente aparecer no conjunto.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Média representa o grupo, mas não precisa estar no grupo.
O que é a <b>soma total</b> de uma série a partir da média?;É o produto da média pela quantidade de elementos.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Soma total = média × quantidade.
Se um grupo de <b>10 pessoas</b> tem média de idade <b>20</b>, qual é a soma das idades?;<b>200</b>. Soma total = 10 × 20 = 200.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Média vira soma quando multiplica pelo número de pessoas.
Se um grupo de <b>8 pessoas</b> tem média de idade <b>15</b>, qual é a soma das idades?;<b>120</b>. Soma total = 8 × 15 = 120.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Em questões de entrada e saída, comece pela soma.
[QUESTÃO] Em um grupo de 10 pessoas, a média das idades é 20. Se uma pessoa de 31 anos se junta ao grupo, qual será a nova média?;<b>21 anos</b>. Soma inicial = 10 × 20 = 200. Nova soma = 200 + 31 = 231. Novo total = 11 pessoas. Nova média = 231 / 11 = 21.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Entrou alguém, some a idade e aumente o n.
Qual conceito a questão da pessoa de <b>31 anos</b> entrando no grupo testa?;Ela testa atualização da média após entrada de novo elemento no conjunto.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Média nova depende da soma nova e do n novo.
[QUESTÃO] Em um grupo de 8 pessoas, a média das idades é 15. Se entram pessoas de 30 e 20 anos, qual será a nova média?;<b>17 anos</b>. Soma inicial = 8 × 15 = 120. Nova soma = 120 + 30 + 20 = 170. Novo total = 10. Nova média = 170 / 10 = 17.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Entraram duas pessoas, aumente o total em 2.
[QUESTÃO] Em um grupo de 6 pessoas, a média das idades é 17. Se uma pessoa de 24 anos entra, qual será a nova média?;<b>18 anos</b>. Soma inicial = 6 × 17 = 102. Nova soma = 102 + 24 = 126. Novo total = 7. Nova média = 126 / 7 = 18.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Some o novo valor antes de dividir.
Como resolver questões em que alguém <b>entra</b> no grupo?;Calcule a soma antiga, adicione o novo valor, atualize a quantidade de elementos e divida a nova soma pela nova quantidade.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Entra = soma aumenta e n aumenta.
Como resolver questões em que alguém <b>sai</b> do grupo?;Calcule a soma antiga, subtraia o valor retirado, atualize a quantidade de elementos e divida a nova soma pela nova quantidade.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Sai = soma diminui e n diminui.
[QUESTÃO] A média de 28 números é 27. Retirando os números 25, 28 e 30, qual é a nova média?;<b>26,92</b>. Soma inicial = 28 × 27 = 756. Soma retirada = 25 + 28 + 30 = 83. Nova soma = 756 - 83 = 673. Novo total = 25. Nova média = 673 / 25 = 26,92.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Retirou valores, subtraia da soma total.
Qual conceito a questão dos <b>28 números</b> testa?;Ela testa reconstrução da soma total a partir da média e atualização da média após retirada de elementos.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Média antiga × quantidade antiga abre a porta da questão.
[QUESTÃO] Uma sala tinha 50 alunos com média de idade 22,5. Um aluno desistiu e a média caiu para 22 entre 49 alunos. Qual era a idade do aluno que saiu?;<b>47 anos</b>. Soma inicial = 50 × 22,5 = 1125. Soma nova = 49 × 22 = 1078. Idade retirada = 1125 - 1078 = 47.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Para descobrir quem saiu, compare as somas antes e depois.
Qual conceito a questão do aluno que <b>desistiu</b> testa?;Ela testa diferença entre soma inicial e soma final para descobrir o valor removido do conjunto.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Saiu alguém desconhecido, calcule as duas somas.
[QUESTÃO] A média de n números é 29. Retirando o número 12, a média aumenta para 30. Qual é o valor de n?;<b>18</b>. A soma inicial é 29n. Depois da retirada, a soma é 29n - 12 e a quantidade é n - 1. Então 29n - 12 = 30(n - 1). Resolvendo, n = 18.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Quando n é incógnita, monte a equação pela soma.
Por que retirar um número <b>menor que a média</b> pode aumentar a média?;Porque o valor retirado puxava a média para baixo. Ao removê-lo, o conjunto restante fica relativamente maior.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Tirou peso baixo, a média sobe.
Por que retirar um número <b>maior que a média</b> pode diminuir a média?;Porque o valor retirado puxava a média para cima. Ao removê-lo, o conjunto restante fica relativamente menor.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Tirou peso alto, a média cai.
O que é <b>média aritmética ponderada</b>?;É a média em que cada valor tem um peso associado. O cálculo considera a importância relativa de cada valor.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Ponderada é média com pesos.
Quando usamos <b>média ponderada</b>?;Usamos quando os valores têm importâncias diferentes, como notas com pesos, provas com pesos ou grupos com quantidades diferentes de pessoas.<br><br><i>Fonte: Medidas de Posição – Média Aritmética</i><hr><b>BIZU:</b> Pesos diferentes, média ponderada.
