Frente;Verso
[QUESTÃO] O que é uma proposição em lógica?;É uma sentença declarativa que pode ser classificada somente como verdadeira ou somente como falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Proposição aceita carimbo V ou F.
[QUESTÃO] A frase <b>Faça a prova com calma!</b> é proposição?;<b>Não</b>. É uma frase imperativa, ou seja, uma ordem ou pedido, sem valor lógico verdadeiro ou falso.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Ordem não é proposição.
[QUESTÃO] A frase <b>Música clássica não prejudica a concentração</b> é proposição?;<b>Sim</b>. É uma sentença declarativa que pode ser julgada como verdadeira ou falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Frase declarativa completa costuma ser proposição.
[QUESTÃO] A frase <b>X + 2 = 0</b> é proposição?;<b>Não</b>. É uma sentença aberta, pois depende do valor de X.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Variável solta impede V ou F.
[QUESTÃO] Qual é o conectivo lógico de <b>Maria e Paulo são técnicos eletricistas</b>?;<b>Conjunção</b>, representada por ∧.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> E é conjunção.
[QUESTÃO] Qual é o conectivo lógico de <b>Maria não recebe auxílio moradia</b>?;<b>Negação</b>, representada por ¬ ou ~.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Não é negação.
[QUESTÃO] Qual é o conectivo lógico de <b>Se Paula é técnico eletricista, então trabalha no plantão de emergência</b>?;<b>Condicional</b>, representado por →.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Se então é seta.
[QUESTÃO] Qual é o conectivo lógico de <b>Paulo ou Maria estão de férias</b>?;<b>Disjunção</b>, normalmente inclusiva, representada por ∨.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Ou simples geralmente é inclusivo.
[QUESTÃO] Na frase <b>Marcia é uma atleta dedicada, mas nunca chega em primeiro lugar</b>, qual é o conectivo lógico?;<b>Conjunção</b>. Em lógica, “mas” funciona como “e”.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Mas tem valor lógico de E.
[QUESTÃO] Se P, Q, R e S são proposições simples, quantas linhas tem a tabela-verdade de <b>(P ∨ Q) ↔ (¬R ∨ S)</b>?;<b>16 linhas</b>. Há quatro proposições simples diferentes, então 2⁴ = 16.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Conte letras diferentes, não conectivos.
[QUESTÃO] Se uma fórmula tem 3 proposições simples diferentes, quantas linhas terá sua tabela-verdade?;<b>8 linhas</b>. A fórmula é 2ⁿ, então 2³ = 8.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Três letras geram oito cenários.
[QUESTÃO] O que é uma tautologia?;É uma proposição composta cuja tabela-verdade apresenta apenas valorações verdadeiras.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Tautologia é sempre V.
[QUESTÃO] O que é uma contradição?;É uma proposição composta cuja tabela-verdade apresenta apenas valorações falsas.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Contradição é sempre F.
