Frente;Verso
Qual é o fundamento constitucional da <b>interceptação telefônica</b>?;<b>Art. 5º, XII, da Constituição Federal.</b> A regra é a inviolabilidade das comunicações, mas a comunicação telefônica pode ser afastada por ordem judicial, nas hipóteses e forma da lei, para investigação criminal ou instrução processual penal.<br><br><i>Fonte: CF, art. 5º, XII</i><hr><b>BIZU:</b> Interceptação telefônica só entra por <font color="#00e676">ordem judicial</font> e para finalidade penal.
Qual é a regra constitucional sobre o sigilo das comunicações?;A regra é a <b>inviolabilidade</b> do sigilo da correspondência, das comunicações telegráficas, de dados e das comunicações telefônicas.<br><br><i>Fonte: CF, art. 5º, XII</i><hr><b>BIZU:</b> A regra é sigilo. A interceptação é exceção.
A Constituição admite interceptação telefônica para qualquer finalidade?;<font color="#ff4444"><b>Não.</b></font> A Constituição admite interceptação telefônica apenas para fins de <b>investigação criminal</b> ou <b>instrução processual penal</b>.<br><br><i>Fonte: CF, art. 5º, XII</i><hr><b>BIZU:</b> Não serve para curiosidade, processo civil puro ou procedimento administrativo isolado.
A interceptação telefônica pode ser usada diretamente para investigação administrativa disciplinar?;<font color="#ff4444"><b>Não como finalidade originária.</b></font> A interceptação deve ser autorizada para investigação criminal ou instrução processual penal. Depois, se lícita, pode ser usada como prova emprestada em outras esferas, conforme jurisprudência.<br><br><i>Fonte: CF, art. 5º, XII, Lei nº 9.296/96, art. 1º, jurisprudência citada no PDF</i><hr><b>BIZU:</b> Origem penal. Uso posterior pode ser emprestado.
Qual é a finalidade da Lei nº 9.296/96?;Regulamentar as hipóteses e a forma de autorização da interceptação de comunicações telefônicas para prova em investigação criminal e instrução processual penal.<br><br><i>Fonte: Lei nº 9.296/96, art. 1º</i><hr><b>BIZU:</b> A lei não libera grampo. Ela cria limites para o grampo lícito.
A Lei nº 9.296/96 protege qual direito fundamental?;Protege principalmente a <b>intimidade</b> e a <b>vida privada</b>, evitando ações investigativas abusivas do Estado.<br><br><i>Fonte: Introdução da Lei nº 9.296/96 no PDF</i><hr><b>BIZU:</b> Interceptação é exceção porque invade a esfera privada.
O que é <b>interceptação telefônica</b> em sentido básico?;É a captação de comunicação telefônica alheia por terceiro, em regra sem o conhecimento dos comunicadores, mediante autorização judicial nos termos da lei.<br><br><i>Fonte: Lei nº 9.296/96, art. 1º, conceitos do PDF</i><hr><b>BIZU:</b> Terceiro escuta conversa alheia. Por isso precisa de juiz.
A interceptação telefônica depende de autorização de qual autoridade?;Depende de <b>ordem do juiz competente da ação principal</b>.<br><br><i>Fonte: Lei nº 9.296/96, art. 1º</i><hr><b>BIZU:</b> Não é qualquer juiz. É o juiz competente da ação principal.
A interceptação telefônica tramita sob publicidade ampla?;<font color="#ff4444"><b>Não.</b></font> A interceptação tramita sob <b>segredo de justiça</b>.<br><br><i>Fonte: Lei nº 9.296/96, art. 1º</i><hr><b>BIZU:</b> Sem sigilo, a diligência morre antes de nascer.
A interceptação telefônica pode ser determinada por CPI diretamente?;<font color="#ff4444"><b>Não.</b></font> Como a Constituição exige ordem judicial, CPI não pode determinar diretamente interceptação telefônica.<br><br><i>Fonte: CF, art. 5º, XII, Lei nº 9.296/96, art. 1º</i><hr><b>BIZU:</b> CPI tem poderes de investigação, mas não substitui juiz quando a Constituição exige ordem judicial.
A interceptação telefônica pode ser autorizada por juiz incompetente?;<font color="#ff4444"><b>Não.</b></font> A lei exige ordem do juiz competente da ação principal.<br><br><i>Fonte: Lei nº 9.296/96, art. 1º</i><hr><b>BIZU:</b> Juiz certo é requisito de validade.
O que significa dizer que a interceptação ocorre para prova em investigação criminal?;Significa que a medida pode ser usada durante a fase investigatória, antes da ação penal, para colher elementos relacionados à infração penal investigada.<br><br><i>Fonte: Lei nº 9.296/96, art. 1º</i><hr><b>BIZU:</b> Investigação criminal é fase pré-processual.
