Frente;Verso
[BLOCO 03] Qual é o tema central das <b>Disposições Gerais</b> do Estatuto do Desarmamento?;As disposições gerais tratam de regras administrativas sobre <font color="#00e676">classificação de armas</font>, <font color="#00e676">fabricação</font>, <font color="#00e676">comércio</font>, <font color="#00e676">fiscalização</font>, <font color="#00e676">réplicas e simulacros</font>, entrega de armas e Banco Nacional de Perfis Balísticos.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 23 a 34-A</i><hr><b>BIZU:</b> Disposições gerais = administração, controle e rastreio.
Quem disciplina a classificação legal, técnica e geral das armas de fogo e produtos controlados?;A classificação legal, técnica e geral das armas de fogo e demais produtos controlados será disciplinada por ato do <font color="#00e676">chefe do Poder Executivo Federal</font>, mediante proposta do <font color="#00e676">Comando do Exército</font>.<br><br><i>Fonte: Lei nº 10.826/2003, art. 23, caput</i><hr><b>BIZU:</b> Presidente edita, Exército propõe.
A proposta para classificação de armas deve vir de quem?;A proposta deve vir do <font color="#00e676">Comando do Exército</font>.<br><br><i>Fonte: Lei nº 10.826/2003, art. 23, caput</i><hr><b>BIZU:</b> A banca pode trocar por “comandante”. Grave: é <b>Comando do Exército</b>.
O Presidente da República pode regulamentar classificação de armas sem proposta do Comando do Exército?;Pelo texto do art. 23, a classificação deve ser feita mediante proposta do Comando do Exército. A ausência desse requisito pode gerar vício formal, conforme alerta do material.<br><br><i>Fonte: Lei nº 10.826/2003, art. 23, caput</i><hr><b>BIZU:</b> Classificação de arma tem fórmula: <b>Presidente + proposta do Exército</b>.
Quais categorias de armas e produtos controlados são mencionadas no art. 23?;O art. 23 menciona armas e produtos controlados de uso <font color="#ff4444">proibido</font>, <font color="#ffeb3b">restrito</font>, <font color="#00e676">permitido</font>, obsoleto ou de valor histórico.<br><br><i>Fonte: Lei nº 10.826/2003, art. 23, caput</i><hr><b>BIZU:</b> A classificação não é só permitido, restrito e proibido. Também pode envolver obsoleto e valor histórico.
Como devem estar acondicionadas as munições comercializadas no Brasil?;Todas as munições comercializadas no Brasil devem estar acondicionadas em embalagens com sistema de <font color="#ffeb3b">código de barras</font> gravado na caixa, para identificação do fabricante e do adquirente, entre outras informações.<br><br><i>Fonte: Lei nº 10.826/2003, art. 23, § 1º</i><hr><b>BIZU:</b> Munição também precisa deixar rastro.
Qual é a finalidade do código de barras nas embalagens de munição?;A finalidade é permitir a identificação do fabricante, do adquirente e de outras informações definidas pelo regulamento.<br><br><i>Fonte: Lei nº 10.826/2003, art. 23, § 1º</i><hr><b>BIZU:</b> Código de barras = rastreabilidade da munição.
Para os órgãos do art. 6º, como devem ser expedidas as autorizações de compra de munição?;Para os órgãos referidos no art. 6º, as autorizações de compra de munição somente serão expedidas com identificação do lote e do adquirente no <font color="#ffeb3b">culote dos projéteis</font>, conforme regulamento.<br><br><i>Fonte: Lei nº 10.826/2003, art. 23, § 2º</i><hr><b>BIZU:</b> Art. 6º compra munição com marcação reforçada: lote e adquirente.
O que é importante memorizar sobre o <b>culote dos projéteis</b>?;Para órgãos do art. 6º, deve haver identificação do lote e do adquirente no culote dos projéteis, conforme o regulamento.<br><br><i>Fonte: Lei nº 10.826/2003, art. 23, § 2º</i><hr><b>BIZU:</b> Culote = base do cartucho, onde a munição ganha identificação.
As armas fabricadas após a publicação do Estatuto devem ter dispositivo de segurança e identificação?;<b>Sim.</b> As armas fabricadas a partir de <font color="#ffeb3b">1 ano</font> da data de publicação da lei devem conter dispositivo intrínseco de segurança e identificação, gravado no corpo da arma, conforme regulamento.<br><br><i>Fonte: Lei nº 10.826/2003, art. 23, § 3º</i><hr><b>BIZU:</b> 1 ano depois da lei, arma nova precisa nascer identificável.
