Frente;Verso
O que a Constituição diz sobre a criação de <b>Guardas Municipais</b>?;Os Municípios poderão constituir <b>Guardas Municipais</b> destinadas à proteção de seus <b>bens</b>, <b>serviços</b> e <b>instalações</b>, conforme dispuser a lei.<br><br><i>Fonte: Art. 144, § 8º, CF/88</i><hr><b>BIZU:</b> Guarda Municipal = <font color="#ffeb3b">BSI</font>: bens, serviços e instalações.
A criação de Guarda Municipal é obrigatória para todos os Municípios?;<b>Não</b>. A Constituição diz que os Municípios <b>poderão</b> constituir guardas municipais, conforme dispuser a lei.<br><br><i>Fonte: Art. 144, § 8º, CF/88</i><hr><b>BIZU:</b> “Poderão” indica faculdade, não obrigação.
Qual é a destinação constitucional básica das Guardas Municipais?;A destinação básica é a proteção dos <b>bens</b>, <b>serviços</b> e <b>instalações</b> do Município.<br><br><i>Fonte: Art. 144, § 8º, CF/88</i><hr><b>BIZU:</b> Repita: Guarda Municipal protege BSI.
Segundo Uadi Lammego Bulos, qual é a natureza da Guarda Municipal?;Segundo Uadi Lammego Bulos, a Guarda Municipal é uma espécie de <b>polícia administrativa</b>, voltada à proteção do patrimônio municipal contra depredações.<br><br><i>Fonte: Doutrina de Uadi Lammego Bulos, conforme material</i><hr><b>BIZU:</b> Guarda Municipal é preventiva e patrimonial, por isso conversa com polícia administrativa.
As Guardas Municipais estão listadas nos incisos I a VI do art. 144?;<b>Não</b>. Elas aparecem no <b>art. 144, § 8º</b>, mas não integram o rol dos incisos I a VI.<br><br><i>Fonte: Art. 144, § 8º, CF/88</i><hr><b>BIZU:</b> Guarda Municipal está no art. 144, mas não no Fe-Ro-Fe-Ci-Mi-Pe dos incisos.
Qual é a controvérsia sobre as Guardas Municipais?;A controvérsia é saber se elas devem ou não ser consideradas órgãos de segurança pública do Estado brasileiro, já que não estão nos incisos I a VI do art. 144, mas exercem funções relacionadas à segurança urbana.<br><br><i>Fonte: Art. 144, § 8º, CF/88 e jurisprudência do STF</i><hr><b>BIZU:</b> Formalmente fora dos incisos, materialmente cada vez mais próximas da segurança pública.
Sob ponto de vista estritamente formal, as Guardas Municipais integram os órgãos de segurança pública dos incisos do art. 144?;<b>Não</b>. Sob visão formal estrita, não integram os órgãos dos incisos I a VI, pois estão previstas apenas no § 8º do art. 144.<br><br><i>Fonte: Art. 144, § 8º, CF/88</i><hr><b>BIZU:</b> Formalismo puro: não está nos incisos, então não entra no rol clássico.
No RE 846.854, o STF reconheceu qual aspecto das Guardas Municipais?;No RE 846.854, o STF reconheceu que as Guardas Municipais exercem atividade de <b>segurança pública</b> e, por isso, não têm direito de greve.<br><br><i>Fonte: STF, RE 846.854</i><hr><b>BIZU:</b> Guarda Municipal também pode cair na vedação de greve ligada à segurança pública.
As Guardas Municipais têm direito de greve segundo o entendimento citado no material?;<b>Não</b>. O STF reconheceu que exercem atividade de segurança pública e, portanto, não têm direito de greve.<br><br><i>Fonte: STF, RE 846.854</i><hr><b>BIZU:</b> Segurança pública direta acende alerta: greve vedada.
No ARE 1.215.727, o STF reconheceu aposentadoria especial por atividade de risco às Guardas Municipais?;<b>Não</b>. O STF afirmou que as Guardas Municipais não têm direito à aposentadoria especial por atividade de risco, ocasião em que se afirmou que não integram o conjunto dos órgãos de segurança pública.<br><br><i>Fonte: STF, ARE 1.215.727</i><hr><b>BIZU:</b> STF já oscilou: para greve aproximou da segurança pública, para aposentadoria especial afastou.
Qual é a aparente divergência do STF sobre Guardas Municipais?;Em alguns julgados, o STF reconheceu atividade de segurança pública às Guardas Municipais, como no tema da greve. Em outro, negou aposentadoria especial por atividade de risco, afirmando que elas não integram o conjunto dos órgãos de segurança pública.<br><br><i>Fonte: STF, RE 846.854 e ARE 1.215.727</i><hr><b>BIZU:</b> Tema delicado: observe qual direito está sendo discutido.
O que decidiu o STF na ADPF 995 sobre as Guardas Municipais?;Na ADPF 995, o STF consignou que as Guardas Municipais são órgãos de segurança pública, integrantes do <b>Sistema Único de Segurança Pública</b>, o SUSP.<br><br><i>Fonte: STF, ADPF 995</i><hr><b>BIZU:</b> Decisão recente fortalece a posição das Guardas como segurança pública no SUSP.
As Guardas Municipais integram o SUSP segundo decisão recente do STF?;<b>Sim</b>. Segundo a ADPF 995, as Guardas Municipais integram o Sistema Único de Segurança Pública.<br><br><i>Fonte: STF, ADPF 995</i><hr><b>BIZU:</b> Guarda Municipal + SUSP = segurança urbana integrada.
As Guardas Municipais podem exercer poder de polícia de trânsito?;<b>Sim</b>. Segundo o STF, as Guardas Municipais podem exercer poder de polícia de trânsito, inclusive aplicando sanções administrativas, como multas.<br><br><i>Fonte: STF, RE 658.570/MG</i><hr><b>BIZU:</b> Guarda Municipal pode multar no trânsito, conforme entendimento do STF.
O STF admite que Guardas Municipais apliquem multas de trânsito?;<b>Sim</b>. O STF admitiu que Guardas Municipais podem exercer poder de polícia de trânsito e aplicar sanções administrativas aos infratores.<br><br><i>Fonte: STF, RE 658.570/MG</i><hr><b>BIZU:</b> Multa de trânsito pela Guarda Municipal é constitucional segundo o STF.
Municípios podem impor regras de asseio pessoal aos agentes da Guarda Municipal?;<b>Sim</b>. O STF admitiu que os Municípios podem estipular regras razoáveis de asseio pessoal aos guardas municipais, como exigir barba feita.<br><br><i>Fonte: STF, RE 1.298.758 AgR</i><hr><b>BIZU:</b> Regra de aparência razoável pode ser válida para a Guarda Municipal.
Exigir barba feita de Guarda Municipal viola princípios fundamentais segundo o STF?;<b>Não</b>. O STF entendeu que essa exigência pode ser razoável e não atenta contra princípios fundamentais.<br><br><i>Fonte: STF, RE 1.298.758 AgR</i><hr><b>BIZU:</b> Asseio pessoal razoável não é automaticamente violação de direito fundamental.
Segundo o Tema 656 do STF, Guardas Municipais podem exercer ações de segurança urbana?;<b>Sim</b>. O STF considerou constitucional o exercício de ações de segurança urbana pelas Guardas Municipais, inclusive policiamento ostensivo e comunitário, respeitadas as atribuições dos demais órgãos do art. 144.<br><br><i>Fonte: STF, RE 608.588, Tema 656</i><hr><b>BIZU:</b> Guarda Municipal pode atuar na segurança urbana, mas sem invadir polícia judiciária.
Segundo o Tema 656, Guardas Municipais podem realizar policiamento ostensivo e comunitário?;<b>Sim</b>. O STF admitiu policiamento ostensivo e comunitário pelas Guardas Municipais, desde que respeitadas as atribuições dos demais órgãos de segurança pública.<br><br><i>Fonte: STF, RE 608.588, Tema 656</i><hr><b>BIZU:</b> Ostensivo e comunitário sim, investigação criminal não.
