Frente;Verso
O que é uma <b>expressão numérica</b>?;É uma sequência de números e operações que deve ser resolvida seguindo uma ordem correta.<br><br><i>Fonte: Aula Bônus 13 — Expressões Numéricas</i><hr><b>BIZU:</b> Expressão numérica é uma fila de contas. Quem decide a ordem não é a vontade do aluno, é a prioridade das operações.
Qual é a ordem correta dos <b>sinais de agrupamento</b> em expressões numéricas?;A ordem é:<br>1. Parênteses<br>2. Colchetes<br>3. Chaves<br><br><i>Fonte: Aula Bônus 13 — Expressões Numéricas</i><hr><b>BIZU:</b> Pense de dentro para fora: primeiro parênteses, depois colchetes, depois chaves.
Em uma expressão com parênteses, colchetes e chaves, por onde começar?;Comece pelos parênteses, depois resolva os colchetes e por fim as chaves.<br><br><i>Fonte: Aula Bônus 13 — Ordem de realização das contas</i><hr><b>BIZU:</b> A expressão é uma cebola matemática. Tire camada por camada, começando de dentro.
Qual é a ordem correta das <b>operações</b> em expressões numéricas?;A ordem é:<br>1. Potenciação<br>2. Divisão e multiplicação<br>3. Soma e subtração<br><br><i>Fonte: Aula Bônus 13 — Ordem de realização das operações</i><hr><b>BIZU:</b> Potência manda primeiro. Depois divisão e multiplicação. Por último soma e subtração.
Divisão vem sempre antes da multiplicação?;<b>Não.</b> Divisão e multiplicação têm a mesma prioridade. Quando aparecem juntas, resolva da esquerda para a direita.<br><br><i>Fonte: Aula Bônus 13 — Expressões Numéricas</i><hr><b>BIZU:</b> Mesma prioridade, siga o fluxo da leitura, da esquerda para a direita.
Multiplicação vem sempre antes da divisão?;<b>Não.</b> Multiplicação e divisão têm a mesma prioridade. Resolva primeiro a que aparecer antes, da esquerda para a direita.<br><br><i>Fonte: Aula Bônus 13 — Expressões Numéricas</i><hr><b>BIZU:</b> Não existe favoritismo entre multiplicação e divisão.
Soma vem sempre antes da subtração?;<b>Não.</b> Soma e subtração têm a mesma prioridade. Quando aparecem juntas, resolva da esquerda para a direita.<br><br><i>Fonte: Aula Bônus 13 — Ordem das operações</i><hr><b>BIZU:</b> Soma e subtração são do mesmo nível. A ordem é leitura.
Qual operação tem prioridade mais alta entre potência, multiplicação e soma?;A potenciação tem prioridade mais alta.<br><br><i>Fonte: Aula Bônus 13 — Ordem das operações</i><hr><b>BIZU:</b> Potência é VIP na expressão numérica.
Qual é a regra de sinal para <b>positivo × positivo</b>?;Positivo vezes positivo dá positivo.<br><br><font color="#00e676">+ × + = +</font><br><br><i>Fonte: Aula Bônus 13 — Regra do sinal</i><hr><b>BIZU:</b> Sinais iguais geram resultado positivo.
Qual é a regra de sinal para <b>positivo × negativo</b>?;Positivo vezes negativo dá negativo.<br><br><font color="#ff4444">+ × - = -</font><br><br><i>Fonte: Aula Bônus 13 — Regra do sinal</i><hr><b>BIZU:</b> Sinais diferentes geram resultado negativo.
Qual é a regra de sinal para <b>negativo × positivo</b>?;Negativo vezes positivo dá negativo.<br><br><font color="#ff4444">- × + = -</font><br><br><i>Fonte: Aula Bônus 13 — Regra do sinal</i><hr><b>BIZU:</b> Diferente com diferente, resultado negativo.
Qual é a regra de sinal para <b>negativo × negativo</b>?;Negativo vezes negativo dá positivo.<br><br><font color="#00e676">- × - = +</font><br><br><i>Fonte: Aula Bônus 13 — Regra do sinal</i><hr><b>BIZU:</b> Dois negativos se anulam no sinal.
A regra de sinais vale diretamente para quais operações?;Vale diretamente para multiplicação e divisão.<br><br><i>Fonte: Aula Bônus 13 — Regra do sinal</i><hr><b>BIZU:</b> Na soma e subtração, pense em saldo. Na multiplicação e divisão, pense em regra de sinais.
Qual é o valor de <b>6 ÷ 2 . 3</b>?;O valor é <b>9</b>.<br><br>Como divisão e multiplicação têm a mesma prioridade, resolvemos da esquerda para a direita:<br>6 ÷ 2 = 3<br>3 . 3 = 9<br><br><i>Fonte: Aula Bônus 13 — Cuidado, expressão 6 ÷ 2 . 3</i><hr><b>BIZU:</b> A pegadinha é achar que multiplicação vem antes da divisão. Não vem. Mesma prioridade, esquerda para direita.
Por que a expressão <b>6 ÷ 2 . 3</b> não vale 1?;Porque não se resolve primeiro 2 . 3. Divisão e multiplicação têm a mesma prioridade, então a expressão deve ser resolvida da esquerda para a direita.<br><br><i>Fonte: Aula Bônus 13 — Cuidado, expressão 6 ÷ 2 . 3</i><hr><b>BIZU:</b> Só haveria prioridade para 2 . 3 se houvesse parênteses: 6 ÷ (2 . 3).
Qual seria o valor de <b>6 ÷ (2 . 3)</b>?;O valor seria 1, porque o parêntese obriga resolver 2 . 3 primeiro.<br><br><i>Fonte: Ponte a partir da pegadinha 6 ÷ 2 . 3</i><hr><b>BIZU:</b> Parênteses mudam o jogo.
Qual é a diferença entre <b>6 ÷ 2 . 3</b> e <b>6 ÷ (2 . 3)</b>?;Na primeira, divisão e multiplicação têm mesma prioridade e resolvemos da esquerda para a direita, resultado 9.<br>Na segunda, o parêntese força 2 . 3 primeiro, resultado 1.<br><br><i>Fonte: Aula Bônus 13 — Expressões Numéricas</i><hr><b>BIZU:</b> Sem parênteses, esquerda para direita. Com parênteses, obedeça o agrupamento.
Na expressão <b>4 - 6 . 4 + 45 ÷ 5 - 5</b>, qual operação deve ser feita antes da soma e subtração?;Devem ser feitas primeiro a multiplicação 6 . 4 e a divisão 45 ÷ 5.<br><br><i>Fonte: Aula Bônus 13 — Exercício de fixação, item c</i><hr><b>BIZU:</b> Antes de somar e subtrair, limpe multiplicações e divisões.
Quanto vale <b>4 - 6 . 4 + 45 ÷ 5 - 5</b>?;Vale <b>-16</b>.<br><br>6 . 4 = 24<br>45 ÷ 5 = 9<br>4 - 24 + 9 - 5 = -16<br><br><i>Fonte: Aula Bônus 13 — Exercício de fixação, item c</i><hr><b>BIZU:</b> O erro clássico seria fazer 4 - 6 primeiro. Não faça isso.
Qual é a estratégia para expressão com frações, multiplicação, divisão, soma e subtração?;Primeiro resolva multiplicações e divisões entre frações. Depois resolva somas e subtrações com denominadores ajustados.<br><br><i>Fonte: Aula Bônus 13 — Exercícios de fixação com frações</i><hr><b>BIZU:</b> Fração não muda a ordem da expressão. A ordem continua mandando.
Quanto vale <b>3/2 . 1/4 - 3/8 + 4/10 ÷ 8/5 + 1/4</b>?;Vale <b>1/2</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item a</i><hr><b>BIZU:</b> Multiplicação e divisão de frações vêm antes das somas e subtrações.
Quanto vale <b>3/5 . -5/8 + 1/4</b>?;Vale <b>-1/8</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item b</i><hr><b>BIZU:</b> Primeiro multiplique 3/5 por -5/8. Depois some 1/4.
Qual erro a expressão <b>3/5 . -5/8 + 1/4</b> tenta provocar?;Ela tenta fazer o aluno somar -5/8 com 1/4 antes da multiplicação. O correto é multiplicar primeiro.<br><br><i>Fonte: Aula Bônus 13 — Exercício de fixação, item b</i><hr><b>BIZU:</b> Sinal negativo não muda prioridade. Multiplicação continua vindo antes.
Quanto vale <b>1/0,2 + 0,4/2</b>?;Vale <b>26/5</b>, que é 5,2.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item e</i><hr><b>BIZU:</b> Decimais dentro da expressão devem ser tratados com calma. 1 ÷ 0,2 = 5.
Qual é a ponte entre <b>decimais</b> e expressões numéricas?;Expressões podem misturar decimais com frações e operações. Por isso, dominar conversão e divisão decimal evita erro no meio da conta.<br><br><i>Fonte: Aula Bônus 13 — Exercícios com decimais</i><hr><b>BIZU:</b> Decimal dentro da expressão é só mais uma peça, mas pode derrubar a conta se a vírgula for maltratada.
Quanto vale <b>4 - 5/2 . 3 + 1/3</b>?;Vale <b>5</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item f</i><hr><b>BIZU:</b> Primeiro resolva 5/2 . 3. Só depois faça soma e subtração.
Quanto vale <b>1 + 1 + 1/2 - 2 - 1 + 1/2</b>?;Vale <b>2</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item g</i><hr><b>BIZU:</b> Quando só há soma e subtração, siga da esquerda para a direita ou agrupe positivos e negativos.
Quanto vale <b>4/3 + 7/15 . 7/5 + 4/15</b>?;Vale <b>3</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item h</i><hr><b>BIZU:</b> A multiplicação 7/15 . 7/5 vem antes das somas.
Quanto vale <b>(1 - 1/2) ÷ (1 + 1/2)</b>?;Vale <b>1/3</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item i</i><hr><b>BIZU:</b> Resolva numerador e denominador separadamente antes de dividir.
Qual é a estratégia para fração grande com expressão no numerador e denominador?;Resolva primeiro o numerador, depois o denominador e só no final divida os resultados.<br><br><i>Fonte: Aula Bônus 13 — Exercícios com frações complexas</i><hr><b>BIZU:</b> Fração grande é dois mundos: mundo de cima e mundo de baixo.
Quanto vale o item <b>j</b> do material, com fração composta envolvendo 5/2, 3/2 . 4/6 e (1 - 1/2)/(1 + 1/2)?;Vale <b>11/6</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item j</i><hr><b>BIZU:</b> Em fração composta, ataque por blocos. Não tente resolver tudo ao mesmo tempo.
Quanto vale o item <b>k</b> do material?;Vale <b>29</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item k</i><hr><b>BIZU:</b> Quando aparecer potência, ela entra antes das multiplicações e subtrações.
Qual é a primeira coisa a fazer em uma expressão com <b>chaves, colchetes e parênteses</b>?;Resolver o que estiver dentro dos parênteses mais internos.<br><br><i>Fonte: Aula Bônus 13 — Exercício de fixação, item l</i><hr><b>BIZU:</b> Não tente abrir tudo de uma vez. Resolva o miolo.
Quanto vale o item <b>l</b>, expressão com chaves, colchetes e parênteses?;Vale <b>100</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item l</i><hr><b>BIZU:</b> Esse tipo de questão treina disciplina. Parênteses, colchetes, chaves.
Quanto vale o item <b>m</b> do material?;Vale <b>4259/48</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item m</i><hr><b>BIZU:</b> Resultado feio não significa erro. Em prova, mantenha fração simplificada quando o material pedir.
Quanto vale o item <b>n</b> do material, com vários produtos envolvendo números negativos?;Vale <b>-414</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item n</i><hr><b>BIZU:</b> Expressão com negativos testa regra de sinal e ordem das operações ao mesmo tempo.
Qual é o maior risco no item <b>n</b>, com produtos negativos?;Errar a regra de sinal nos produtos antes de fazer as somas e subtrações.<br><br><i>Fonte: Aula Bônus 13 — Exercício de fixação, item n</i><hr><b>BIZU:</b> Primeiro sinal, depois valor. Sinal errado estraga tudo.
Quanto vale <b>1/2 . 1/3 + 4/6</b>?;Vale <b>5/6</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item o</i><hr><b>BIZU:</b> Primeiro 1/2 . 1/3 = 1/6. Depois 1/6 + 4/6 = 5/6.
Quanto vale o item <b>p</b> do material?;Vale <b>1/4</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item p</i><hr><b>BIZU:</b> Atenção à forma escrita. Potência e fração mudam o valor se forem interpretadas fora da ordem.
Quanto vale <b>1/5 + 4/9 ÷ 1/2 . 2/4 - 1/9</b>?;Vale <b>17/5</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item q</i><hr><b>BIZU:</b> Divisão e multiplicação aparecem juntas. Resolva da esquerda para a direita.
Qual é a armadilha do item <b>q</b>, com divisão e multiplicação de frações?;Achar que deve multiplicar 1/2 por 2/4 antes da divisão. Como divisão e multiplicação têm mesma prioridade, siga da esquerda para a direita.<br><br><i>Fonte: Aula Bônus 13 — Exercício de fixação, item q</i><hr><b>BIZU:</b> Mesma prioridade, leitura manda.
Quanto vale <b>2/5 . 5/3 ÷ 2/3</b>?;Vale <b>1</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item r</i><hr><b>BIZU:</b> Multiplicação e divisão de frações exigem simplificação e inverso na divisão.
Quanto vale <b>4 - 4/5 ÷ 9 + 1/3</b>?;Vale <b>12/35</b>.<br><br><i>Fonte: Aula Bônus 13 — Gabarito, item s</i><hr><b>BIZU:</b> Primeiro resolva 4/5 ÷ 9. Depois faça soma e subtração.
Na questão da <b>fração equivalente</b> do material, qual é o gabarito?;O gabarito é a alternativa <b>C</b>.<br><br><i>Fonte: Aula Bônus 13 — Questão 2, fração equivalente</i><hr><b>BIZU:</b> Fração equivalente pede simplificação, não chute pelo formato.
Na questão com <b>16 - 0,75</b>, fração, decimal pequeno e <b>4,333...</b>, qual é o gabarito?;O gabarito é a alternativa <b>D</b>, valor aproximado 0,085.<br><br><i>Fonte: Aula Bônus 13 — Questão 3</i><hr><b>BIZU:</b> Essa questão mistura decimal, fração e dízima periódica. É revisão transversal do Bloco 01.
Qual é a ponte entre <b>expressões numéricas</b> e <b>frações</b>?;Muitas expressões exigem multiplicar, dividir, somar e subtrair frações respeitando a prioridade das operações.<br><br><i>Fonte: Aula Bônus 13 — Exercícios de fixação</i><hr><b>BIZU:</b> Fração dentro de expressão continua obedecendo à hierarquia.
Qual é a ponte entre <b>expressões numéricas</b> e <b>potenciação</b>?;Potenciação tem prioridade sobre divisão, multiplicação, soma e subtração nas expressões numéricas.<br><br><i>Fonte: Aula Bônus 13 — Ordem das operações</i><hr><b>BIZU:</b> Potência primeiro, salvo se algum agrupamento mandar outra coisa.
Qual é a ponte entre <b>expressões numéricas</b> e <b>dízima periódica</b>?;Uma expressão pode trazer dízima periódica como parcela. Nesses casos, transformar a dízima em fração pode facilitar a conta.<br><br><i>Fonte: Aula Bônus 13 — Questão 3</i><hr><b>BIZU:</b> Dízima periódica é fração escondida dentro da expressão.
Qual é o checklist mental antes de resolver uma expressão numérica?;Pergunte:<br>1. Há parênteses, colchetes ou chaves?<br>2. Há potência?<br>3. Há divisão ou multiplicação?<br>4. Há soma ou subtração?<br>5. Há sinais negativos exigindo regra de sinal?<br><br><i>Fonte: Aula Bônus 13 — Expressões Numéricas</i><hr><b>BIZU:</b> Expressão numérica se vence com ordem, não com pressa.
