Frente;Verso
O que é <b>tabela-verdade</b>?;Tabela-verdade é o conjunto de valorações que uma proposição composta pode assumir.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Tabela-verdade mostra todos os cenários possíveis de V e F.
Para que serve uma <b>tabela-verdade</b>?;Serve para descobrir os valores lógicos possíveis de uma proposição composta.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Ela testa a frase em todas as combinações.
O que são <b>valorações</b> em uma tabela-verdade?;São as combinações possíveis de verdadeiro e falso atribuídas às proposições simples.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Valoração é um cenário de V e F.
Qual é a fórmula para calcular o número de linhas de uma tabela-verdade?;<b>2ⁿ</b>, em que n é o número de proposições simples diferentes.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Conte as letras diferentes e faça 2 elevado a esse número.
Na fórmula <b>2ⁿ</b>, o que representa o <b>n</b>?;Representa o número de proposições simples diferentes existentes na proposição composta.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> n não é número de conectivos. É número de proposições simples.
Uma proposição composta com <b>1 proposição simples</b> tem quantas linhas na tabela-verdade?;<b>2 linhas</b>. Cálculo: 2¹ = 2.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Uma letra gera V e F.
Uma proposição composta com <b>2 proposições simples</b> tem quantas linhas na tabela-verdade?;<b>4 linhas</b>. Cálculo: 2² = 4.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Duas letras geram quatro combinações.
Uma proposição composta com <b>3 proposições simples</b> tem quantas linhas na tabela-verdade?;<b>8 linhas</b>. Cálculo: 2³ = 8.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Três letras geram oito linhas.
Uma proposição composta com <b>4 proposições simples</b> tem quantas linhas na tabela-verdade?;<b>16 linhas</b>. Cálculo: 2⁴ = 16.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Quatro proposições simples dobram até 16 linhas.
Uma proposição composta com <b>5 proposições simples</b> tem quantas linhas na tabela-verdade?;<b>32 linhas</b>. Cálculo: 2⁵ = 32.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Cinco letras diferentes já dão 32 cenários.
[QUESTÃO] Quantas linhas tem a tabela-verdade de <b>(P ∧ Q) → R</b>?;<b>8 linhas</b>. Há três proposições simples diferentes: P, Q e R. Logo, 2³ = 8.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Não conte parênteses nem conectivos. Conte letras diferentes.
[QUESTÃO] Quantas linhas tem a tabela-verdade de <b>(P ∨ Q) ↔ (¬R ∨ S)</b>?;<b>16 linhas</b>. Há quatro proposições simples diferentes: P, Q, R e S. Logo, 2⁴ = 16.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Negação não cria nova proposição simples.
A negação <b>¬P</b> aumenta o número de linhas da tabela-verdade?;<b>Não</b>. A negação não cria uma nova proposição simples. Ela apenas inverte o valor lógico de P.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> P e ¬P continuam sendo uma mesma letra-base.
O que é a regra do conectivo <b>E</b>?;Na conjunção, um falso deixa tudo falso. A proposição P ∧ Q só é verdadeira quando P e Q são verdadeiras.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> No E, todo mundo precisa estar verdadeiro.
Quando a conjunção <b>P ∧ Q</b> é verdadeira?;Somente quando P é verdadeira e Q é verdadeira.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> V com V dá V. Qualquer F derruba.
Quando a conjunção <b>P ∧ Q</b> é falsa?;Quando pelo menos uma das proposições for falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> No E, um falso contamina tudo.
Qual é a tabela-resumo da conjunção <b>P ∧ Q</b>?;V e V dá V. V e F dá F. F e V dá F. F e F dá F.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Conjunção é exigente.
O que é a regra do conectivo <b>OU</b> inclusivo?;Na disjunção inclusiva, um verdadeiro deixa tudo verdadeiro. A proposição P ∨ Q só é falsa quando P e Q são falsas.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> No OU inclusivo, basta um V.
Quando a disjunção <b>P ∨ Q</b> é verdadeira?;Quando pelo menos uma das proposições for verdadeira.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Um V salva o OU.
Quando a disjunção <b>P ∨ Q</b> é falsa?;Somente quando P é falsa e Q é falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> OU só cai com F e F.
Qual é a tabela-resumo da disjunção inclusiva <b>P ∨ Q</b>?;V ou V dá V. V ou F dá V. F ou V dá V. F ou F dá F.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> No OU inclusivo, o único desastre é F com F.
O que é a regra do <b>OU...OU</b> exclusivo?;Na disjunção exclusiva, só uma proposição pode ser verdadeira. Se as duas tiverem o mesmo valor lógico, o resultado é falso.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Exclusivo exige diferença.
Quando <b>P ⊻ Q</b> é verdadeira?;Quando uma proposição é verdadeira e a outra é falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Ou uma ou outra, mas não as duas.
Quando <b>P ⊻ Q</b> é falsa?;Quando P e Q têm o mesmo valor lógico, isto é, ambas verdadeiras ou ambas falsas.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Valores iguais derrubam o OU exclusivo.
Qual é a tabela-resumo da disjunção exclusiva <b>P ⊻ Q</b>?;V ou exclusivo V dá F. V ou exclusivo F dá V. F ou exclusivo V dá V. F ou exclusivo F dá F.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Diferente dá V. Igual dá F.
O que é a regra do conectivo <b>ENTÃO</b>?;No condicional, só há falso quando a primeira proposição é verdadeira e a segunda é falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Vera Fischer é falsa: V então F dá F.
O que significa o bizu <b>Vera Fischer é falsa</b> no condicional?;Significa que no condicional P → Q, o único caso falso é V → F.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> V F no então dá F.
Quando o condicional <b>P → Q</b> é falso?;Somente quando P é verdadeira e Q é falsa.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Prometeu e não cumpriu, falso.
Quando o condicional <b>P → Q</b> é verdadeiro?;Quando não ocorre o caso V → F. Portanto, V → V, F → V e F → F são verdadeiros.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> No então, só V para F quebra.
Qual é a tabela-resumo do condicional <b>P → Q</b>?;V então V dá V. V então F dá F. F então V dá V. F então F dá V.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> O único falso é V então F.
Por que o condicional <b>F → V</b> é verdadeiro?;Porque no condicional só existe falsidade quando o antecedente é verdadeiro e o consequente é falso.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Se a condição nem ocorreu, a promessa lógica não foi quebrada.
Por que o condicional <b>F → F</b> é verdadeiro?;Porque o único caso falso do condicional é V → F. Com antecedente falso, o condicional é verdadeiro.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Antecedente falso não derruba o então.
O que é a regra do <b>SE E SOMENTE SE</b>?;No bicondicional, os dois lados precisam ter valores lógicos iguais para o resultado ser verdadeiro.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Bicondicional gosta de igualdade.
Quando <b>P ↔ Q</b> é verdadeiro?;Quando P e Q têm o mesmo valor lógico, isto é, ambas verdadeiras ou ambas falsas.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Igualdade dá V.
Quando <b>P ↔ Q</b> é falso?;Quando P e Q têm valores lógicos diferentes.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Diferença derruba o se e somente se.
Qual é a tabela-resumo do bicondicional <b>P ↔ Q</b>?;V se e somente se V dá V. V se e somente se F dá F. F se e somente se V dá F. F se e somente se F dá V.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Iguais V. Diferentes F.
Qual conectivo é verdadeiro quando os lados são <b>diferentes</b>?;<b>Disjunção exclusiva</b>. O OU exclusivo é verdadeiro quando um lado é V e o outro é F.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Diferentes favorecem o OU exclusivo.
Qual conectivo é verdadeiro quando os lados são <b>iguais</b>?;<b>Bicondicional</b>. O se e somente se é verdadeiro quando os dois lados têm o mesmo valor lógico.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Iguais favorecem o bicondicional.
Qual é a diferença entre <b>OU inclusivo</b> e <b>OU exclusivo</b>?;O OU inclusivo permite que as duas proposições sejam verdadeiras. O OU exclusivo exige que apenas uma seja verdadeira.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Inclusivo aceita os dois. Exclusivo aceita só um.
Se P é verdadeira e Q é falsa, qual é o valor de <b>P ∧ Q</b>?;<b>Falso</b>. Na conjunção, um falso deixa tudo falso.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> E precisa de dois V.
Se P é verdadeira e Q é falsa, qual é o valor de <b>P ∨ Q</b>?;<b>Verdadeiro</b>. Na disjunção inclusiva, basta uma proposição verdadeira.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> OU inclusivo sobrevive com um V.
Se P é verdadeira e Q é falsa, qual é o valor de <b>P ⊻ Q</b>?;<b>Verdadeiro</b>. Na disjunção exclusiva, exatamente uma deve ser verdadeira.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Um V e um F é perfeito para OU exclusivo.
Se P é verdadeira e Q é falsa, qual é o valor de <b>P → Q</b>?;<b>Falso</b>. No condicional, V → F é o único caso falso.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Vera Fischer é falsa.
Se P é verdadeira e Q é falsa, qual é o valor de <b>P ↔ Q</b>?;<b>Falso</b>. No bicondicional, valores diferentes geram falso.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Diferentes derrubam o bicondicional.
Se P é falsa e Q é falsa, qual é o valor de <b>P ∧ Q</b>?;<b>Falso</b>. Na conjunção, basta um falso para o resultado ser falso.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> Dois F não salvam o E.
Se P é falsa e Q é falsa, qual é o valor de <b>P ∨ Q</b>?;<b>Falso</b>. A disjunção inclusiva só é falsa quando os dois lados são falsos.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> F ou F dá F.
Se P é falsa e Q é falsa, qual é o valor de <b>P ⊻ Q</b>?;<b>Falso</b>. No OU exclusivo, os lados precisam ser diferentes para o resultado ser verdadeiro.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> F e F são iguais, então cai.
Se P é falsa e Q é falsa, qual é o valor de <b>P → Q</b>?;<b>Verdadeiro</b>. No condicional, só V → F é falso.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> F então F é verdadeiro na lógica formal.
Se P é falsa e Q é falsa, qual é o valor de <b>P ↔ Q</b>?;<b>Verdadeiro</b>. No bicondicional, lados iguais geram verdadeiro.<br><br><i>Fonte: Estruturas Lógicas</i><hr><b>BIZU:</b> F com F é igualdade lógica.
