Frente;Verso
Qual é a fórmula-mãe da <b>responsabilidade objetiva do Estado</b>?;<font color="#00e676"><b>Dano + conduta estatal + nexo causal</b></font>.<br><br>Não precisa provar dolo ou culpa do agente perante a vítima.<br><br><i>Fonte: Art. 37, § 6º, CF</i><hr><b>BIZU:</b> Objetiva não é automática. É sem culpa, mas com nexo.
Responsabilidade objetiva dispensa o quê e exige o quê?;Dispensa <font color="#ff4444"><b>dolo ou culpa</b></font> do agente.<br><br>Exige <font color="#00e676"><b>dano, conduta e nexo causal</b></font>.<br><br><i>Fonte: Art. 37, § 6º, CF</i><hr><b>BIZU:</b> Não prove a mente do agente. Prove a ponte entre Estado e dano.
Qual teoria é regra no Brasil para responsabilidade civil do Estado por ato comissivo?;<font color="#00e676"><b>Teoria do risco administrativo</b></font>.<br><br>É responsabilidade objetiva com possibilidade de excludentes.<br><br><i>Fonte: Aula 07</i><hr><b>BIZU:</b> Administrativo admite defesa. Integral não.
Risco administrativo e risco integral são iguais?;<font color="#ff4444"><b>Não.</b></font><br><br><b>Risco administrativo</b>: admite excludentes.<br><b>Risco integral</b>: não admite excludentes.<br><br><i>Fonte: Aula 07</i><hr><b>BIZU:</b> Administrativo tem porta de saída. Integral tranca a porta.
Quais são as excludentes clássicas do risco administrativo?;São: <br>• <font color="#ff4444"><b>culpa exclusiva da vítima</b></font><br>• <font color="#ff4444"><b>fato exclusivo de terceiro</b></font><br>• <font color="#ff4444"><b>caso fortuito ou força maior</b></font><br><br><i>Fonte: Aula 07</i><hr><b>BIZU:</b> Excludente corta o nexo.
Culpa exclusiva da vítima faz o quê?;<font color="#ff4444"><b>Exclui</b></font> a responsabilidade do Estado.<br><br><i>Fonte: Aula 07</i><hr><b>BIZU:</b> Exclusiva exclui.
Culpa concorrente da vítima faz o quê?;<font color="#ffeb3b"><b>Atenua</b></font> a responsabilidade do Estado.<br><br>Ela reduz a indenização, mas não exclui totalmente.<br><br><i>Fonte: Aula 07</i><hr><b>BIZU:</b> Concorrente corta valor. Exclusiva corta tudo.
Quem prova a excludente de responsabilidade?;<font color="#ffeb3b"><b>O Estado</b></font>.<br><br>Se o Estado quer afastar ou reduzir a indenização, ele deve provar a excludente ou atenuante.<br><br><i>Fonte: Aula 07</i><hr><b>BIZU:</b> Quem quer escapar da conta prova a saída.
Fortuito interno exclui responsabilidade?;<font color="#ff4444"><b>Não.</b></font><br><br>Fortuito interno é risco ligado à atividade. Por isso, não exclui a responsabilidade objetiva.<br><br><i>Fonte: Aula 07</i><hr><b>BIZU:</b> Interno indeniza.
Fortuito externo exclui responsabilidade?;<font color="#00e676"><b>Sim.</b></font><br><br>Fortuito externo é fato estranho à atividade e pode romper o nexo causal.<br><br><i>Fonte: Aula 07</i><hr><b>BIZU:</b> Externo exclui.
Assalto armado em ônibus ou pedágio costuma ser o quê?;<font color="#ff4444"><b>Fortuito externo</b></font>.<br><br>É fato de terceiro estranho à atividade normal de transporte ou concessão.<br><br><i>Fonte: Jurisprudência STJ</i><hr><b>BIZU:</b> Assalto armado geralmente rompe o nexo.
Piso molhado em estação por falha de limpeza é fortuito interno ou externo?;<font color="#00e676"><b>Fortuito interno</b></font>.<br><br>Está ligado à organização e ao risco do serviço.<br><br><i>Fonte: Aula 07</i><hr><b>BIZU:</b> Falha dentro do serviço fica dentro da conta.
