Frente;Verso
O que é <b>juro simples</b>?;É uma modalidade de juro calculado sempre sobre o <b>capital inicial</b>. Nesse modelo, os juros de todos os períodos são iguais, porque não há juros sobre juros.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Simples = sempre sobre o capital inicial.
O que é <b>juro</b> em matemática financeira?;Juro é o ganho obtido em uma aplicação ou o valor pago pelo uso de um capital.<br><br>Exemplo: se R$ 100 viram R$ 140, o juro foi R$ 40.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Juro é o crescimento do dinheiro.
O que é <b>capital</b> em juro simples?;Capital é o valor inicial aplicado, emprestado ou investido.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Capital é o ponto de partida da aplicação.
O que é <b>montante</b>?;Montante é o capital acrescido dos juros.<br><br><b>M = C + J</b><br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Montante é o dinheiro final.
O que é <b>taxa unitária</b>?;É a taxa percentual escrita sem o símbolo de porcentagem, dividida por 100.<br><br>Exemplo: 10% = 0,10.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Taxa unitária é o percentual pronto para multiplicar.
O que é o <b>tempo</b> em juro simples?;É o período durante o qual o capital fica aplicado ou emprestado.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Tempo deve conversar com a unidade da taxa.
Qual é a fórmula dos <b>juros simples</b>?;<b>J = C.i.t</b><br><br>J = juro<br>C = capital<br>i = taxa unitária<br>t = tempo<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Juro simples é produto de capital, taxa e tempo.
Qual é a fórmula do <b>montante em juro simples</b>?;<b>M = C.(1+i.t)</b><br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Montante é capital multiplicado pelo fator simples.
Qual fórmula usar quando a questão pede apenas o juro?;Use <b>J = C.i.t</b>.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Pediu juro, vá direto em J.
Qual fórmula usar quando a questão pede o montante?;Use <b>M = C + J</b> ou <b>M = C.(1+i.t)</b>.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Pediu valor final, pense em montante.
Qual cuidado é obrigatório entre <b>taxa</b> e <b>tempo</b>?;A unidade da taxa e do tempo deve ser a mesma.<br><br>Taxa ao mês pede tempo em meses. Taxa ao ano pede tempo em anos.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Taxa e tempo precisam falar a mesma língua.
Como transformar <b>1 ano e meio</b> em anos?;1 ano e meio = 1,5 ano.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Meio ano é 0,5 ano.
Como transformar <b>3 meses</b> em anos?;3 meses = 3/12 ano = 1/4 ano = 0,25 ano.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Taxa anual pede tempo em anos.
Como transformar <b>25 dias</b> em meses comerciais?;25 dias = 25/30 mês.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Em juro simples comercial, normalmente o mês tem 30 dias.
Qual é a principal armadilha em juro simples?;Usar taxa percentual sem transformar em taxa unitária.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> 10% na fórmula entra como 0,10.
Qual é outra armadilha clássica em juro simples?;Usar tempo em meses com taxa anual, ou tempo em anos com taxa mensal.<br><br><i>Fonte: Teoria e Exercício — Juro Simples</i><hr><b>BIZU:</b> Unidade desalinhada, conta errada.
Aplicando R$ 100,00 durante 3 meses a 10% a.m. de juro simples, qual é o montante?;O montante é R$ 130,00.<br><br>J = 100 × 0,10 × 3 = 30. M = 100 + 30 = 130.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, exemplo 1</i><hr><b>BIZU:</b> Em juro simples, 10% ao mês por 3 meses vira 30% do capital.
Aplicando R$ 100,00 a 10% a.m. e recebendo montante de R$ 130,00, por quanto tempo o capital ficou aplicado?;Ficou aplicado por 3 meses.<br><br>J = 30. t = 30/(100 × 0,10) = 3.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, exemplo 2</i><hr><b>BIZU:</b> Para achar tempo, isole t em J = C.i.t.
Aplicando R$ 100,00 por 3 meses e recebendo R$ 130,00, qual foi a taxa mensal simples?;A taxa foi 10% a.m.<br><br>J = 30. i = 30/(100 × 3) = 0,10.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, exemplo 3</i><hr><b>BIZU:</b> Achou 0,10? Volte para porcentagem: 10%.
Qual capital, aplicado a 10% a.m. por 3 meses, gera montante de R$ 130,00?;O capital é R$ 100,00.<br><br>M = C.(1+0,10×3) = C×1,30. Então C = 130/1,30 = 100.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, exemplo 4</i><hr><b>BIZU:</b> Para achar capital a partir do montante, divida pelo fator.
Um capital de R$ 10.000,00 aplicado por 1 ano e meio a 6% a.a. rende quanto de juros simples?;Rende R$ 900,00.<br><br>J = 10.000 × 0,06 × 1,5 = 900.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, questão 1</i><hr><b>BIZU:</b> Um ano e meio = 1,5 ano.
Qual capital produz juro de R$ 78,00 a 6% a.a. em 3 meses?;O capital é R$ 5.200,00.<br><br>3 meses = 0,25 ano. C = 78/(0,06 × 0,25) = 5.200.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, questão 2</i><hr><b>BIZU:</b> Antes da fórmula, transforme 3 meses em 1/4 de ano.
A que taxa anual simples R$ 5.000,00 rende R$ 300,00 em 1 ano?;A taxa é 6% a.a.<br><br>i = 300/(5000 × 1) = 0,06.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, questão 3</i><hr><b>BIZU:</b> Taxa encontrada em decimal precisa voltar para porcentagem.
Durante quantos meses R$ 100,00 a 30% a.m. rende R$ 240,00 de juros?;Durante 8 meses.<br><br>t = 240/(100 × 0,30) = 8.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, questão 4</i><hr><b>BIZU:</b> A questão pede juros, não montante.
Qual montante é produzido por R$ 5.000,00 durante 3 meses a 15% a.m. de juro simples?;O montante é R$ 7.250,00.<br><br>M = 5000.(1+0,15×3) = 5000×1,45 = 7250.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, questão 5</i><hr><b>BIZU:</b> 15% por 3 meses = 45% de juro.
Qual capital, em 2 anos a 5% a.a., produz montante de R$ 6.600,00?;O capital é R$ 6.000,00.<br><br>Fator = 1 + 0,05×2 = 1,10. C = 6600/1,10 = 6000.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, questão 6</i><hr><b>BIZU:</b> Montante conhecido, divida pelo fator simples.
A que taxa mensal simples R$ 1.200,00 gera montante de R$ 2.400,00 em 2 meses?;A taxa é 50% a.m.<br><br>J = 1200. i = 1200/(1200×2) = 0,50.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, questão 7</i><hr><b>BIZU:</b> Dobrar em 2 meses no simples exige 50% ao mês.
Durante quantos meses R$ 100,00 a 30% a.m. gera montante de R$ 220,00?;Durante 4 meses.<br><br>J = 220 - 100 = 120. t = 120/(100×0,30) = 4.<br><br><i>Fonte: Teoria e Exercício — Juro Simples, questão 8</i><hr><b>BIZU:</b> Se a questão dá montante, primeiro ache o juro.
