Frente;Verso
[QUESTÃO] Os tempos gastos por cinco operários foram <b>4, 6, 7, 8 e 10 minutos</b>. Qual é a variância dessa distribuição?;<b>4</b>. A média é 7. Os desvios são -3, -1, 0, 1 e 3. Os quadrados são 9, 1, 0, 1 e 9. A soma dos quadrados é 20. Variância = 20 / 5 = 4.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Média 7 deixa os desvios simétricos.
Qual conceito a questão dos <b>cinco operários</b> testa?;Ela testa variância populacional para dados não agrupados pelo método dos desvios.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Dados soltos, média, desvios ao quadrado e divisão por n.
Como evitar erro na questão dos tempos <b>4, 6, 7, 8 e 10</b>?;Não pare na soma dos quadrados dos desvios. Depois de somar 20, é preciso dividir pelo total de dados, que é 5.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Soma dos quadrados não é variância ainda.
[QUESTÃO] O desvio padrão do conjunto <b>A = {6, 10, 4, 8, 7}</b> é igual a quanto?;<b>2</b>. A média é 7. Os desvios são -1, 3, -3, 1 e 0. Os quadrados somam 20. Variância = 20 / 5 = 4. Desvio padrão = √4 = 2.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Desvio padrão é a raiz da variância.
Qual conceito a questão do conjunto <b>{6, 10, 4, 8, 7}</b> testa?;Ela testa cálculo de desvio padrão populacional a partir da variância.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Se pediu desvio padrão, tire a raiz no final.
Como evitar erro na questão do conjunto <b>A = {6, 10, 4, 8, 7}</b>?;Não responda 4, pois 4 é a variância. A questão pede desvio padrão, então o resultado é √4 = 2.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Variância 4 vira DP 2.
[QUESTÃO] O desvio padrão do conjunto <b>A = {2, 4, 6, 8, 10}</b> é aproximadamente quanto?;<b>2,8</b>. A média é 6. Os quadrados dos desvios são 16, 4, 0, 4 e 16. Soma = 40. Variância = 40 / 5 = 8. Desvio padrão = √8 ≈ 2,8.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Raiz de 8 é aproximadamente 2,8.
Qual conceito a questão do conjunto <b>{2, 4, 6, 8, 10}</b> testa?;Ela testa desvio padrão com raiz não exata.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Quando a variância não é quadrado perfeito, aproxime a raiz.
Como evitar erro na questão do desvio padrão de <b>{2, 4, 6, 8, 10}</b>?;Não responda 8. Esse é o valor da variância. O desvio padrão é a raiz de 8, aproximadamente 2,8.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Toda questão de DP termina com raiz.
[QUESTÃO] Uma empresa registrou nas 5 copiadoras as produções <b>20, 23, 25, 27 e 30</b> em milhares. Qual é a variância dessa população?;<b>11,6</b>. A média é 25. Os desvios são -5, -2, 0, 2 e 5. Os quadrados são 25, 4, 0, 4 e 25. Soma = 58. Variância = 58 / 5 = 11,6.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> A palavra população manda dividir por n.
Qual conceito a questão das <b>5 máquinas copiadoras</b> testa?;Ela testa variância populacional, pois o enunciado trata as 5 máquinas como a população da empresa.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> População divide por 5, não por 4.
Como evitar erro na questão das <b>copiadoras</b>?;Não use n - 1. Como a questão fala em população, a divisão é feita por n, isto é, por 5.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> População é n. Amostra é n menos 1.
[QUESTÃO] Qual conjunto tem maior variabilidade: T = 10,10,10,10,10,8, V = 10,10,10,10,8,8, X = 10,10,10,8,8,8, Y = 10,10,8,8,8,8 ou Z = 10,8,8,8,8,8?;<b>X</b>. O conjunto X é o mais equilibrado entre valores 10 e 8, com três de cada, gerando maior espalhamento em relação à média.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Com dois valores fixos, a variabilidade é maior quando há maior equilíbrio entre os dois grupos.
Qual conceito a questão dos conjuntos <b>T, V, X, Y e Z</b> testa?;Ela testa comparação de variabilidade por desvio padrão, sem necessariamente exigir cálculo completo em todos os conjuntos.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Maior desvio padrão significa maior variabilidade.
Em um concurso, se dois candidatos têm a mesma média, quem fica melhor classificado pelo critério de pontuação mais regular?;Fica melhor classificado quem tiver <b>menor desvio padrão</b>.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Regularidade é baixa dispersão.
Por que menor desvio padrão indica maior regularidade?;Porque menor desvio padrão significa que as pontuações estão mais próximas da média, com menor espalhamento.<br><br><i>Fonte: Exercícios de fixação – variância e desvio padrão</i><hr><b>BIZU:</b> Quanto menor o DP, mais estável é o desempenho.
[QUESTÃO] Uma amostra de 10 funcionários teve ausências <b>0, 0, 0, 2, 2, 2, 4, 4, 6 e 10</b>. Qual é o desvio padrão amostral aproximado?;<b>3</b>. A média é 3. A soma dos quadrados dos desvios é 90. Como é amostra, a variância é 90 / 9 = 10. O desvio padrão é √10, aproximadamente 3,16, que arredonda para 3 na alternativa.<br><br><i>Fonte: Exercícios de fixação – variância amostral</i><hr><b>BIZU:</b> Amostra usa n - 1 antes de tirar a raiz.
Qual conceito a questão das <b>ausências ao trabalho</b> testa?;Ela testa desvio padrão amostral com correção pelo denominador n - 1.<br><br><i>Fonte: Exercícios de fixação – variância amostral</i><hr><b>BIZU:</b> Viu amostra, procure n menos 1.
Como evitar erro na questão da amostra de <b>10 funcionários</b>?;Não divida por 10. Como o enunciado fala em amostra, a variância amostral divide por 9.<br><br><i>Fonte: Exercícios de fixação – variância amostral</i><hr><b>BIZU:</b> Amostra de 10 tem denominador 9.
[QUESTÃO] Uma amostra tem <b>n = 23</b>, soma dos valores <b>388</b> e soma dos quadrados <b>8676</b>. Qual é a variância amostral não tendenciosa aproximada?;<b>96,85</b>. Use S² = [Σx² - (Σx)²/n] / (n - 1). Assim, S² = [8676 - 388²/23] / 22 ≈ 96,85.<br><br><i>Fonte: Exercícios de fixação – variância amostral</i><hr><b>BIZU:</b> Com soma de x e soma de x², use o método das médias com correção amostral.
Qual conceito a questão com <b>Σx = 388</b> e <b>Σx² = 8676</b> testa?;Ela testa variância amostral por estimador não tendencioso, usando somatório dos valores e somatório dos quadrados.<br><br><i>Fonte: Exercícios de fixação – variância amostral</i><hr><b>BIZU:</b> Fórmula com somatórios evita recalcular todos os desvios.
Como evitar erro na questão da variância amostral com <b>n = 23</b>?;Não use denominador 23. O estimador não tendencioso usa n - 1, portanto o denominador é 22.<br><br><i>Fonte: Exercícios de fixação – variância amostral</i><hr><b>BIZU:</b> Não tendencioso é sinônimo prático de n menos 1.
[QUESTÃO] Sabendo que a média aritmética de X é <b>9</b>, qual é a média de <b>3X</b>?;<b>27</b>. Multiplicar todos os valores por 3 multiplica a média por 3. Logo, 3 × 9 = 27.<br><br><i>Fonte: Exercícios de propriedades das medidas</i><hr><b>BIZU:</b> Média acompanha multiplicação.
[QUESTÃO] Sabendo que a média aritmética de X é <b>9</b>, qual é a média de <b>X + 12</b>?;<b>21</b>. Somar 12 a todos os valores soma 12 à média. Logo, 9 + 12 = 21.<br><br><i>Fonte: Exercícios de propriedades das medidas</i><hr><b>BIZU:</b> Média acompanha soma constante.
[QUESTÃO] Sabendo que a média aritmética de X é <b>9</b>, qual é a média de <b>3X + 12</b>?;<b>39</b>. Primeiro multiplica: 3 × 9 = 27. Depois soma 12. Resultado 39.<br><br><i>Fonte: Exercícios de propriedades das medidas</i><hr><b>BIZU:</b> Transformação da média segue a mesma transformação dos dados.
[QUESTÃO] Sabendo que a moda de X é <b>9</b>, qual é a moda de <b>3X</b>?;<b>27</b>. Multiplicar todos os dados por 3 multiplica a moda por 3.<br><br><i>Fonte: Exercícios de propriedades das medidas</i><hr><b>BIZU:</b> Moda acompanha transformação uniforme.
[QUESTÃO] Sabendo que a moda de X é <b>9</b>, qual é a moda de <b>X + 12</b>?;<b>21</b>. Somar 12 a todos os dados soma 12 à moda.<br><br><i>Fonte: Exercícios de propriedades das medidas</i><hr><b>BIZU:</b> Se todos sobem 12, a moda sobe 12.
[QUESTÃO] Sabendo que a moda de X é <b>9</b>, qual é a moda de <b>3X + 12</b>?;<b>39</b>. Primeiro 3 × 9 = 27. Depois 27 + 12 = 39.<br><br><i>Fonte: Exercícios de propriedades das medidas</i><hr><b>BIZU:</b> A moda transformada segue a transformação aplicada.
