Frente;Verso
O que é a <b>tabela de juros compostos</b>?;É uma tabela que fornece diretamente o <b>fator de acumulação de capital</b>, isto é, o valor de <b>(1+i)^n</b>, para diferentes taxas e períodos.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> A tabela economiza o cálculo da potência.
Qual é o nome do fator apresentado na tabela de juros compostos?;O nome é <b>Fator de Acumulação de Capital</b>.<br><br>Ele representa <b>(1+i)^n</b>.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> Fator de acumulação é o multiplicador do capital.
Qual é a fórmula do montante em juros compostos usando tabela?;<b>M = C × fator</b><br><br>O fator é retirado da tabela, cruzando a linha do período com a coluna da taxa.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> Tabela achou o fator. Capital vezes fator dá montante.
Qual é a fórmula para encontrar o capital usando a tabela?;<b>C = M / fator</b><br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> Para voltar do montante ao capital, divida pelo fator.
Como encontrar o fator na tabela?;Cruze a <b>linha do número de períodos</b> com a <b>coluna da taxa</b>.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> Linha = tempo. Coluna = taxa.
Na tabela `(1+i)^n`, o que representa o <b>n</b>?;Representa o número de períodos de capitalização.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> Se a taxa é mensal, n está em meses. Se a taxa é anual, n está em anos.
Qual é o cuidado obrigatório antes de usar a tabela?;A unidade da taxa e a unidade do tempo precisam estar compatíveis.<br><br>Taxa ao mês pede tempo em meses. Taxa ao ano pede tempo em anos. Taxa ao trimestre pede tempo em trimestres.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> Tabela certa com unidade errada ainda dá resposta errada.
Se a taxa é <b>10% a.a.</b> e o tempo é <b>3 anos</b>, qual linha e coluna usar?;Use a linha <b>n = 3</b> e a coluna <b>10%</b>.<br><br>O fator é 1,3310.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> A taxa é anual e o tempo está em anos. Está compatível.
Aplicando R$ 1.000,00 a 10% a.a. durante 3 anos, qual é o montante pela tabela?;O montante é <b>R$ 1.331,00</b>.<br><br>Fator da tabela para n = 3 e taxa 10%: 1,3310.<br>1000 × 1,3310 = 1331.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela, exemplo 1</i><hr><b>BIZU:</b> 10% por 3 períodos é fator 1,3310.
Aplicando R$ 500.000,00 a 5% a.m. por 3 meses, qual fator usar?;Use o fator <b>1,1576</b>.<br><br>Ele está na linha n = 3 e coluna 5%.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela, exemplo 2</i><hr><b>BIZU:</b> 5% por 3 meses: linha 3, coluna 5%.
Aplicando R$ 500.000,00 a 5% a.m. por 3 meses, qual é o montante aproximado?;O montante aproximado é <b>R$ 578.800,00</b>.<br><br>500.000 × 1,1576 = 578.800.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela, exemplo 2</i><hr><b>BIZU:</b> Se a tabela arredonda o fator, o montante também pode ser aproximado.
Como calcular o juro quando se tem capital e montante?;<b>J = M - C</b>.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> Montante menos capital é o ganho.
Na aplicação de R$ 500.000,00 que vira R$ 578.800,00, qual é o juro aproximado?;O juro aproximado é <b>R$ 78.800,00</b>.<br><br>578.800 - 500.000 = 78.800.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> Montante é o total. Juro é só o acréscimo.
Calcule o capital que produz montante de R$ 112.360,00 a 6% a.m. por 2 meses.;O capital é <b>R$ 100.000,00</b>.<br><br>Fator para n = 2 e taxa 6%: 1,1236.<br>C = 112.360 / 1,1236 = 100.000.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela, questão 3</i><hr><b>BIZU:</b> Montante conhecido: divida pelo fator.
Para achar capital em juros compostos com tabela, devo multiplicar ou dividir pelo fator?;Deve <b>dividir</b> o montante pelo fator.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela</i><hr><b>BIZU:</b> Avançar no tempo multiplica. Voltar no tempo divide.
R$ 1.000.000,00 transformam-se em R$ 3.341.700,00 a 9% a.m. Em quantos meses isso ocorre pela tabela?;Ocorre em <b>14 meses</b>.<br><br>Fator = 3.341.700 / 1.000.000 = 3,3417.<br>Na tabela, na coluna 9%, o fator 3,3417 aparece em n = 14.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela, questão 4</i><hr><b>BIZU:</b> Para achar tempo, divida montante por capital e procure o fator na coluna da taxa.
Na questão em que R$ 1.000.000,00 viram R$ 3.341.700,00 a 9% a.m., quantos bimestres são necessários?;São necessários <b>7 bimestres</b>.<br><br>A tabela indica 14 meses. Como 1 bimestre = 2 meses, então 14 meses = 7 bimestres.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela, questão 4</i><hr><b>BIZU:</b> A tabela deu meses; a pergunta pediu bimestres. Converta no final.
Qual é a armadilha na questão dos bimestres com taxa de 9% a.m.?;A taxa está ao mês, então a tabela encontra o tempo em meses. Depois é preciso converter meses em bimestres.<br><br><i>Fonte: Teoria e Exercício — Juros Compostos com Tabela, questão 4</i><hr><b>BIZU:</b> A resposta pedida não necessariamente está na mesma unidade da tabela.
