Frente;Verso
O que são questões de <b>calendário</b> em raciocínio lógico?;São questões que exigem calcular dias da semana, meses, anos, semanas completas, anos bissextos e deslocamentos temporais.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Calendário é ciclo. O ciclo principal é de 7 dias.
Qual é a base das questões com <b>dias da semana</b>?;A semana tem 7 dias. Por isso, usamos divisão por 7 e analisamos o resto.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Dia da semana anda pelo resto da divisão por 7.
Por que usamos <b>resto da divisão por 7</b> em calendário?;Porque a cada 7 dias o mesmo dia da semana se repete.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> 7 dias depois cai no mesmo dia da semana.
Se passam <b>7 dias</b>, o dia da semana muda?;<b>Não</b>. Depois de 7 dias, caímos no mesmo dia da semana.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> +7 é volta completa.
Se passam <b>8 dias</b>, o dia da semana avança quanto?;<b>1 dia</b>. Como 8 = 7 + 1, sobra 1 no ciclo semanal.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> O que manda é o resto.
Se passam <b>13 dias</b>, o dia da semana avança quanto?;<b>6 dias</b>. Como 13 deixa resto 6 na divisão por 7, avançamos 6 dias da semana.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> 13 dias = 1 semana + 6 dias.
Um mês de <b>31 dias</b> possui quantas semanas completas e quantos dias extras?;<b>4 semanas completas e 3 dias extras</b>, pois 31 = 28 + 3.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Mês de 31 dias dá 3 dias da semana com 5 ocorrências.
Em um mês de <b>31 dias</b>, quantos dias da semana aparecem 5 vezes?;<b>3 dias da semana</b>. Eles são o dia da semana do dia 1º e os dois dias seguintes.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> 31 dias tem 3 dias “premiados”.
Em um mês de <b>31 dias</b>, se há cinco sextas, cinco sábados e cinco domingos, que dia da semana foi o dia 1º?;<b>Sexta-feira</b>. Em mês de 31 dias, os três dias que aparecem 5 vezes são o dia 1º, o dia seguinte e o outro seguinte.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Sexta, sábado e domingo extras significam que o mês começou na sexta.
[QUESTÃO] Se agosto teve cinco sextas-feiras, cinco sábados e cinco domingos, em que dia da semana caiu <b>1º de agosto</b>?;<b>Sexta-feira</b>. Agosto tem 31 dias. Os três primeiros dias da semana do mês aparecem 5 vezes. Logo, 1º de agosto foi sexta-feira.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> 31 dias = 4 semanas + sexta, sábado e domingo.
[QUESTÃO] Se agosto teve cinco sextas-feiras, cinco sábados e cinco domingos, em que dia caiu <b>31 de agosto</b>?;<b>Domingo</b>. Se 1º de agosto foi sexta-feira, então 29 de agosto também foi sexta. Logo, 30 foi sábado e 31 foi domingo.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Depois de 28 dias, o dia da semana repete.
[QUESTÃO] Se agosto teve cinco sextas-feiras, cinco sábados e cinco domingos, em que dia caiu <b>1º de setembro</b>?;<b>Segunda-feira</b>. Como 31 de agosto caiu domingo, 1º de setembro caiu segunda-feira.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> O dia seguinte ao domingo é segunda.
[QUESTÃO] Se agosto teve cinco sextas-feiras, cinco sábados e cinco domingos, em que dia caiu <b>13 de setembro</b>?;<b>Sábado</b>. Se 1º de setembro caiu segunda-feira, então 13 de setembro está 12 dias depois. Como 12 deixa resto 5 na divisão por 7, segunda avança para sábado.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> 1º de setembro segunda. Dia 8 segunda. Dia 13 sábado.
Qual é a pegadinha da questão de <b>agosto com cinco sextas, sábados e domingos</b>?;Achar que basta saber o último dia de agosto. O ponto central é perceber que, em mês de 31 dias, os três dias extras começam no dia da semana do dia 1º.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Mês de 31 dias entrega três pistas.
Um mês de <b>30 dias</b> possui quantas semanas completas e quantos dias extras?;<b>4 semanas completas e 2 dias extras</b>, pois 30 = 28 + 2.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Mês de 30 dias dá 2 dias da semana com 5 ocorrências.
Em um mês de <b>30 dias</b>, quantos dias da semana aparecem 5 vezes?;<b>2 dias da semana</b>. São o dia da semana do dia 1º e o dia seguinte.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> 30 dias tem 2 dias “premiados”.
Se abril tem <b>30 dias</b> e teve mais domingos do que sábados, em que dia da semana começou abril?;<b>Domingo</b>. Em mês de 30 dias, apenas dois dias aparecem 5 vezes. Para haver mais domingos que sábados, domingo precisa ser um dos extras e sábado não. Logo, abril começou no domingo.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Se domingo aparece mais que sábado, domingo é extra e sábado não.
[QUESTÃO] Em um ano, abril teve mais domingos do que sábados. Em que dia caiu <b>1º de abril</b>?;<b>Domingo</b>. Abril tem 30 dias, então os dias do dia 1º e do dia 2 aparecem 5 vezes. Para domingo aparecer mais que sábado, abril precisa começar no domingo.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Abril começando domingo gera cinco domingos e cinco segundas.
[QUESTÃO] Se abril começou em um domingo, em que dia caiu <b>30 de abril</b>?;<b>Segunda-feira</b>. Dia 1º foi domingo. Dia 29 também foi domingo. Logo, dia 30 foi segunda-feira.<br><br><i>Fonte: Psicotécnicos – Questões de Calendário</i><hr><b>BIZU:</b> Dia 29 repete o dia 1º em mês de 30 dias.
