Frente;Verso
O que é <b>população</b> em Estatística?;População é o maior conjunto tomado como referência na observação de um fenômeno. Também pode ser chamada de universo.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> População é o todo que interessa ao estudo.
Qual é outro nome para <b>população</b> em Estatística?;A população também pode ser chamada de <b>universo</b>.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Universo é o conjunto total. Amostra é só um pedaço.
A população estatística precisa ser sempre formada por pessoas?;<b>Não</b>. População pode ser qualquer conjunto de elementos estudados, como alunos, produtos, notas, peças, empresas, processos ou medidas.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> População não é sinônimo de povo. É sinônimo de conjunto total.
O que é uma <b>população finita</b>?;É uma população em que conseguimos contar o número de elementos existentes.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Finita dá para contar.
Dê um exemplo de <b>população finita</b>.;O número de alunos de uma escola é exemplo de população finita, porque é possível contar os alunos.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Escola, turma, funcionários e processos costumam ser conjuntos finitos.
O que é uma <b>população infinita</b>?;É uma população em que não conseguimos contar o número de elementos existentes.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Infinita é grande ou indeterminada demais para contar.
Dê um exemplo de <b>população infinita</b>.;Os grãos de areia de uma praia são exemplo de população infinita, pois não conseguimos contar exatamente todos os elementos.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Quando contar tudo é inviável, a estatística trabalha com aproximação.
O que é <b>amostra</b> em Estatística?;Amostra é um subconjunto de uma população utilizado para estudar essa população.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Amostra é uma parte que tenta representar o todo.
Qual é a relação entre <b>amostra</b> e <b>população</b>?;A amostra está dentro da população. A população é o conjunto total e a amostra é uma parte escolhida desse conjunto.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> População é o bolo inteiro. Amostra é a fatia.
Por que o conceito de <b>população e amostra</b> é importante para variância e desvio padrão?;Porque algumas fórmulas mudam conforme estamos trabalhando com população ou com amostra, especialmente em variância e desvio padrão.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> População e amostra parecem teoria, mas mudam cálculo.
O que é <b>censo</b>?;Censo é o estudo de toda uma população.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Censo conta o todo.
Quando uma pesquisa é chamada de <b>censo</b>?;Quando ela estuda todos os elementos da população, sem selecionar apenas uma parte.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Se pegou todo mundo, é censo.
O que é <b>amostragem</b>?;Amostragem é o estudo de uma amostra, ou seja, de uma parcela da população.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Amostragem estuda a parte para entender o todo.
Quando usamos <b>amostragem</b>?;Usamos amostragem quando é inviável ou impossível observar o grupo inteiro, especialmente quando a população tem muitos elementos.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Se não dá para medir tudo, escolhemos uma parte boa.
Qual é o objetivo de uma <b>amostra representativa</b>?;O objetivo é fazer com que a amostra reflita as principais características da população.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> A amostra boa parece uma miniatura do universo.
Quais são as três características de uma amostragem válida no material?;A amostragem deve ter <b>imparcialidade</b>, <b>representatividade</b> e <b>tamanho</b> suficiente.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Amostra boa é IRT. Imparcial, Representativa e de Tamanho suficiente.
O que significa <b>imparcialidade</b> na amostragem?;Significa que qualquer elemento da população deve ter a mesma probabilidade de fazer parte da amostra.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Imparcialidade é não favorecer ninguém na escolha.
O que significa <b>representatividade</b> na amostragem?;Significa que a amostra precisa ter as principais características da população.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Representar é carregar a cara do todo.
O que significa <b>tamanho suficiente</b> na amostragem?;Significa que a amostra deve ser grande o bastante para que suas características se aproximem das características da população.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Amostra pequena demais pode distorcer o retrato.
Qual é a diferença entre <b>censo</b> e <b>amostragem</b>?;Censo estuda toda a população. Amostragem estuda apenas uma parte da população.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Censo é todo. Amostragem é parte.
Qual é a pegadinha comum entre <b>censo</b> e <b>amostragem</b>?;A pegadinha é achar que qualquer pesquisa é censo. Só é censo quando todos os elementos da população são estudados.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Se faltou alguém do universo, não é censo.
O que são <b>variáveis</b> em Estatística?;Variáveis são os elementos ou características observadas em uma população ou amostra.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Variável é aquilo que a pesquisa mede, conta ou classifica.
Quais são os dois grandes tipos de <b>variáveis</b>?;As variáveis podem ser <b>quantitativas</b> ou <b>qualitativas</b>.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Quantitativa tem número. Qualitativa tem atributo.
O que é uma <b>variável quantitativa</b>?;É uma variável que se expressa por números.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Quantitativa vem de quantidade.
Quais são os dois tipos de <b>variáveis quantitativas</b>?;As variáveis quantitativas podem ser <b>discretas</b> ou <b>contínuas</b>.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Discreta conta. Contínua mede.
O que é uma <b>variável quantitativa discreta</b>?;É uma variável obtida por contagem.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Discreta dá saltos. 0 filhos, 1 filho, 2 filhos.
Dê um exemplo de <b>variável quantitativa discreta</b>.;Número de filhos é exemplo de variável quantitativa discreta, pois é obtido por contagem.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Número de pessoas, alunos, carros e processos costuma ser discreto.
O que é uma <b>variável quantitativa contínua</b>?;É uma variável obtida por mensuração.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Contínua vem de medida.
Dê um exemplo de <b>variável quantitativa contínua</b>.;Altura de uma pessoa é exemplo de variável quantitativa contínua, pois é obtida por medição.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Altura, peso, tempo e distância costumam ser contínuos.
Qual é a diferença entre variável <b>discreta</b> e <b>contínua</b>?;A discreta é obtida por contagem. A contínua é obtida por medição.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Contou, discreta. Mediu, contínua.
O que é uma <b>variável qualitativa</b>?;É uma variável cujos valores se expressam por atributos, nomes ou categorias.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Qualitativa descreve qualidade, não quantidade.
Qual outro nome pode ser usado para <b>variável qualitativa</b>?;Alguns autores chamam as variáveis qualitativas de <b>atributos</b>.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Atributo é característica.
Quais são os dois tipos de <b>variáveis qualitativas</b>?;As variáveis qualitativas podem ser <b>nominais</b> ou <b>ordinais</b>.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Nominal apenas nomeia. Ordinal ordena.
O que é uma <b>variável qualitativa nominal</b>?;É uma variável que expressa atributos sem ordem natural entre as categorias.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Nominal é nome sem ranking.
Dê exemplos de <b>variáveis qualitativas nominais</b>.;Cor dos olhos, sexo e estado civil são exemplos de variáveis qualitativas nominais, pois não exigem ordem entre as categorias.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Cor não fica em primeiro ou segundo lugar. É só categoria.
O que é uma <b>variável qualitativa ordinal</b>?;É uma variável que expressa atributos com algum tipo de ordem entre as categorias.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Ordinal tem ordem.
Dê exemplos de <b>variáveis qualitativas ordinais</b>.;Grau de escolaridade, nível de melhora de um paciente e classe social são exemplos de variáveis qualitativas ordinais.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Baixo, médio e alto têm ordem. Logo, ordinal.
Qual é a diferença entre <b>qualitativa nominal</b> e <b>qualitativa ordinal</b>?;A nominal não possui ordem natural. A ordinal possui ordem entre as categorias.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Nominal nomeia. Ordinal organiza.
Como diferenciar rapidamente variável <b>quantitativa</b> de <b>qualitativa</b>?;Pergunte se o dado representa quantidade numérica real ou categoria. Se representa quantidade, é quantitativa. Se representa atributo, é qualitativa.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Número como medida conta. Nome como categoria classifica.
