Frente;Verso
O que são <b>medidas de dispersão</b>?;São medidas que indicam o grau de variabilidade ou espalhamento dos dados em relação a uma referência, geralmente a média.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Posição diz onde os dados estão. Dispersão diz o quanto eles se espalham.
Qual é outro nome para <b>medidas de dispersão</b>?;Também são chamadas de <b>medidas de variabilidade</b>.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Dispersão e variabilidade caminham juntas.
Qual é a função das <b>medidas de dispersão</b>?;Medir o quanto os dados se afastam entre si ou se afastam de uma medida central, como a média aritmética.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Dois grupos podem ter mesma média e dispersões muito diferentes.
Por que estudar dispersão se já temos média?;Porque a média sozinha não mostra se os dados estão concentrados ou espalhados. A dispersão revela a variabilidade escondida por trás da média.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Média igual não significa comportamento igual.
O que é <b>amplitude total</b>?;É a diferença entre o maior e o menor valor da distribuição.<br><br><i>Fonte: Análise Exploratória e Medidas de Dispersão</i><hr><b>BIZU:</b> Amplitude é a distância entre as pontas.
Qual é a fórmula da <b>amplitude total</b>?;<b>A = maior valor - menor valor</b>.<br><br><i>Fonte: Análise Exploratória e Medidas de Dispersão</i><hr><b>BIZU:</b> Maior menos menor. Simples assim.
Qual é a amplitude do conjunto <b>4, 6, 7, 8, 10</b>?;<b>6</b>. O maior valor é 10 e o menor valor é 4. Logo, A = 10 - 4 = 6.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> A amplitude olha só as extremidades.
Qual é a limitação da <b>amplitude</b>?;Ela usa apenas o maior e o menor valor, ignorando como os demais dados estão distribuídos.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Amplitude é rápida, mas é superficial.
O que é <b>variância</b>?;Variância é a média aritmética dos quadrados dos desvios em relação à média.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Variância mede afastamento ao quadrado.
O que é <b>desvio</b> em relação à média?;É a diferença entre cada valor da série e a média aritmética. Em fórmula, desvio = xi - x̄.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Desvio mostra quanto cada valor se afastou da média.
Por que a variância usa <b>quadrados dos desvios</b>?;Porque os desvios positivos e negativos se anulariam se fossem apenas somados. Ao elevar ao quadrado, todos ficam positivos e a dispersão pode ser medida.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Quadrado impede cancelamento.
Qual é a ideia do <b>método dos desvios</b> para calcular variância?;Calcular a média, encontrar cada desvio xi - x̄, elevar cada desvio ao quadrado, somar os quadrados e dividir pela quantidade de elementos.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Média, desvio, quadrado, soma, divisão.
Qual é o roteiro do <b>método dos desvios</b> para dados não agrupados?;Primeiro calcule a média. Depois calcule os desvios. Em seguida eleve os desvios ao quadrado. Some os quadrados. Por fim, divida por n.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> x̄ primeiro. Sem média, não há desvio.
Qual é a fórmula da <b>variância populacional</b> pelo método dos desvios?;<b>σ² = soma de (xi - x̄)² dividido por n</b>.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> População divide por n.
O que significa <b>σ²</b>?;<b>σ²</b> representa a variância populacional.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Sigma ao quadrado é variância da população.
O que significa <b>σ</b>?;<b>σ</b> representa o desvio padrão populacional.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Sigma sem quadrado é desvio padrão.
[QUESTÃO] Calcule a variância da série <b>4, 6, 7, 8, 10</b>.;<b>4</b>. A média é 7. Os desvios são -3, -1, 0, 1 e 3. Os quadrados são 9, 1, 0, 1 e 9. A soma dos quadrados é 20. Variância = 20 / 5 = 4.<br><br><i>Fonte: Exercícios – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Desvios simétricos deixam a conta mais limpa.
Qual é o desvio padrão da série <b>4, 6, 7, 8, 10</b>, sabendo que a variância é 4?;<b>2</b>. O desvio padrão é a raiz quadrada da variância. Logo, raiz de 4 = 2.<br><br><i>Fonte: Exercícios – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Desvio padrão tira a raiz da variância.
[QUESTÃO] Calcule a variância da série <b>2, 2, 2, 2, 2</b>.;<b>0</b>. Todos os valores são iguais à média. Portanto, todos os desvios são zero e a variância é zero.<br><br><i>Fonte: Exercícios – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Sem variação, sem dispersão.
Qual é o desvio padrão da série <b>2, 2, 2, 2, 2</b>?;<b>0</b>. Se a variância é zero, o desvio padrão também é zero.<br><br><i>Fonte: Exercícios – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Dados todos iguais têm DP zero.
O que significa variância igual a <b>zero</b>?;Significa que todos os valores da série são iguais. Não há dispersão em torno da média.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Variância zero é igualdade total.
[QUESTÃO] O desvio padrão do conjunto <b>A = {6, 10, 4, 8, 7}</b> é quanto?;<b>2</b>. A média é 7. Os desvios são -1, 3, -3, 1 e 0. Os quadrados somam 20. Variância = 20 / 5 = 4. Desvio padrão = raiz de 4 = 2.<br><br><i>Fonte: Exercícios – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Primeiro ache a variância. Depois tire a raiz.
Qual conceito a questão do conjunto <b>{6, 10, 4, 8, 7}</b> testa?;Ela testa cálculo de desvio padrão a partir da variância obtida pelo método dos desvios.<br><br><i>Fonte: Exercícios – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Desvio padrão é consequência da variância.
O que é <b>desvio padrão</b>?;Desvio padrão é a raiz quadrada da variância.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Variância ao quadrado. Desvio padrão volta pela raiz.
Qual é o objetivo do <b>desvio padrão</b> no material?;Determinar o erro da média, isto é, indicar o afastamento típico dos dados em relação à média.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> DP mostra o afastamento típico.
Por que o <b>desvio padrão</b> é mais interpretável que a variância?;Porque o desvio padrão volta para a unidade original da variável, enquanto a variância fica na unidade ao quadrado.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> DP fala a língua dos dados. Variância fala ao quadrado.
Qual é a fórmula do <b>desvio padrão</b>?;<b>σ = raiz quadrada de σ²</b>.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Desvio padrão é a raiz da variância.
Se a variância é <b>9</b>, qual é o desvio padrão?;<b>3</b>. O desvio padrão é a raiz quadrada de 9.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Variância 9 vira DP 3.
Se a variância é <b>16</b>, qual é o desvio padrão?;<b>4</b>. O desvio padrão é a raiz quadrada de 16.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Variância quadrada perfeita facilita.
Se o desvio padrão é <b>5</b>, qual é a variância?;<b>25</b>. A variância é o quadrado do desvio padrão. Logo, 5² = 25.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> DP para variância é elevar ao quadrado.
Se o desvio padrão é <b>3</b>, qual é a variância?;<b>9</b>. A variância é 3² = 9.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Sigma ao quadrado é variância.
Qual é o <b>método das médias</b> para calcular variância?;É o método que calcula a variância pela diferença entre a média dos quadrados e o quadrado da média.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Média dos quadrados menos quadrado da média.
Qual é a fórmula da variância pelo <b>método das médias</b>?;<b>Variância = média dos quadrados - quadrado da média</b>.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> E de X ao quadrado menos E de X ao quadrado.
Quando o <b>método das médias</b> é útil?;Ele é útil quando o enunciado fornece soma dos valores, soma dos quadrados ou facilita o cálculo da média dos quadrados.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Se apareceu soma de x², pense no método das médias.
O que é <b>média dos quadrados</b>?;É a média aritmética dos valores elevados ao quadrado.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Primeiro quadrado, depois média.
Como calcular a <b>média dos quadrados</b>?;Eleve cada valor ao quadrado, some os quadrados e divida pela quantidade de elementos.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> x² médio é soma de x² dividida por n.
[QUESTÃO] Para a série <b>4, 6, 7, 8, 10</b>, calcule a variância pelo método das médias.;<b>4</b>. Média = 7. Quadrados: 16, 36, 49, 64 e 100. Soma dos quadrados = 265. Média dos quadrados = 265 / 5 = 53. Variância = 53 - 7² = 53 - 49 = 4.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Dois métodos diferentes chegam à mesma variância.
Qual é a diferença entre o <b>método dos desvios</b> e o <b>método das médias</b>?;O método dos desvios usa os afastamentos xi - x̄. O método das médias usa média dos quadrados menos quadrado da média.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Desvios olha distância. Médias olha x².
Qual método de variância usar quando a questão fornece <b>soma de xi</b> e <b>soma de xi²</b>?;Use o método das médias, pois ele aproveita diretamente a soma dos valores e a soma dos quadrados.<br><br><i>Fonte: Exercícios – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Soma de x e soma de x² é convite para método das médias.
