Frente;Verso
O que é uma <b>potência</b>?;É uma forma abreviada de representar multiplicações repetidas de uma mesma base.<br><br>Exemplo: 2³ = 2 × 2 × 2 = 8.<br><br><i>Fonte: Aula Bônus 8 — Potenciação</i><hr><b>BIZU:</b> Potência é multiplicação repetida em versão compacta.
Em uma potência, o que é a <b>base</b>?;É o número que será repetido na multiplicação.<br><br>Exemplo: em 5³, a base é 5.<br><br><i>Fonte: Aula Bônus 8 — Potenciação</i><hr><b>BIZU:</b> Base é o número que fica embaixo sustentando a potência.
Em uma potência, o que é o <b>expoente</b>?;É o número que indica quantas vezes a base será usada como fator.<br><br>Exemplo: em 5³, o expoente é 3, então 5 aparece três vezes: 5 × 5 × 5.<br><br><i>Fonte: Aula Bônus 8 — Potenciação</i><hr><b>BIZU:</b> Expoente manda na repetição.
Como calcular uma potência com <b>expoente positivo</b>?;Multiplique a base por ela mesma a quantidade de vezes indicada pelo expoente.<br><br>Exemplo: 3⁴ = 3 × 3 × 3 × 3 = 81.<br><br><i>Fonte: Aula Bônus 8 — Potenciação</i><hr><b>BIZU:</b> Expoente positivo manda multiplicar.
Quanto é 3³?;3³ = 3 × 3 × 3 = 27.<br><br><i>Fonte: Aula Bônus 8 — Exercícios de Potenciação</i><hr><b>BIZU:</b> 3³ é cubo clássico: 27.
Quanto é 5³?;5³ = 5 × 5 × 5 = 125.<br><br><i>Fonte: Aula Bônus 8 — Exercícios de Potenciação</i><hr><b>BIZU:</b> 5³ = 125. Decore porque aparece muito em contas com 1000.
Quanto é 5⁴?;5⁴ = 5 × 5 × 5 × 5 = 625.<br><br><i>Fonte: Aula Bônus 8 — Exercícios de Potenciação</i><hr><b>BIZU:</b> 5⁴ = 625. Esse número conversa com raiz quadrada: √625 = 25.
Qual é a regra do <b>expoente negativo</b>?;Quando o expoente é negativo, invertemos a base e tornamos o expoente positivo.<br><br>Exemplo: 2⁻² = 1/2² = 1/4.<br><br><i>Fonte: Aula Bônus 8 — Expoente negativo</i><hr><b>BIZU:</b> Expoente negativo não deixa o resultado automaticamente negativo. Ele manda inverter.
Quanto é 7⁻²?;7⁻² = 1/7² = 1/49.<br><br><i>Fonte: Aula Bônus 8 — Exercícios de Potenciação</i><hr><b>BIZU:</b> Negativo no expoente vira inverso, não sinal negativo.
Quanto é 2⁻⁵?;2⁻⁵ = 1/2⁵ = 1/32.<br><br><i>Fonte: Aula Bônus 8 — Exercícios de Potenciação</i><hr><b>BIZU:</b> 2⁵ = 32, então 2⁻⁵ = 1/32.
Quanto é 2⁻⁴?;2⁻⁴ = 1/2⁴ = 1/16.<br><br><i>Fonte: Aula Bônus 8 — Exercícios de Potenciação</i><hr><b>BIZU:</b> Expoente negativo empurra a potência para o denominador.
Quanto é 5⁻²?;5⁻² = 1/5² = 1/25.<br><br><i>Fonte: Aula Bônus 8 — Exercícios de Potenciação</i><hr><b>BIZU:</b> 5² = 25, logo 5⁻² = 1/25.
Quanto é (1/2)⁻²?;(1/2)⁻² = 2² = 4.<br><br><i>Fonte: Aula Bônus 8 — Expoente negativo</i><hr><b>BIZU:</b> Fração com expoente negativo vira de cabeça para baixo.
Quanto é 0,3⁻³?;0,3 = 3/10. Então 0,3⁻³ = (10/3)³ = 1000/27.<br><br><i>Fonte: Aula Bônus 8 — Expoente negativo</i><hr><b>BIZU:</b> Decimal com expoente negativo fica mais seguro quando vira fração.
O que acontece quando o expoente é <b>1</b>?;A potência é a própria base.<br><br>Exemplo: 100¹ = 100.<br><br><i>Fonte: Aula Bônus 8 — Expoente igual a 1</i><hr><b>BIZU:</b> Expoente 1 não muda nada.
Quanto é 2¹?;2¹ = 2.<br><br><i>Fonte: Aula Bônus 8 — Expoente igual a 1</i><hr><b>BIZU:</b> Todo número elevado a 1 permanece ele mesmo.
Quanto é 4¹?;4¹ = 4.<br><br><i>Fonte: Aula Bônus 8 — Expoente igual a 1</i><hr><b>BIZU:</b> Expoente 1 é identidade.
O que acontece quando o expoente é <b>0</b>?;Toda base diferente de zero elevada a 0 vale 1.<br><br>Exemplo: 7⁰ = 1.<br><br><i>Fonte: Aula Bônus 8 — Expoente igual a 0</i><hr><b>BIZU:</b> Qualquer base não nula elevada a zero vira 1.
