Frente;Verso
O que é um <b>arranjo</b> em análise combinatória?;É uma escolha de elementos em que a <font color="#ff4444">ordem importa</font>. Ou seja, trocar a posição dos mesmos elementos gera uma possibilidade diferente.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> Arranjo é escolha com posição. Mudou a posição, mudou o resultado.
Qual é a frase-chave do <b>arranjo</b>?;<b>A ordem importa</b>.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> Arranjo tem cadeira marcada. Quem senta em qual lugar faz diferença.
Em um arranjo, trocar a ordem dos elementos gera nova possibilidade?;<b>Sim</b>. Se os mesmos elementos aparecem em outra ordem e isso muda o resultado, estamos diante de arranjo.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> ABC e BAC são diferentes quando há ordem.
Qual é a fórmula do <b>arranjo simples</b>?;<b>A(n,p) = n! / (n - p)!</b>. Ela conta formas de escolher e ordenar p elementos entre n, sem repetição.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> Arranjo simples é fatorial cortado. Escolhe e já coloca em posição.
Na fórmula <b>A(n,p)</b>, o que significa <b>n</b>?;<b>n</b> é o total de elementos disponíveis para escolha.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> n é o estoque inicial.
Na fórmula <b>A(n,p)</b>, o que significa <b>p</b>?;<b>p</b> é a quantidade de posições ou elementos que serão escolhidos e ordenados.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> p é o número de vagas que serão preenchidas.
Quando devo usar <b>arranjo simples</b>?;Use quando a ordem importa e não há repetição dos elementos escolhidos. Exemplo: classificação em primeiro, segundo e terceiro lugar, senhas com caracteres distintos, placas sem repetição.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> Ordem importa e não repete, use arranjo simples.
Quando devo usar <b>arranjo com repetição</b>?;Use quando a ordem importa e os elementos podem se repetir. Exemplo: senha de 3 caracteres em que a mesma letra pode aparecer mais de uma vez.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> Ordem importa e repete, use potência.
Qual é a fórmula do <b>arranjo com repetição</b>?;<b>n^p</b>, em que n é o número de opções para cada posição e p é o número de posições.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> Repetição permitida mantém n em todas as casas.
Por que o arranjo com repetição vira <b>potência</b>?;Porque cada posição continua tendo o mesmo número de opções. Se há n opções em cada uma das p posições, multiplicamos n por ele mesmo p vezes, formando n^p.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> Mesma quantidade repetida várias vezes vira potência.
Qual é a diferença entre <b>arranjo simples</b> e <b>arranjo com repetição</b>?;Nos dois, a ordem importa. No arranjo simples, o elemento usado não volta. No arranjo com repetição, o elemento pode ser usado novamente.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> A diferença não é a ordem. A diferença é repetir ou não repetir.
Qual é a diferença entre <b>arranjo</b> e <b>combinação</b>?;No arranjo, a ordem importa. Na combinação, a ordem não importa. Se trocar a ordem muda o resultado, é arranjo. Se não muda, é combinação.<br><br><i>Fonte: Análise Combinatória – Arranjo e Combinação</i><hr><b>BIZU:</b> Arranjo tem pódio. Combinação tem grupo.
Como usar o teste da ordem para diferenciar <b>arranjo</b> e <b>combinação</b>?;Monte um exemplo com elementos diferentes. Depois troque apenas a ordem desses mesmos elementos. Se o resultado mudar, é arranjo. Se continuar igual, é combinação.<br><br><i>Fonte: Análise Combinatória – Passos para identificar arranjo ou combinação</i><hr><b>BIZU:</b> Troque a ordem, não troque os elementos.
Por que <b>senha</b> costuma indicar arranjo?;Porque em uma senha a posição dos caracteres importa. A senha ABC é diferente da senha BAC.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> Senha tem posição. Posição mudou, senha mudou.
Por que <b>placa de automóvel</b> costuma indicar arranjo?;Porque os caracteres ocupam posições específicas. Trocar uma letra ou algarismo de posição normalmente gera outra placa.<br><br><i>Fonte: Análise Combinatória – Arranjo</i><hr><b>BIZU:</b> Placa é sequência. Sequência respeita ordem.
