Frente;Verso
O que são <b>dados agrupados</b> em medidas de dispersão?;São dados apresentados em tabela de frequência. Cada valor ou classe vem acompanhado da quantidade de vezes que aparece.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Em tabela, frequência pesa o cálculo.
Qual é a diferença entre calcular variância em dados soltos e em dados agrupados?;Nos dados soltos, cada valor aparece individualmente. Nos dados agrupados, cada valor ou ponto médio deve ser considerado junto com sua frequência.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Agrupou, frequência virou peso.
Em dados agrupados por ponto, o que usamos como <b>xi</b>?;Usamos o próprio valor apresentado na tabela.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Por ponto tem valor exato.
Em dados agrupados em classe, o que usamos como <b>xi</b>?;Usamos o ponto médio da classe.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Em classe, o ponto médio representa a faixa.
Qual é o primeiro passo para calcular variância em dados agrupados?;Calcular a média da distribuição.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Sem média, não existe desvio.
Como calcular a média em dados agrupados por ponto?;Multiplique cada xi por sua frequência fi, some os produtos e divida pela soma das frequências.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Média agrupada é xi vezes fi sobre soma de fi.
Como calcular a média em dados agrupados em classe?;Calcule o ponto médio de cada classe, multiplique cada ponto médio por sua frequência, some os produtos e divida pela soma das frequências.<br><br><i>Fonte: Medidas de Dispersão – Variância e Desvio Padrão</i><hr><b>BIZU:</b> Classe precisa de ponto médio antes da média.
No método dos desvios para dados agrupados, o que fazemos depois de achar a média?;Calculamos o desvio de cada valor em relação à média, usando xi menos média.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Desvio é afastamento em relação ao centro.
Qual é a fórmula do <b>desvio</b> em relação à média?;<b>desvio = xi - x̄</b>.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Valor menos média.
Depois de calcular os desvios em dados agrupados, qual é o próximo passo?;Elevar cada desvio ao quadrado.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Quadrado elimina sinal negativo.
Por que elevamos os desvios ao quadrado?;Porque desvios positivos e negativos poderiam se anular. O quadrado transforma todos em valores não negativos.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Quadrado impede cancelamento.
Em dados agrupados, depois de calcular <b>desvio²</b>, o que fazemos?;Multiplicamos cada desvio ao quadrado pela frequência correspondente.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Cada desvio vale quantas vezes a frequência mandar.
Qual é a fórmula da variância populacional para dados agrupados pelo método dos desvios?;<b>σ² = soma de fi × (xi - x̄)² dividido por soma de fi</b>.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Desvio ao quadrado ponderado pela frequência.
Qual é o denominador da variância populacional em dados agrupados?;É a soma das frequências, isto é, o total de elementos da distribuição.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> População divide pelo total n.
Qual é o denominador da variância amostral em dados agrupados?;É n menos 1, isto é, soma das frequências menos 1.<br><br><i>Fonte: Medidas de Dispersão – Variância Amostral</i><hr><b>BIZU:</b> Amostra perde 1 no denominador.
Qual é o roteiro do método dos desvios para dados agrupados?;Calcule a média. Calcule cada desvio. Eleve cada desvio ao quadrado. Multiplique por fi. Some tudo. Divida por n ou por n menos 1 conforme o caso.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Média, desvio, quadrado, frequência, soma, divisão.
Em uma tabela com <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, qual é o total n?;<b>4</b>. Soma das frequências: 1 + 2 + 1 = 4.<br><br><i>Fonte: Medidas de Dispersão – Dados agrupados</i><hr><b>BIZU:</b> n é soma de fi, não número de linhas.
Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, qual é a média?;<b>4</b>. Soma ponderada = 2×1 + 4×2 + 6×1 = 16. Total n = 4. Média = 16 / 4 = 4.<br><br><i>Fonte: Medidas de Dispersão – Dados agrupados</i><hr><b>BIZU:</b> Frequência 2 faz o valor 4 contar duas vezes.
Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, quais são os desvios em relação à média 4?;<b>-2, 0 e 2</b>. Cálculo: 2 - 4 = -2, 4 - 4 = 0, 6 - 4 = 2.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Desvio mede distância com sinal.
Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, quais são os quadrados dos desvios?;<b>4, 0 e 4</b>. Os desvios são -2, 0 e 2. Elevando ao quadrado, temos 4, 0 e 4.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> Sinal negativo desaparece no quadrado.
Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, qual é a soma de fi × desvio²?;<b>8</b>. Cálculo: 1×4 + 2×0 + 1×4 = 8.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> A frequência pesa cada quadrado de desvio.
[QUESTÃO] Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, qual é a variância populacional?;<b>2</b>. A soma de fi × desvio² é 8 e n = 4. Variância = 8 / 4 = 2.<br><br><i>Fonte: Medidas de Dispersão – Método dos Desvios</i><hr><b>BIZU:</b> População divide por n.
[QUESTÃO] Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, qual é o desvio padrão populacional?;<b>raiz de 2</b>. A variância é 2. Logo, o desvio padrão é √2.<br><br><i>Fonte: Medidas de Dispersão – Desvio Padrão</i><hr><b>BIZU:</b> DP é raiz da variância.
[QUESTÃO] Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, qual é a variância amostral?;<b>8/3</b>. A soma de fi × desvio² é 8. Como é amostra, dividimos por n - 1. Logo, 8 / 3.<br><br><i>Fonte: Medidas de Dispersão – Variância Amostral</i><hr><b>BIZU:</b> Amostra divide por n menos 1.
O que é o <b>método das médias</b> para variância agrupada?;É o método que calcula a variância pela diferença entre a média dos quadrados e o quadrado da média.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Média dos quadrados menos quadrado da média.
Qual é a fórmula do método das médias em dados agrupados?;<b>σ² = soma de fi × xi² dividido por soma de fi menos x̄²</b>.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Primeiro calcule a média de xi². Depois subtraia a média ao quadrado.
O que representa <b>soma de fi × xi²</b>?;Representa a soma dos quadrados dos valores, considerando a frequência de cada valor.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Quadrado também precisa respeitar frequência.
Quando o método das médias é mais rápido em dados agrupados?;Quando a tabela permite calcular facilmente xi² e fi × xi², ou quando o enunciado já fornece soma de fi × xi e soma de fi × xi².<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Se a questão deu x², use o atalho.
Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, quais são os valores de xi²?;<b>4, 16 e 36</b>. Cálculo: 2² = 4, 4² = 16, 6² = 36.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Eleve o xi antes de multiplicar por fi.
Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, qual é a soma de fi × xi²?;<b>72</b>. Cálculo: 1×4 + 2×16 + 1×36 = 72.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Quadrado do valor vezes frequência.
Na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, qual é a média dos quadrados?;<b>18</b>. Soma de fi × xi² = 72 e n = 4. Média dos quadrados = 72 / 4 = 18.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Média de quadrados é x² ponderado.
[QUESTÃO] Usando método das médias na tabela <b>xi = 2, 4, 6</b> e <b>fi = 1, 2, 1</b>, qual é a variância populacional?;<b>2</b>. Média dos quadrados = 18. Média = 4. Variância = 18 - 4² = 18 - 16 = 2.<br><br><i>Fonte: Medidas de Dispersão – Método das Médias</i><hr><b>BIZU:</b> Os dois métodos chegam ao mesmo resultado.
