Frente;Verso
[ULTRADECOREBA] Qual é a fórmula-mãe do Estatuto do Desarmamento?;O Estatuto regula <b>registro</b>, <b>posse</b>, <b>porte</b> e <b>comercialização</b> de armas de fogo e munição.<br><br><i>Fonte: Lei nº 10.826/2003</i><hr><b>BIZU:</b> <font color="#ffeb3b">RePoPoCo</font> = Registro, Posse, Porte, Comercialização.
[ULTRADECOREBA] O referendo de 2005 revogou o Estatuto do Desarmamento?;<b>Não.</b> O referendo apenas impediu a entrada em vigor da proibição geral de comercialização de arma de fogo e munição. O Estatuto continuou válido.<br><br><i>Fonte: Lei nº 10.826/2003, art. 35</i><hr><b>BIZU:</b> Referendo barrou o comércio proibido, não a lei inteira.
[ULTRADECOREBA] Onde foi instituído o Sinarm?;O Sinarm foi instituído no <font color="#00e676">Ministério da Justiça</font>, no âmbito da <font color="#00e676">Polícia Federal</font>, com circunscrição em todo o território nacional.<br><br><i>Fonte: Lei nº 10.826/2003, art. 1º</i><hr><b>BIZU:</b> Sinarm = MJ + PF + Brasil inteiro.
[ULTRADECOREBA] Qual é a função principal do Sinarm?;Cadastrar, controlar, identificar e rastrear armas de fogo, proprietários, portes, renovações, transferências, extravios, furtos, roubos, apreensões, armeiros e comerciantes autorizados.<br><br><i>Fonte: Lei nº 10.826/2003, art. 2º</i><hr><b>BIZU:</b> Sinarm é o cartório nacional das armas.
[ULTRADECOREBA] O Sinarm alcança armas das Forças Armadas e Auxiliares?;<b>Não.</b> As armas das Forças Armadas e Auxiliares seguem registros próprios.<br><br><i>Fonte: Lei nº 10.826/2003, art. 2º, parágrafo único</i><hr><b>BIZU:</b> Militar sai do Sinarm e entra na lógica do Sigma.
[ULTRADECOREBA] Quais são as Forças Auxiliares?;As <b>Polícias Militares</b> e os <b>Corpos de Bombeiros Militares</b>.<br><br><i>Fonte: CF/88, art. 144, § 6º</i><hr><b>BIZU:</b> PM e Bombeiro Militar são auxiliares do Exército.
[ULTRADECOREBA] Qual é a diferença entre Sinarm e Sigma?;O <b>Sinarm</b> é o sistema civil federal ligado à Polícia Federal. O <b>Sigma</b> é o sistema de gerenciamento militar de armas.<br><br><i>Fonte: Lei nº 10.826/2003 e normas regulamentares citadas no material</i><hr><b>BIZU:</b> Sinarm = civil. Sigma = militar.
[ULTRADECOREBA] O registro de arma de fogo é obrigatório?;<b>Sim.</b> É obrigatório o registro de arma de fogo no órgão competente.<br><br><i>Fonte: Lei nº 10.826/2003, art. 3º</i><hr><b>BIZU:</b> Arma sem registro fica fora do radar estatal.
[ULTRADECOREBA] Onde se registra arma de uso permitido?;Regra geral, no <font color="#00e676">Sinarm</font>, sob gestão da Polícia Federal.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 1º e 3º</i><hr><b>BIZU:</b> Permitida = Sinarm.
[ULTRADECOREBA] Onde se registra arma de uso restrito?;No <font color="#00e676">Comando do Exército</font>, na forma do regulamento.<br><br><i>Fonte: Lei nº 10.826/2003, art. 3º, parágrafo único</i><hr><b>BIZU:</b> Restrita = Exército.
[ULTRADECOREBA] Arma de uso permitido significa arma livre?;<b>Não.</b> Significa arma cujo uso é possível mediante autorização, registro e cumprimento dos requisitos legais.<br><br><i>Fonte: Lei nº 10.826/2003</i><hr><b>BIZU:</b> Permitida não é liberada. É autorizável.
[ULTRADECOREBA] Arma automática pode ser de uso permitido?;<b>Não.</b> O material destaca que arma automática nunca será de uso permitido, podendo ser restrita ou proibida.<br><br><i>Fonte: Material Estratégia, classificação das armas</i><hr><b>BIZU:</b> Automática lembra rajada. Rajada não combina com uso permitido.
[ULTRADECOREBA] O que é arma de porte?;É a arma que pode ser disparada com apenas uma mão, como pistola e revólver.<br><br><i>Fonte: Material Estratégia, classificação das armas</i><hr><b>BIZU:</b> Porte = cabe na mão.
[ULTRADECOREBA] O que é arma portátil?;É a arma que pode ser transportada por uma pessoa, como espingarda, fuzil ou carabina.<br><br><i>Fonte: Material Estratégia, classificação das armas</i><hr><b>BIZU:</b> Portátil = uma pessoa transporta.
[ULTRADECOREBA] Arma de porte e arma portátil são a mesma coisa?;<b>Não.</b> Arma de porte é disparável com uma mão. Arma portátil é transportável por uma pessoa.<br><br><i>Fonte: Material Estratégia, classificação das armas</i><hr><b>BIZU:</b> Porte = uma mão. Portátil = uma pessoa.
[ULTRADECOREBA] O certificado de registro autoriza porte?;<b>Não.</b> O certificado de registro autoriza apenas manter a arma na residência, dependências ou local de trabalho próprio, não circular armado.<br><br><i>Fonte: Lei nº 10.826/2003, art. 5º</i><hr><b>BIZU:</b> Registro = manter. Porte = circular.
