Frente;Verso
O que é a <b>negação lógica</b> de uma proposição?;É uma proposição que possui valor lógico oposto ao da proposição original.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Quando a original é V, a negação é F. Quando a original é F, a negação é V.
Como saber se duas proposições são <b>negações</b> uma da outra pela tabela-verdade?;Elas devem ter tabelas-verdade exatamente opostas. Onde uma é verdadeira, a outra deve ser falsa.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negação é coluna final invertida.
Qual é a diferença entre <b>equivalência lógica</b> e <b>negação lógica</b>?;Na equivalência, as proposições têm os mesmos valores lógicos. Na negação, os valores lógicos são opostos.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Equivalente copia. Negação inverte.
Qual é a regra da negação do <b>E</b>?;<b>¬(p ∧ q) ≡ ¬p ∨ ¬q</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Nega tudo e troca E por OU.
Como o material chama a regra da negação do <b>E</b> e do <b>OU</b>?;<b>Distributiva com inversão do conectivo</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Distribui a negação e inverte a cola.
O que significa <b>distributiva com inversão do conectivo</b>?;Significa que a negação entra em cada proposição simples e o conectivo é trocado. E vira OU, OU vira E.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negou por dentro, trocou a ponte.
A negação de <b>p ∧ q</b> é qual?;<b>¬p ∨ ¬q</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Não p ou não q.
A negação de <b>João estuda e Maria trabalha</b> é qual?;<b>João não estuda ou Maria não trabalha</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Para negar o E, basta uma parte falhar.
Por que a negação de <b>p e q</b> não é <b>¬p e ¬q</b>?;Porque negar que as duas coisas acontecem juntas significa que pelo menos uma delas não acontece, e não necessariamente que as duas deixam de acontecer.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Negar “os dois” não obriga “nenhum dos dois”.
A negação de <b>Ana é feliz e Beatriz é triste</b> é qual?;<b>Ana não é feliz ou Beatriz não é triste</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> E vira OU, e cada frase é negada.
A negação de <b>Bruno é agente penitenciário e Maria é policial</b> é qual?;<b>Bruno não é agente penitenciário ou Maria não é policial</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Uma das duas falhando já nega a conjunção.
A negação de <b>Sou estudioso e passo no concurso público</b> é qual?;<b>Não sou estudioso ou não passo no concurso público</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negação do E sempre abre para o OU.
Qual é a regra da negação do <b>OU</b>?;<b>¬(p ∨ q) ≡ ¬p ∧ ¬q</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Nega tudo e troca OU por E.
A negação de <b>p ∨ q</b> é qual?;<b>¬p ∧ ¬q</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Não p e não q.
A negação de <b>João estuda ou Maria trabalha</b> é qual?;<b>João não estuda e Maria não trabalha</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Para negar o OU, nenhuma das opções pode ocorrer.
Por que a negação de <b>p ou q</b> exige <b>¬p e ¬q</b>?;Porque o OU inclusivo é verdadeiro quando pelo menos uma parte ocorre. Para negar isso, as duas partes precisam não ocorrer.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Para derrubar o OU, derrube os dois lados.
A negação de <b>José é velocista ou Marta não é enfermeira</b> é qual?;<b>José não é velocista e Marta é enfermeira</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negue José é velocista e negue Marta não é enfermeira.
A negação de <b>Paraí é quente ou estamos no verão</b> é qual?;<b>Paraí não é quente e não estamos no verão</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> OU vira E.
A negação de <b>p ∨ ¬q</b> é qual?;<b>¬p ∧ q</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negue p e negue ¬q. Duplo não vira q.
A negação de <b>¬p ∨ q</b> é qual?;<b>p ∧ ¬q</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> O primeiro lado já está negado, então volta positivo.
A negação de <b>¬p ∨ ¬q</b> é qual?;<b>p ∧ q</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Dupla negação cancela nos dois lados.
Qual é a regra da negação do <b>ENTÃO</b>?;<b>¬(p → q) ≡ p ∧ ¬q</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Mantém a primeira e nega a segunda.
Como o material chama a negação do <b>ENTÃO</b>?;<b>Regra do Amante</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Amante mantém a primeira e nega a segunda.
O que significa a <b>Regra do Amante</b>?;Na negação do condicional, mantém-se o antecedente e nega-se o consequente. Assim, ¬(p → q) vira p ∧ ¬q.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Mantém p, nega q, coloca E.
A negação de <b>Se estudo, então passo</b> é qual?;<b>Estudo e não passo</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> O jeito de negar promessa é mostrar promessa quebrada.
Por que a negação de <b>se p, então q</b> é <b>p e não q</b>?;Porque o condicional só é falso quando p é verdadeiro e q é falso.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> A negação do então é exatamente seu único caso falso.
A negação de <b>Se estiver chovendo, eu levo o guarda-chuva</b> é qual?;<b>Está chovendo e eu não levo o guarda-chuva</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Choveu e não levou. Promessa quebrada.
A negação de <b>Se Carlos faz o que gosta, então ele é feliz</b> é qual?;<b>Carlos faz o que gosta e não é feliz</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Mantenha o antecedente, negue o consequente.
A negação de <b>Se moro em Novo Horizonte, então sou uma pessoa feliz</b> é qual?;<b>Moro em Novo Horizonte e não sou uma pessoa feliz</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> No então, não troque por outro então.
Qual é o erro mais comum ao negar o <b>ENTÃO</b>?;Criar outro condicional, como “se não q, então não p”. Isso é contrapositiva, não negação.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negação do então não tem seta. Tem E.
A negação de <b>p → ¬q</b> é qual?;<b>p ∧ q</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Mantém p e nega ¬q.
A negação de <b>¬p → q</b> é qual?;<b>¬p ∧ ¬q</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Mantém o antecedente como está e nega o consequente.
A negação de <b>¬p → ¬q</b> é qual?;<b>¬p ∧ q</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Só a segunda parte troca de sinal.
A negação de <b>p → (q ∧ r)</b> é qual?;<b>p ∧ (¬q ∨ ¬r)</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Primeiro Amante, depois nega o E interno.
A negação de <b>Se José estuda com persistência, então ele faz boa prova e fica satisfeito</b> é qual?;<b>José estuda com persistência e não faz boa prova ou não fica satisfeito</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negue o consequente composto: não boa prova ou não satisfeito.
Por que a negação de <b>p → (q ∧ r)</b> não é simplesmente <b>p ∧ ¬q ∧ ¬r</b>?;Porque negar q ∧ r resulta em ¬q ∨ ¬r, não em ¬q ∧ ¬r.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Negar “q e r” exige que pelo menos uma falhe.
A negação de <b>p → (q ∨ r)</b> é qual?;<b>p ∧ ¬q ∧ ¬r</b>.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Amante primeiro, depois nega o OU interno.
A negação de <b>P → (Q → R)</b> é qual?;<b>P ∧ Q ∧ ¬R</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negue de fora para dentro: P e negação de Q então R.
Como negar <b>¬[P → (Q → R)]</b>?;<b>P ∧ Q ∧ ¬R</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> O então interno também cai pela Regra do Amante.
Qual é a regra da negação do <b>SE E SOMENTE SE</b>?;<b>¬(p ↔ q) ≡ p ⊻ q</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negar igualdade lógica vira diferença lógica.
Como o material resume a negação do <b>SE E SOMENTE SE</b>?;A negação do “se e somente se” vira “ou...ou”, apenas trocando o conectivo.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> ↔ negado vira OU exclusivo.
A negação de <b>p ↔ q</b> é qual?;<b>p ⊻ q</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Se e somente se negado vira ou...ou.
A negação de <b>João estuda se e somente se Maria passa</b> é qual?;<b>Ou João estuda ou Maria passa</b>, no sentido exclusivo.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> O bicondicional queria valores iguais. A negação quer valores diferentes.
Por que negar <b>p ↔ q</b> gera <b>p ⊻ q</b>?;Porque o bicondicional é verdadeiro quando os valores são iguais. Sua negação é verdadeira quando os valores são diferentes.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Igualdade negada é diferença.
A negação de <b>João não estuda se e somente se fica no celular</b> é qual?;<b>Ou João não estuda ou fica no celular</b>, em sentido exclusivo.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Só troca o conectivo. As frases permanecem.
Na negação do <b>SE E SOMENTE SE</b>, devemos negar as proposições internas?;<b>Não</b>. Segundo o material, apenas trocamos o conectivo para OU...OU.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Aqui não é distributiva. É troca de conectivo.
Qual é a regra da negação do <b>OU...OU</b> exclusivo?;<b>¬(p ⊻ q) ≡ p ↔ q</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Negar diferença lógica vira igualdade lógica.
Como o material resume a negação do <b>OU...OU</b>?;A negação do “ou...ou” vira “se e somente se”, apenas trocando o conectivo.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> OU exclusivo negado vira ↔.
A negação de <b>Ou é inverno em Gramado ou não faz frio</b> é qual?;<b>É inverno em Gramado se e somente se não faz frio</b>.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> OU...OU negado vira se e somente se.
Por que negar o <b>OU...OU</b> gera bicondicional?;Porque o OU exclusivo é verdadeiro quando os lados são diferentes. Sua negação é verdadeira quando os lados são iguais.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Diferença negada é igualdade.
Na negação do <b>OU...OU</b>, devemos negar as proposições internas?;<b>Não</b>. Segundo o material, apenas trocamos o conectivo para “se e somente se”.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Não mexa nas frases, troque a cola.
Qual é a diferença entre negar <b>OU</b> inclusivo e negar <b>OU...OU</b> exclusivo?;Negar OU inclusivo vira E com as duas partes negadas. Negar OU exclusivo vira bicondicional, mantendo as partes.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> OU comum usa De Morgan. OU exclusivo troca para ↔.
Qual é a diferença entre negar <b>E</b> e negar <b>SE E SOMENTE SE</b>?;Negar E vira OU com as partes negadas. Negar se e somente se vira OU exclusivo mantendo as partes.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Nem todo conectivo é negado do mesmo jeito.
Qual regra usar para negar <b>p ∧ q</b>?;Use distributiva com inversão do conectivo: ¬p ∨ ¬q.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> E vira OU.
Qual regra usar para negar <b>p ∨ q</b>?;Use distributiva com inversão do conectivo: ¬p ∧ ¬q.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> OU vira E.
Qual regra usar para negar <b>p → q</b>?;Use a Regra do Amante: p ∧ ¬q.<br><br><i>Fonte: Equivalências Lógicas e Negações Lógicas</i><hr><b>BIZU:</b> Mantém a primeira e nega a segunda.
