Frente;Verso
O que é <b>amplitude</b> em Estatística?;Amplitude é a diferença entre a maior e a menor variável de uma distribuição.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Amplitude mede o tamanho do intervalo total dos dados.
Qual é outro nome para <b>amplitude</b>?;A amplitude também é chamada de <b>amplitude total</b>.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Amplitude total é do menor até o maior valor.
Qual é a fórmula da <b>amplitude</b>?;<b>A = maior valor - menor valor</b>.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Maior menos menor. Essa é a conta seca.
Quando existe o termo <b>amplitude</b> no material?;O termo amplitude aparece quando trabalhamos com dados não agrupados ou dados agrupados por ponto.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Amplitude total olha os extremos da distribuição.
Qual é a amplitude dos dados <b>2, 1, 3, 4, 4, 2, 5, 7, 7, 6, 5</b>?;<b>6</b>. O maior valor é 7 e o menor valor é 1. Logo, A = 7 - 1 = 6.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Não precisa ordenar tudo para amplitude. Basta achar menor e maior.
Qual é a amplitude do conjunto <b>2, 5, 9, 8, 7, 3, 10</b>?;<b>8</b>. O maior valor é 10 e o menor valor é 2. Logo, A = 10 - 2 = 8.<br><br><i>Fonte: Exercício de Análise Exploratória</i><hr><b>BIZU:</b> Amplitude não é soma nem média. É distância entre extremos.
Qual é a principal pegadinha em questões de <b>amplitude</b>?;A principal pegadinha é confundir amplitude com quantidade de elementos. Amplitude não conta dados. Ela calcula a diferença entre maior e menor valor.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Amplitude mede distância, não frequência.
O que é <b>intervalo de classe</b>?;Intervalo de classe é a representação de vários valores dentro de um determinado intervalo.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Classe é uma faixa de valores.
Em um intervalo de classe, o que é <b>Li</b>?;<b>Li</b> é o limite inferior da classe, ou seja, o número que aparece à esquerda do intervalo.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Li = limite inferior = lado esquerdo.
Em um intervalo de classe, o que é <b>Ls</b>?;<b>Ls</b> é o limite superior da classe, ou seja, o número que aparece à direita do intervalo.<br><br><i>Fonte: Análise Exploratória de Dados</i><hr><b>BIZU:</b> Ls = limite superior = lado direito.
