Frente;Verso
Qual é a primeira regra para interpretar <b>gráficos e tabelas</b> em Estatística?;Antes de calcular, identifique o que o gráfico ou tabela está mostrando: total, partes, categorias, tempo, frequência, percentual ou comparação entre grupos.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Primeiro leia a estrutura. Depois faça a conta.
O que uma questão de <b>interpretação de gráfico</b> normalmente cobra?;Ela cobra leitura correta dos dados, comparação entre valores, cálculo de porcentagens, identificação de maior ou menor valor e transformação entre percentual, fração, ângulo ou quantidade.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Gráfico não é desenho. É tabela visual.
O que uma questão de <b>interpretação de tabela</b> normalmente cobra?;Ela cobra localizar linhas e colunas corretas, somar totais, comparar categorias, calcular percentuais e perceber se o denominador é o total geral ou apenas um subgrupo.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Em tabela, o denominador muda conforme a pergunta.
Qual é a maior pegadinha em questões com <b>porcentagem em tabelas</b>?;A maior pegadinha é usar o total errado no denominador. Às vezes a pergunta pede percentual dentro de um grupo, e não sobre o total geral.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Pergunte sempre: porcentagem de quê?
Qual é a maior pegadinha em questões com <b>gráfico de setores</b>?;A maior pegadinha é esquecer que o círculo inteiro representa 100% ou 360 graus. Cada setor representa uma parte proporcional do total.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Pizza inteira = 100% = 360°.
Em um <b>gráfico de setores</b>, quanto vale o círculo inteiro em graus?;<b>360 graus</b>.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Gráfico circular sempre gira em 360°.
Em um <b>gráfico de setores</b>, quanto representa 50% do total em graus?;<b>180 graus</b>, pois 50% de 360° é 180°.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Metade da pizza = meia volta.
Em um <b>gráfico de setores</b>, quanto representa 25% do total em graus?;<b>90 graus</b>, pois 25% de 360° é 90°.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Um quarto da pizza = ângulo reto.
Em um <b>gráfico de setores</b>, como converter ângulo em percentual?;Divida o ângulo por 360 e multiplique por 100.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Ângulo sobre 360 vira parte do todo.
Em um <b>gráfico de setores</b>, como converter percentual em ângulo?;Multiplique o percentual, em forma decimal, por 360 graus.<br><br><i>Fonte: Interpretação de gráficos e tabelas</i><hr><b>BIZU:</b> Percentual vezes 360 vira setor.
