Frente;Verso
Quais são as <b>3 hipóteses de inadmissão</b> da interceptação telefônica?;A interceptação não será admitida quando:<br>• não houver indícios razoáveis de autoria ou participação em infração penal<br>• a prova puder ser feita por outros meios disponíveis<br>• o fato investigado constituir infração penal punida, no máximo, com detenção<br><br><i>Fonte: Lei nº 9.296/96, art. 2º</i><hr><b>BIZU:</b> Fórmula da inadmissão: <font color="#ff4444">sem indícios</font>, <font color="#ff4444">com outro meio</font>, <font color="#ff4444">crime só de detenção</font>.
Quais são os <b>3 requisitos positivos</b> para admitir interceptação telefônica?;A interceptação exige:<br>• <font color="#00e676">indícios razoáveis</font> de autoria ou participação<br>• <font color="#00e676">necessidade</font>, pois a prova não pode ser feita por outros meios disponíveis<br>• infração penal punida com <font color="#00e676">reclusão</font><br><br><i>Fonte: Lei nº 9.296/96, art. 2º</i><hr><b>BIZU:</b> Para autorizar, pense em <font color="#ffeb3b">I N R</font>: indícios, necessidade e reclusão.
A interceptação telefônica pode ser autorizada sem indícios razoáveis de autoria ou participação?;<font color="#ff4444"><b>Não.</b></font> A ausência de indícios razoáveis de autoria ou participação impede a interceptação.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, I</i><hr><b>BIZU:</b> Interceptação não é pescaria probatória. Primeiro precisa de indício.
O que significa exigir <b>indícios razoáveis</b> para interceptação telefônica?;Significa que deve haver base mínima concreta indicando autoria ou participação em infração penal, não mera suspeita vaga ou curiosidade investigativa.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, I</i><hr><b>BIZU:</b> Indício razoável é ponto de partida concreto, não palpite.
A interceptação telefônica pode ser usada como primeiro recurso investigativo automático?;<font color="#ff4444"><b>Não.</b></font> Ela é meio excepcional e subsidiário. Não será admitida se a prova puder ser feita por outros meios disponíveis.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, II</i><hr><b>BIZU:</b> Interceptação é último caminho, não primeira marcha.
O que significa a <b>subsidiariedade</b> da interceptação telefônica?;Significa que a interceptação só deve ser usada quando a prova não puder ser obtida por outros meios disponíveis e menos invasivos.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, II</i><hr><b>BIZU:</b> Se há caminho menos invasivo, o grampo espera.
A interceptação telefônica é admitida para crime punido apenas com <b>detenção</b>?;<font color="#ff4444"><b>Não.</b></font> A lei não admite interceptação quando o fato investigado constituir infração penal punida, no máximo, com detenção.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, III</i><hr><b>BIZU:</b> Palavra-chave de prova: <font color="#ff4444">detenção bloqueia</font>.
A interceptação telefônica exige crime punido com <b>reclusão</b>?;<b>Sim.</b> Pela leitura do art. 2º, III, a interceptação é cabível para infrações penais punidas com reclusão, desde que presentes os demais requisitos.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, III</i><hr><b>BIZU:</b> Reclusão abre a porta. Detenção fecha a porta.
O quantum da pena de reclusão importa para cabimento da interceptação telefônica?;<b>Em regra, não.</b> O requisito legal é que o crime seja punido com reclusão, não que tenha pena máxima superior a determinado número de anos.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, III</i><hr><b>BIZU:</b> Na interceptação telefônica, o filtro é a espécie da pena: reclusão.
A interceptação telefônica pode ser autorizada para contravenção penal?;<font color="#ff4444"><b>Não.</b></font> Contravenções não são punidas com reclusão e não satisfazem o requisito do art. 2º, III.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, III</i><hr><b>BIZU:</b> Contravenção fica fora do grampo telefônico.
A interceptação telefônica pode gerar prova sobre crime punido com detenção?;<b>Sim, em situação específica.</b> Se a interceptação foi lícita para crime punido com reclusão, as informações podem subsidiar denúncia por crime conexo punido com detenção.<br><br><i>Fonte: STF, HC 83515 RS, citado no PDF</i><hr><b>BIZU:</b> Não se começa pelo crime de detenção. Mas ele pode aparecer conectado ao crime de reclusão.
Qual é a regra do STF sobre crime de detenção conexo descoberto em interceptação lícita?;O STF admite que prova colhida em interceptação lícita, fundamentada e voltada a crime punido com reclusão, subsidie denúncia por crime punido com detenção quando houver conexão.<br><br><i>Fonte: STF, HC 83515 RS, citado no PDF</i><hr><b>BIZU:</b> Reclusão autoriza a diligência. Detenção conexa pode aproveitar o resultado.
Por que não seria razoável descartar crime de detenção conexo descoberto em interceptação lícita?;Porque a interceptação foi autorizada legalmente para crime de reclusão. Se durante a diligência surgem crimes conexos de detenção, a prova pode ser aproveitada para evitar interpretação absurda e fragmentada da investigação.<br><br><i>Fonte: STF, HC 83515 RS, citado no PDF</i><hr><b>BIZU:</b> O que nasce lícito não vira ilícito só porque revelou crime conexo menos grave.
Qual é a diferença entre <b>autorizar interceptação para detenção</b> e <b>usar prova em detenção conexa</b>?;Autorizar interceptação diretamente para crime punido apenas com detenção é vedado. Usar prova de crime de detenção conexo é possível quando a interceptação foi validamente autorizada por crime punido com reclusão.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, III, STF, HC 83515 RS</i><hr><b>BIZU:</b> Detenção não abre a porta, mas pode entrar se estiver conectada a crime de reclusão já investigado.
A denúncia anônima, sozinha, autoriza interceptação telefônica?;<font color="#ff4444"><b>Não.</b></font> Denúncia anônima isolada não basta. É necessário que ela seja corroborada por outros elementos que confirmem a necessidade da medida.<br><br><i>Fonte: Jurisprudência citada no PDF sobre Lei nº 9.296/96</i><hr><b>BIZU:</b> Denúncia anônima pode acender alerta, mas não autoriza grampo sozinha.
Qual é o procedimento correto diante de denúncia anônima antes de pedir interceptação?;A autoridade deve realizar diligências preliminares para verificar a plausibilidade da informação e reunir elementos mínimos de autoria, participação e necessidade da medida.<br><br><i>Fonte: Jurisprudência citada no PDF sobre denúncia anônima</i><hr><b>BIZU:</b> Primeiro confirma. Depois, se necessário, pede interceptação.
A interceptação telefônica pode ser genérica ou aberta?;<font color="#ff4444"><b>Não.</b></font> A situação investigada deve ser descrita da melhor forma possível, delimitando o fato e, preferencialmente, indicando e qualificando os investigados.<br><br><i>Fonte: Comentário do PDF sobre art. 2º da Lei nº 9.296/96</i><hr><b>BIZU:</b> Interceptação não é cheque em branco.
O pedido de interceptação deve delimitar o quê?;Deve delimitar a situação investigada, demonstrar a necessidade da medida e, de preferência, indicar e qualificar os investigados.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, comentário do PDF</i><hr><b>BIZU:</b> Fato, necessidade e alvo: sem isso, vira pedido genérico.
Por que interceptações genéricas são problemáticas?;Porque violam a excepcionalidade da medida e ampliam indevidamente a invasão da intimidade, transformando a interceptação em pescaria probatória.<br><br><i>Fonte: Comentário do PDF sobre delimitação da interceptação</i><hr><b>BIZU:</b> Grampo precisa de alvo, fato e fundamento.
Quem pode determinar a interceptação telefônica?;A interceptação pode ser determinada pelo <b>juiz</b>, de ofício ou a requerimento, respeitados os requisitos legais.<br><br><i>Fonte: Lei nº 9.296/96, art. 3º</i><hr><b>BIZU:</b> Quem decide é o juiz.
O juiz pode determinar interceptação telefônica de ofício?;<b>Sim.</b> O art. 3º da Lei nº 9.296/96 prevê que o juiz pode determinar a interceptação de ofício ou a requerimento.<br><br><i>Fonte: Lei nº 9.296/96, art. 3º</i><hr><b>BIZU:</b> Atenção à literalidade da lei: art. 3º admite de ofício.
A autoridade policial pode requerer interceptação telefônica?;<b>Sim.</b> A autoridade policial pode requerer a interceptação na fase de investigação criminal.<br><br><i>Fonte: Lei nº 9.296/96, art. 3º, I</i><hr><b>BIZU:</b> Delegado pede no inquérito, não na instrução processual.
Em que fase a autoridade policial pode requerer interceptação?;A autoridade policial pode requerer interceptação apenas na <b>investigação criminal</b>.<br><br><i>Fonte: Lei nº 9.296/96, art. 3º, I</i><hr><b>BIZU:</b> Polícia pede antes da ação penal, durante a investigação.
O Ministério Público pode requerer interceptação telefônica?;<b>Sim.</b> O representante do Ministério Público pode requerer a interceptação na investigação criminal e na instrução processual penal.<br><br><i>Fonte: Lei nº 9.296/96, art. 3º, II</i><hr><b>BIZU:</b> MP atua nas duas fases: investigação e processo.
Em quais fases o Ministério Público pode requerer interceptação?;O Ministério Público pode requerer interceptação na <b>investigação criminal</b> e na <b>instrução processual penal</b>.<br><br><i>Fonte: Lei nº 9.296/96, art. 3º, II</i><hr><b>BIZU:</b> MP tem alcance maior que a autoridade policial nesse ponto.
A defesa pode requerer interceptação telefônica nos termos do art. 3º?;O art. 3º menciona juiz de ofício, autoridade policial na investigação e Ministério Público na investigação ou instrução. A defesa não aparece como legitimada expressa nesse dispositivo.<br><br><i>Fonte: Lei nº 9.296/96, art. 3º</i><hr><b>BIZU:</b> Para prova seca, decore os legitimados expressos.
Compare a atuação da autoridade policial e do Ministério Público no pedido de interceptação.;A autoridade policial pode pedir apenas na investigação criminal. O Ministério Público pode pedir tanto na investigação criminal quanto na instrução processual penal.<br><br><i>Fonte: Lei nº 9.296/96, art. 3º, I e II</i><hr><b>BIZU:</b> Polícia = investigação. MP = investigação e processo.
Por que não faria sentido a autoridade policial pedir interceptação após concluído o inquérito?;Porque sua atuação investigativa ocorre na fase do inquérito. Após o encerramento da investigação, a iniciativa probatória no processo pertence ao órgão acusatório e ao juízo conforme as regras processuais.<br><br><i>Fonte: Comentário do PDF sobre Lei nº 9.296/96, art. 3º</i><hr><b>BIZU:</b> Delegado investiga. Se o inquérito acabou, a lógica muda.
A interceptação telefônica é admitida quando a prova puder ser obtida por outros meios disponíveis?;<font color="#ff4444"><b>Não.</b></font> A existência de outros meios disponíveis impede a interceptação telefônica.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, II</i><hr><b>BIZU:</b> Outro meio disponível derruba o grampo.
Quem tem o ônus de demonstrar violação à subsidiariedade da interceptação, segundo questão comentada no material?;O material aponta entendimento de que, uma vez deferida a medida, cabe à defesa demonstrar violação ao art. 2º, II, se alegar que havia outros meios disponíveis à época do pedido.<br><br><i>Fonte: Questão IDECAN citada no PDF sobre jurisprudência do STJ</i><hr><b>BIZU:</b> A análise é feita olhando o momento do pedido, não com sabedoria posterior.
A existência de outros meios deve ser avaliada em qual momento?;Deve ser avaliada no momento em que a interceptação foi requerida e deferida, considerando os meios disponíveis à época.<br><br><i>Fonte: Questão IDECAN citada no PDF sobre Lei nº 9.296/96</i><hr><b>BIZU:</b> Nada de retrospectiva perfeita. Avalie o cenário da investigação naquele momento.
[Questão CEBRASPE 2021 MPE-SC] A interceptação telefônica é cabível em qualquer crime, de reclusão ou detenção, desde que haja indícios robustos e a informação não possa ser alcançada por meio menos gravoso. Certo ou errado?;<b>Gabarito: Errado.</b><br><br><b>Comentário:</b> A interceptação telefônica não é cabível em qualquer crime. O art. 2º, III, impede a medida quando o fato investigado for punido, no máximo, com detenção. A regra é exigir crime punido com reclusão.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, III</i><hr><b>BIZU:</b> Mesmo com indícios e necessidade, <font color="#ff4444">detenção bloqueia</font>.
Qual foi o erro da questão CEBRASPE 2021 sobre cabimento da interceptação?;O erro foi afirmar que a interceptação seria cabível em crimes punidos com detenção. A lei só admite a medida quando o crime investigado for punido com reclusão, além dos demais requisitos.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º, III</i><hr><b>BIZU:</b> Requisitos são cumulativos. Não basta necessidade.
Qual é a tríade de ouro do art. 2º da Lei nº 9.296/96?;A tríade é: <font color="#00e676">indícios razoáveis</font>, <font color="#00e676">subsidiariedade</font> e <font color="#00e676">crime punido com reclusão</font>.<br><br><i>Fonte: Lei nº 9.296/96, art. 2º</i><hr><b>BIZU:</b> IRS do grampo: Indícios, Reclusão e Subsidiariedade.
