Frente;Verso
O que é <b>perdão judicial</b>?;<b>Perdão judicial</b> é causa de extinção da punibilidade concedida pelo juiz nos casos expressamente previstos em lei.<br><br><i>Fonte: Art. 107, IX do CP</i><hr><b>BIZU:</b> Perdão judicial não é generosidade livre do juiz. Só existe quando a lei autoriza.
Qual inciso do art. 107 do CP trata do perdão judicial?;O perdão judicial está no art. 107, IX do CP.<br><br><i>Fonte: Art. 107, IX do CP</i><hr><b>BIZU:</b> Inciso IX = perdão judicial nos casos previstos em lei.
O perdão judicial pode ser concedido em qualquer crime?;<font color="#ff4444"><b>Não.</b></font> O perdão judicial somente cabe nos casos expressamente previstos em lei.<br><br><i>Fonte: Art. 107, IX do CP</i><hr><b>BIZU:</b> Palavra-chave: <font color="#ffeb3b">casos previstos em lei</font>.
O juiz pode aplicar perdão judicial por analogia livre em qualquer situação de pena desnecessária?;<font color="#ff4444"><b>Não.</b></font> O perdão judicial exige previsão legal específica, embora a doutrina e a jurisprudência possam discutir aplicação em hipóteses legalmente compatíveis.<br><br><i>Fonte: Art. 107, IX do CP</i><hr><b>BIZU:</b> Pena desnecessária não basta. Precisa de porta legal.
Qual é a natureza da sentença que concede perdão judicial?;A sentença concessiva do perdão judicial é <b>declaratória da extinção da punibilidade</b>, sem efeito condenatório.<br><br><i>Fonte: Súmula 18 do STJ</i><hr><b>BIZU:</b> Perdão judicial não é condenação disfarçada. É declaração de extinção.
O que diz a <b>Súmula 18 do STJ</b>?;A sentença concessiva do perdão judicial é declaratória da extinção da punibilidade, não subsistindo qualquer efeito condenatório.<br><br><i>Fonte: Súmula 18 do STJ</i><hr><b>BIZU:</b> Súmula 18 = perdão judicial sem condenação.
A sentença que concede perdão judicial gera reincidência?;<font color="#ff4444"><b>Não.</b></font> A sentença que concede perdão judicial não será considerada para efeitos de reincidência.<br><br><i>Fonte: Art. 120 do CP</i><hr><b>BIZU:</b> Perdão judicial não suja reincidência.
Qual dispositivo afirma que a sentença de perdão judicial não gera reincidência?;O art. 120 do CP afirma que a sentença que conceder perdão judicial não será considerada para efeitos de reincidência.<br><br><i>Fonte: Art. 120 do CP</i><hr><b>BIZU:</b> Art. 120 = escudo contra reincidência.
Por que o perdão judicial não gera reincidência?;Porque o juiz reconhece a extinção da punibilidade e não profere condenação com efeitos condenatórios.<br><br><i>Fonte: Art. 120 do CP e Súmula 18 do STJ</i><hr><b>BIZU:</b> Sem efeito condenatório, sem reincidência.
O perdão judicial reconhece a existência do fato criminoso?;<b>Sim.</b> O juiz pode reconhecer a existência do fato e sua autoria, mas extingue a punibilidade pela incidência do perdão judicial.<br><br><i>Fonte: Perdão judicial</i><hr><b>BIZU:</b> O fato pode existir, mas a pena se torna juridicamente desnecessária.
O perdão judicial absolve o réu?;<font color="#ff4444"><b>Não exatamente.</b></font> A sentença é declaratória da extinção da punibilidade, não sentença absolutória comum nem condenatória com efeitos penais.<br><br><i>Fonte: Súmula 18 do STJ</i><hr><b>BIZU:</b> Não pense em absolvição pura. Pense em extinção da punibilidade.
Qual é o exemplo clássico de perdão judicial no homicídio culposo?;No homicídio culposo, o juiz pode deixar de aplicar a pena se as consequências da infração atingirem o próprio agente de forma tão grave que a sanção penal se torne desnecessária.<br><br><i>Fonte: Art. 121, §5º do CP</i><hr><b>BIZU:</b> Exemplo clássico: agente causa morte culposa de alguém próximo e fica devastado.
O homicídio culposo admite perdão judicial?;<b>Sim.</b> O homicídio culposo admite perdão judicial na hipótese do art. 121, §5º do CP.<br><br><i>Fonte: Art. 121, §§3º e 5º do CP</i><hr><b>BIZU:</b> Homicídio culposo + consequência gravíssima para o agente = pense em perdão judicial.
A lesão corporal culposa admite perdão judicial?;<b>Sim.</b> A lesão corporal culposa admite perdão judicial na hipótese legal correspondente.<br><br><i>Fonte: Art. 129, §§6º e 8º do CP</i><hr><b>BIZU:</b> Lesão culposa também pode seguir a lógica da pena desnecessária.
A receptação culposa admite perdão judicial?;<b>Sim.</b> A receptação culposa admite perdão judicial nos termos do art. 180, §5º do CP.<br><br><i>Fonte: Art. 180, §§3º e 5º do CP</i><hr><b>BIZU:</b> Receptação culposa é hipótese expressa, não esqueça.
A injúria pode admitir perdão judicial?;<b>Sim.</b> A injúria admite perdão judicial quando decorre de provocação reprovável da vítima ou em caso de retorsão imediata.<br><br><i>Fonte: Art. 140, §1º, I e II do CP</i><hr><b>BIZU:</b> Injúria com provocação ou revide imediato pode levar ao perdão judicial.
Quais hipóteses principais de perdão judicial o material lista?;O material lista homicídio culposo, lesão corporal culposa, receptação culposa e injúria em caso de provocação reprovável da vítima ou retorsão imediata.<br><br><i>Fonte: Perdão judicial</i><hr><b>BIZU:</b> Mnemônico: <font color="#ffeb3b">Ho Le Re In</font>, homicídio, lesão, receptação e injúria.
Qual é o mnemônico das principais hipóteses de perdão judicial?;<font color="#ffeb3b"><b>Ho Le Re In</b></font>: homicídio culposo, lesão corporal culposa, receptação culposa e injúria específica.<br><br><i>Fonte: Perdão judicial</i><hr><b>BIZU:</b> Ho Le Re In parece estranho, mas fixa a lista.
Qual é a diferença entre <b>perdão judicial</b> e <b>perdão do ofendido</b>?;Perdão judicial vem do juiz e só cabe nos casos previstos em lei. Perdão do ofendido vem da vítima, ocorre em ação penal privada e depende de aceitação do querelado.<br><br><i>Fonte: Art. 107, V e IX do CP</i><hr><b>BIZU:</b> Judicial = juiz e lei. Ofendido = vítima e aceite.
