Frente;Verso
O que significa <b>fatorar</b> um número?;Significa decompor o número em uma multiplicação de fatores primos.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> Fatorar é desmontar o número até sobrar apenas peças primas.
O que são <b>fatores</b> de um número?;São os números que aparecem multiplicados para formar outro número.<br><br>Exemplo: em 12 = 3 × 4, os números 3 e 4 são fatores de 12.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> Fator é peça de multiplicação.
O que são <b>fatores primos</b>?;São fatores que também são números primos.<br><br>Exemplo: 12 = 2 × 2 × 3, então 2, 2 e 3 são fatores primos de 12.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> Fator primo é a peça final que não dá para desmontar mais.
O que é um <b>número primo</b>?;É um número natural maior que 1 que possui apenas dois divisores positivos: 1 e ele mesmo.<br><br><i>Fonte: Aula Bônus 4 — Números Primos</i><hr><b>BIZU:</b> Primo é “sozinho”: só divide por 1 e por ele mesmo.
O número 1 é primo?;<b>Não.</b> O número 1 não é primo porque possui apenas um divisor positivo, que é ele mesmo.<br><br><i>Fonte: Aula Bônus 4 — Números Primos</i><hr><b>BIZU:</b> Primo precisa ter exatamente dois divisores positivos. O 1 só tem um.
Quais números primos o material manda decorar?;2, 3, 5, 7, 11, 13, 17, 19 e 23.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> Decore a fila inicial dos primos: 2, 3, 5, 7, 11, 13, 17, 19, 23.
Qual é o único número primo par?;O único número primo par é 2.<br><br><i>Fonte: Aula Bônus 4 — Números Primos</i><hr><b>BIZU:</b> Todo par maior que 2 divide por 2, então não é primo.
Por que 4 não é número primo?;Porque 4 possui mais de dois divisores positivos: 1, 2 e 4.<br><br><i>Fonte: Aula Bônus 4 — Números Primos</i><hr><b>BIZU:</b> Se apareceu divisor além de 1 e ele mesmo, não é primo.
Por que 9 não é número primo?;Porque 9 é divisível por 3, além de 1 e 9.<br><br><i>Fonte: Aula Bônus 4 — Números Primos</i><hr><b>BIZU:</b> 9 = 3 × 3, então é composto.
Qual é a diferença entre <b>número primo</b> e <b>número composto</b>?;Número primo possui exatamente dois divisores positivos. Número composto possui mais de dois divisores positivos.<br><br><i>Fonte: Aula Bônus 4 — Números Primos</i><hr><b>BIZU:</b> Primo é peça final. Composto ainda desmonta.
Qual é o primeiro motivo para fatorar, segundo o material?;O primeiro motivo é descobrir as divisibilidades de um número.<br><br><i>Fonte: Aula Bônus 4 — Por que devemos fatorar?</i><hr><b>BIZU:</b> Fatoração mostra por quais números o número é divisível.
Qual é o segundo motivo para fatorar, segundo o material?;O segundo motivo é calcular raízes quadradas, cúbicas, de quarto grau e outras raízes.<br><br><i>Fonte: Aula Bônus 4 — Por que devemos fatorar?</i><hr><b>BIZU:</b> Raiz fica fácil quando os fatores aparecem em grupos.
Qual é o terceiro motivo para fatorar, segundo o material?;O terceiro motivo é calcular MMC e MDC.<br><br><i>Fonte: Aula Bônus 4 — Por que devemos fatorar?</i><hr><b>BIZU:</b> MMC e MDC nascem da comparação entre fatores primos.
Qual é a ponte entre <b>fatoração</b> e <b>divisibilidade</b>?;A fatoração revela todos os fatores primos do número, permitindo descobrir rapidamente por quais números ele pode ser dividido.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> Divisibilidade é o teste rápido. Fatoração é o mapa completo.
Qual é a ponte entre <b>fatoração</b> e <b>raízes</b>?;Ao fatorar, é possível formar pares, trios ou grupos de fatores iguais para extrair raízes quadradas, cúbicas e de outros índices.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> Para raiz quadrada, procure pares. Para raiz cúbica, procure trios.
Qual é a ponte entre <b>fatoração</b> e <b>frações</b>?;A fatoração ajuda a simplificar frações porque mostra fatores comuns no numerador e no denominador.<br><br><i>Fonte: Ponte entre Fatoração e Frações</i><hr><b>BIZU:</b> Fator comum em cima e embaixo pode ser cortado.
Como fatorar 12 em fatores primos?;12 = 2 × 2 × 3.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> 12 divide por 2, depois por 2, depois sobra 3.
Como fatorar 18 em fatores primos?;18 = 2 × 3 × 3.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> 18 é par, então começa por 2. Depois sobra 9, que vira 3 × 3.
Como fatorar 20 em fatores primos?;20 = 2 × 2 × 5.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> 20 = 4 × 5, mas fatoração prima é 2 × 2 × 5.
Como fatorar 24 em fatores primos?;24 = 2 × 2 × 2 × 3.<br><br><i>Fonte: Aula Bônus 4 — Fatoração</i><hr><b>BIZU:</b> 24 = 8 × 3, então vira 2³ × 3.
Como fatorar 32 em fatores primos?;32 = 2 × 2 × 2 × 2 × 2 = 2⁵.<br><br><i>Fonte: Questão FUNDATEC — Fatoração</i><hr><b>BIZU:</b> 32 é potência de 2. Decore: 2⁵ = 32.
Como fatorar 36 em fatores primos?;36 = 2 × 2 × 3 × 3 = 2² × 3².<br><br><i>Fonte: Questão FUNDATEC — Divisores de 36</i><hr><b>BIZU:</b> 36 é quadrado perfeito: 6². Por isso vira 2² × 3².
Como fatorar 45 em fatores primos?;45 = 3 × 3 × 5 = 3² × 5.<br><br><i>Fonte: Questão FUNDATEC — Fatoração</i><hr><b>BIZU:</b> 45 = 9 × 5, mas 9 não é primo. Quebre 9 em 3 × 3.
Como fatorar 50 em fatores primos?;50 = 2 × 5 × 5 = 2 × 5².<br><br><i>Fonte: Questão FUNDATEC — Fatoração</i><hr><b>BIZU:</b> 50 é metade de 100. Como 100 = 2² × 5², então 50 = 2 × 5².
Como fatorar 64 em fatores primos?;64 = 2 × 2 × 2 × 2 × 2 × 2 = 2⁶.<br><br><i>Fonte: Questão FUNDATEC — Fatoração</i><hr><b>BIZU:</b> 64 é potência de 2. Decore: 2⁶ = 64.
Como fatorar 1.032 em fatores primos?;1.032 = 2 × 2 × 2 × 3 × 43 = 2³ × 3 × 43.<br><br><i>Fonte: Questão FUNDATEC — 1.032 em fatores primos</i><hr><b>BIZU:</b> Divida por 2 enquanto for par: 1032, 516, 258, 129. Depois 129 = 3 × 43.
Na questão FUNDATEC, qual alternativa apresenta 1.032 em fatores primos?;A alternativa correta é 2 × 2 × 2 × 3 × 43.<br><br><i>Fonte: Questão FUNDATEC — 1.032 em fatores primos</i><hr><b>BIZU:</b> Não pode aparecer 6, 4, 12 ou 86 na resposta final, porque eles não são primos.
