Frente;Verso
O que são questões de <b>sequências com figuras</b>?;São questões em que precisamos identificar o padrão visual de rotação, repetição, alternância, crescimento, simetria ou mudança de posição entre figuras.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Figura também tem padrão. Procure o que muda e o que permanece.
Qual é o primeiro passo em uma sequência com figuras?;Observar quais elementos permanecem iguais e quais elementos mudam de uma figura para a próxima.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Compare figura 1 com 2, 2 com 3, 3 com 4.
Quais mudanças costumam aparecer em sequências com figuras?;Rotação, deslocamento, aumento de quantidade, troca de cor, espelhamento, alternância de forma e repetição cíclica.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Gire, ande, conte, pinte, espelhe.
Como resolver uma questão de <b>próximo elemento visual</b>?;Identifique a regra de transformação entre as figuras anteriores e aplique a mesma regra para prever a próxima figura.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> A próxima figura deve obedecer ao mesmo movimento.
[QUESTÃO] Na questão 17 do material, qual é o próximo elemento da sequência de figuras?;<b>Alternativa D</b>, conforme gabarito do material.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Em questões visuais, confirme a regra olhando mudança por mudança.
Qual é a defesa anti-erro em questões de <b>próximo elemento com figuras</b>?;Não escolha pela aparência isolada. Teste se a alternativa respeita todas as mudanças observadas na sequência anterior.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Alternativa bonita não basta. Precisa continuar o padrão.
O que é uma <b>sequência visual cíclica</b>?;É uma sequência de figuras que se repete sempre na mesma ordem depois de certo número de elementos.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Visual cíclico é uma roda de figuras.
Como comparar duas sequências visuais cíclicas?;Liste as posições de cada sequência e compare, posição por posição, quando as figuras aparecem simultaneamente iguais.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Faça uma linha para A, outra para B, e compare colunas.
Se uma sequência A tem ciclo de <b>3 figuras</b> e uma sequência B tem ciclo de <b>4 figuras</b>, qual é o ciclo comum?;<b>12 posições</b>, pois o mínimo múltiplo comum de 3 e 4 é 12.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Ciclos diferentes se reencontram no MMC.
Por que o <b>MMC</b> ajuda em duas sequências cíclicas?;Porque ele mostra depois de quantas posições os dois ciclos retornam juntos ao começo.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> MMC é o ponto de reencontro dos ciclos.
[QUESTÃO] A sequência A tem 3 figuras repetidas e a sequência B tem 4 figuras repetidas. Nas 15 primeiras posições, quantas vezes elas apresentam figuras simultaneamente iguais?;<b>3 vezes</b>, conforme gabarito do material.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Compare as 15 posições e conte apenas coincidências simultâneas.
Qual conceito a questão das sequências visuais A e B testa?;Ela testa repetição cíclica com ciclos de tamanhos diferentes e comparação de coincidências posição a posição.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Ciclo 3 com ciclo 4 pede organização.
Qual é a pegadinha da questão das sequências visuais A e B?;Contar quantas vezes uma figura aparece em cada sequência separadamente, em vez de contar quando as duas sequências mostram figuras iguais ao mesmo tempo.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> A pergunta é simultaneidade.
O que são questões de <b>figuras em etapas</b>?;São questões em que uma construção visual é repetida várias vezes, e precisamos descobrir o total após certo número de etapas.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Etapas pedem padrão de crescimento.
Qual é o método para resolver figuras que crescem por etapas?;Calcule o aumento de uma etapa para outra, identifique se esse aumento é constante e use a regra até a etapa pedida.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Veja quanto cada etapa acrescenta.
Na questão do <b>quadrado ABCD dividido em regiões</b>, o que acontece em cada nova etapa?;O quadrado central obtido na etapa anterior é dividido novamente segundo a mesma lógica descrita no enunciado.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> A regra se repete sempre no quadrado central.
[QUESTÃO] No processo de divisão do quadrado ABCD em dez etapas, quantas regiões há ao final?;<b>81 regiões</b>, conforme gabarito do material.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> A resposta da questão 19 é alternativa C.
Qual conceito a questão do <b>quadrado ABCD</b> testa?;Ela testa crescimento visual por repetição de uma mesma construção geométrica em etapas sucessivas.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Quando a figura se repete dentro de si mesma, conte por etapas.
Qual é a pegadinha da questão do <b>quadrado ABCD</b>?;Tentar contar apenas as linhas desenhadas na última etapa. O correto é identificar o aumento de regiões produzido por cada etapa.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> A pergunta é região total, não quantidade de traços.
O que são questões com <b>sequência de caracteres</b>?;São questões em que cada linha ou etapa apresenta certa quantidade de símbolos, letras ou sinais, e precisamos descobrir a quantidade em uma etapa futura.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Caractere é símbolo contado.
Na sequência de caracteres do material, quais são as quantidades das quatro primeiras sequências?;<b>3, 6, 12 e 24 caracteres</b>.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Cada linha dobra a anterior.
Qual é o padrão da sequência de caracteres <b>3, 6, 12, 24...</b>?;O padrão é multiplicar por 2 a cada nova sequência.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> Dobrou, dobrou, dobrou.
[QUESTÃO] Na sequência de caracteres em que a 1ª tem 3, a 2ª tem 6, a 3ª tem 12 e a 4ª tem 24, quantos caracteres terá a 12ª sequência?;<b>6.144</b>. A quantidade dobra a cada etapa. Assim, a 12ª quantidade é 3 × 2¹¹ = 6.144.<br><br><i>Fonte: Psicotécnicos – Sequências com figuras</i><hr><b>BIZU:</b> 1ª é 3. Para chegar à 12ª, dobre 11 vezes.
Por que a 12ª sequência de caracteres é <b>3 × 2¹¹</b>?;Porque a primeira sequência já começa com 3 caracteres, e há 11 passagens de duplicação até chegar à 12ª sequência.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Cuidado: não é 3 × 2¹².
Qual é a pegadinha da sequência de caracteres?;Usar o expoente 12 em vez de 11. Como a 1ª sequência já vale 3, a 12ª ocorre após 11 duplicações.<br><br><i>Fonte: Complemento didático autoral</i><hr><b>BIZU:</b> Posição n usa n menos 1 duplicações quando o primeiro termo é dado.
O que é um <b>Sudoku 4×4</b>?;É um tabuleiro 4 por 4 dividido em quatro quadrados 2 por 2, preenchido com os números de 1 a 4 sem repetição em linhas, colunas e blocos.<br><br><i>Fonte: Psicotécnicos – Sem classificação</i><hr><b>BIZU:</b> Sudoku 4×4 usa os números 1, 2, 3 e 4.
Qual é a regra das <b>linhas</b> no Sudoku 4×4?;Cada linha deve conter os números de 1 a 4 sem repetição.<br><br><i>Fonte: Psicotécnicos – Sem classificação</i><hr><b>BIZU:</b> Linha completa tem 1, 2, 3 e 4.
Qual é a regra das <b>colunas</b> no Sudoku 4×4?;Cada coluna deve conter os números de 1 a 4 sem repetição.<br><br><i>Fonte: Psicotécnicos – Sem classificação</i><hr><b>BIZU:</b> Coluna também não aceita repetição.
