Frente;Verso
[BLOCO 02] O que é o <b>porte de arma de fogo</b>?;O porte é a autorização que permite ao proprietário ou autorizado <font color="#00e676">transportar a arma consigo fora da residência ou do local de trabalho</font>, nos limites legais.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º e art. 10</i><hr><b>BIZU:</b> Posse é lugar fixo. Porte é circulação.
Qual é a regra geral sobre o porte de arma de fogo no Brasil?;A regra geral é que o porte de arma de fogo é <font color="#ff4444">proibido</font> em todo o território nacional, salvo hipóteses previstas em lei.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º</i><hr><b>BIZU:</b> Porte começa proibido. Só a lei abre exceção.
O próprio Estatuto do Desarmamento autoriza porte para algumas categorias?;<b>Sim.</b> O art. 6º da Lei nº 10.826/2003 traz hipóteses de porte funcional ou institucional para determinadas categorias.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º</i><hr><b>BIZU:</b> Art. 6º é a lista dos autorizados institucionais.
Qual é a diferença entre <b>porte institucional</b> e <b>porte de defesa pessoal</b>?;O porte institucional decorre do cargo, função ou atividade exercida. O porte de defesa pessoal é concedido individualmente pela Polícia Federal, mediante demonstração de efetiva necessidade e demais requisitos legais.<br><br><i>Fonte: Lei nº 10.826/2003, arts. 6º e 10</i><hr><b>BIZU:</b> Institucional = pelo cargo. Defesa pessoal = pelo risco individual comprovado.
Integrantes das Forças Armadas podem portar arma de fogo?;<b>Sim.</b> Integrantes das Forças Armadas podem portar arma de fogo no território nacional, inclusive de propriedade particular ou fornecida pela corporação, mesmo fora de serviço, conforme regulamento.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º</i><hr><b>BIZU:</b> Forças Armadas têm porte funcional forte e nacional.
Policiais dos órgãos do art. 144 da Constituição podem portar arma de fogo?;<b>Sim.</b> Integrantes da Polícia Federal, Polícia Rodoviária Federal, Polícia Ferroviária Federal, Polícias Civis, Polícias Militares e Corpos de Bombeiros Militares podem portar arma de fogo, conforme o Estatuto.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, II</i><hr><b>BIZU:</b> Art. 144, I a V, entrou na lista, pense nas polícias constitucionais.
A Força Nacional de Segurança Pública foi incluída no rol de autorizados ao porte?;<b>Sim.</b> O Estatuto também contempla integrantes da Força Nacional de Segurança Pública no rol de autorizados ao porte.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, II</i><hr><b>BIZU:</b> FNSP acompanha as forças policiais no porte institucional.
Policiais e militares precisam cumprir os requisitos do art. 4º para adquirir arma de fogo?;Segundo o material, policiais e militares listados no art. 6º não precisam cumprir os requisitos do art. 4º para aquisição de arma de fogo.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º</i><hr><b>BIZU:</b> Para a prova, grave a exceção: policiais e militares têm tratamento próprio.
Policiais militares podem portar arma apenas quando estão em serviço?;<b>Não.</b> Policiais militares podem portar arma de fogo da corporação ou particular mesmo fora de serviço, nos termos legais e regulamentares.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, II</i><hr><b>BIZU:</b> Pegadinha clássica: PM não fica limitado ao serviço.
Guardas municipais podem portar arma de fogo?;<b>Sim.</b> Todos os integrantes das guardas municipais possuem direito ao porte de arma de fogo, em serviço e fora de serviço, independentemente do número de habitantes do município, conforme entendimento do STF.<br><br><i>Fonte: STF, ADC 38, ADI 5538 e ADI 5948, conforme material</i><hr><b>BIZU:</b> Guarda municipal não depende mais da população do município.
O porte das guardas municipais tem validade nacional?;<b>Não.</b> Segundo o material, o porte das guardas municipais é restrito ao <font color="#ffeb3b">Estado</font> em que se situa o município, não sendo de âmbito nacional.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º</i><hr><b>BIZU:</b> Guarda municipal porta no Estado, não no Brasil inteiro.
Qual foi a tese do STF sobre guardas municipais e número de habitantes?;O STF entendeu ser inconstitucional restringir o porte de arma de guardas municipais com base no número de habitantes do município, pois criminalidade não se relaciona necessariamente com população.<br><br><i>Fonte: STF, ADC 38, ADI 5538 e ADI 5948, Info 1007</i><hr><b>BIZU:</b> População do município não corta o porte da guarda.
Quais condições o Estatuto exige para o porte das guardas municipais?;A autorização está condicionada à formação funcional em estabelecimento de ensino de atividade policial, à existência de mecanismos de fiscalização e controle interno, e à supervisão do Ministério da Justiça.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, conforme material</i><hr><b>BIZU:</b> Guarda municipal precisa de formação, fiscalização e controle.
Agentes da ABIN podem portar arma de fogo?;<b>Sim.</b> Agentes operacionais da Agência Brasileira de Inteligência podem portar arma de fogo, com validade nacional, inclusive fora de serviço, conforme o material.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, V</i><hr><b>BIZU:</b> ABIN aparece porque atua em atividade sensível de inteligência.
Agentes do Departamento de Segurança do GSI podem portar arma de fogo?;<b>Sim.</b> Agentes do Departamento de Segurança do Gabinete de Segurança Institucional da Presidência da República podem portar arma de fogo, nos termos legais.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, V</i><hr><b>BIZU:</b> GSI protege a Presidência, por isso entra no porte institucional.
ABIN e GSI precisam comprovar capacidade técnica e aptidão psicológica?;<b>Sim.</b> O material destaca que agentes da ABIN e do GSI devem comprovar capacidade técnica e aptidão psicológica para o porte.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º</i><hr><b>BIZU:</b> Mesmo com cargo sensível, técnica e psicológico aparecem.
Quais polícias legislativas são mencionadas no Estatuto?;O material menciona as Polícias das Assembleias Legislativas, a Polícia do Senado Federal e a Polícia da Câmara dos Deputados.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, conforme alteração mencionada no material</i><hr><b>BIZU:</b> Legislativo também tem polícia: Assembleia, Senado e Câmara.
Integrantes das polícias legislativas podem portar arma de fogo fora de serviço?;<b>Sim.</b> Segundo o material, podem portar arma de propriedade particular ou fornecida pela instituição, mesmo fora de serviço, em âmbito nacional, observados os requisitos.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º</i><hr><b>BIZU:</b> Polícia legislativa também entra no porte institucional nacional.
Polícias legislativas precisam comprovar capacidade técnica e aptidão psicológica?;<b>Sim.</b> O material destaca a necessidade de comprovação de capacidade técnica e aptidão psicológica.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º</i><hr><b>BIZU:</b> Porte institucional não significa ausência total de requisitos.
Agentes e guardas prisionais podem portar arma de fogo?;<b>Sim.</b> Integrantes do quadro efetivo dos agentes e guardas prisionais estão no rol legal de autorizados ao porte de arma de fogo.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, VII</i><hr><b>BIZU:</b> Sistema prisional também tem porte por risco funcional.
Integrantes de escoltas de presos podem portar arma de fogo?;<b>Sim.</b> Integrantes das escoltas de presos estão incluídos no rol do art. 6º para porte de arma de fogo.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, VII</i><hr><b>BIZU:</b> Quem escolta preso atua em risco direto.
Guardas portuárias podem portar arma de fogo?;<b>Sim.</b> Guardas portuárias estão no rol do art. 6º, mas o material destaca que seu porte é apenas em serviço.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, VII</i><hr><b>BIZU:</b> Guarda portuária: porte ligado ao serviço.
Qual é a diferença entre o porte do guarda portuário e o do agente prisional?;O porte do guarda portuário é apenas em serviço. Já o porte do agente prisional pode ser válido fora de serviço, desde que observadas as exigências legais.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º, VII</i><hr><b>BIZU:</b> Portuário = serviço. Prisional = pode ir além, com requisitos.
Quais são as exigências para o porte fora de serviço dos agentes prisionais?;O material aponta três exigências: regime de dedicação exclusiva, formação funcional nos termos do regulamento, e subordinação a mecanismos de fiscalização e controle interno.<br><br><i>Fonte: Lei nº 10.826/2003, art. 6º, conforme material</i><hr><b>BIZU:</b> Prisional fora de serviço exige DFC: dedicação, formação e controle.
A criação da Polícia Penal alterou automaticamente o texto infraconstitucional do Estatuto?;<b>Não.</b> O material ressalta que, embora a Polícia Penal tenha sido criada por Emenda Constitucional, as normas infraconstitucionais ainda não foram totalmente adaptadas, seguindo-se o regramento dos agentes e guardas prisionais.<br><br><i>Fonte: Material Estratégia, comentário ao art. 6º</i><hr><b>BIZU:</b> Constituição mudou, mas o Estatuto ainda usa a linguagem antiga.
Empresas de segurança privada e transporte de valores podem ter armas?;<b>Sim.</b> As armas utilizadas por essas empresas são para o serviço e pertencem exclusivamente às respectivas empresas, conforme o regime legal.<br><br><i>Fonte: Lei nº 10.826/2003, art. 7º, conforme material</i><hr><b>BIZU:</b> Arma da segurança privada é da empresa, não do vigilante.
O vigilante pode levar a arma da empresa para casa ao fim do serviço?;<b>Não.</b> Ao fim do serviço, o vigilante não pode retornar com a arma de fogo da empresa para sua residência.<br><br><i>Fonte: Material Estratégia, comentário ao art. 7º</i><hr><b>BIZU:</b> Arma da empresa fica no serviço, não acompanha o vigilante para casa.
